miRNA,SRR26384007,SRR26384008
hsa-let-7a-3p,0.23,0.23
hsa-let-7a-5p,15.62,11.49
hsa-let-7b-5p,50.07,41.37
hsa-let-7c-5p,11.03,10.69
hsa-let-7d-3p,0.23,0.11
hsa-let-7d-5p,0.11,0.11
hsa-let-7e-5p,0.57,1.03
hsa-let-7f-5p,13.21,12.06
hsa-let-7g-5p,8.04,9.54
hsa-let-7i-5p,52.94,56.07
hsa-miR-1-3p,0.23,0.23
hsa-miR-100-3p,0.11,0.0
hsa-miR-100-5p,158.49,173.28
hsa-miR-101-3p,1.84,2.87
hsa-miR-10395-3p,0.11,0.0
hsa-miR-10396b-3p,0.11,0.0
hsa-miR-103a-3p,2.07,1.03
hsa-miR-10401-3p,0.0,0.11
hsa-miR-10401-5p,0.11,0.0
hsa-miR-106b-3p,0.46,1.38
hsa-miR-106b-5p,1.26,0.92
hsa-miR-10a-3p,0.0,0.11
hsa-miR-10a-5p,6.89,8.27
hsa-miR-10b-5p,4.36,2.07
hsa-miR-1180-3p,0.11,0.46
hsa-miR-1185-1-3p,0.11,0.0
hsa-miR-122-5p,13.09,8.16
hsa-miR-1228-5p,0.0,0.11
hsa-miR-122b-5p,0.11,0.11
hsa-miR-1246,4.94,2.76
hsa-miR-1248,0.11,0.0
hsa-miR-1255b-5p,0.11,0.0
hsa-miR-125a-5p,0.23,0.8
hsa-miR-125b-1-3p,3.79,3.33
hsa-miR-125b-5p,4.71,5.29
hsa-miR-126-3p,0.46,0.46
hsa-miR-1260b,0.0,0.11
hsa-miR-1262,0.11,0.11
hsa-miR-1268a,0.0,0.11
hsa-miR-127-3p,7.12,6.78
hsa-miR-127-5p,0.0,0.11
hsa-miR-1271-5p,0.0,0.11
hsa-miR-1273h-5p,0.11,0.0
hsa-miR-128-3p,4.36,3.45
hsa-miR-1285-5p,0.46,0.69
hsa-miR-129-5p,0.23,0.11
hsa-miR-1291,0.0,0.11
hsa-miR-1296-5p,0.11,0.11
hsa-miR-1307-3p,1.61,1.15
hsa-miR-1307-5p,0.11,0.0
hsa-miR-130a-3p,0.11,0.11
hsa-miR-130b-3p,0.11,0.46
hsa-miR-130b-5p,0.11,0.0
hsa-miR-132-3p,0.11,0.11
hsa-miR-133a-3p,0.0,0.11
hsa-miR-134-3p,0.0,0.11
