miRNA,GSM3110525,GSM3110526
hsa-let-7a-2-3p,0.0,1.66
hsa-let-7a-3p,2.18,0.0
hsa-let-7a-5p,270.42,2574.6
hsa-let-7b-3p,2.18,3.32
hsa-let-7b-5p,78.51,1380.32
hsa-let-7c-3p,0.0,4.98
hsa-let-7c-5p,54.52,421.9
hsa-let-7d-3p,6.54,46.51
hsa-let-7d-5p,65.42,426.89
hsa-let-7e-3p,0.0,1.66
hsa-let-7e-5p,6.54,343.83
hsa-let-7f-5p,279.15,1056.42
hsa-let-7g-5p,191.91,900.28
hsa-let-7i-3p,0.0,8.31
hsa-let-7i-5p,61.06,194.34
hsa-miR-1-3p,19.63,260.78
hsa-miR-1-5p,0.0,3.32
hsa-miR-100-3p,0.0,4.98
hsa-miR-100-5p,50.16,425.22
hsa-miR-101-3p,39.25,1031.5
hsa-miR-101-5p,0.0,33.22
hsa-miR-103a-3p,6.54,478.38
hsa-miR-10401-5p,0.0,1.66
hsa-miR-106a-5p,0.0,1.66
hsa-miR-106b-5p,43.62,76.41
hsa-miR-107,6.54,16.61
hsa-miR-10a-3p,4.36,0.0
hsa-miR-10a-5p,30.53,127.9
hsa-miR-10b-5p,2.18,370.41
hsa-miR-1179,0.0,3.32
hsa-miR-1207-5p,0.0,3.32
hsa-miR-122-3p,0.0,6.64
hsa-miR-122-5p,10.9,69.76
hsa-miR-1228-5p,0.0,13.29
hsa-miR-124-3p,2.18,46.51
hsa-miR-1246,32.71,1.66
hsa-miR-125a-3p,0.0,11.63
hsa-miR-125a-5p,8.72,2278.94
hsa-miR-125b-1-3p,2.18,0.0
hsa-miR-125b-5p,80.69,4675.81
hsa-miR-126-3p,17.45,569.73
hsa-miR-126-5p,10.9,297.32
hsa-miR-1260b,4.36,6.64
hsa-miR-1268a,0.0,9.97
hsa-miR-127-3p,4.36,38.2
hsa-miR-127-5p,0.0,6.64
hsa-miR-1273h-5p,0.0,4.98
hsa-miR-1275,0.0,1.66
hsa-miR-128-3p,2.18,13.29
hsa-miR-1285-5p,0.0,3.32
hsa-miR-129-2-3p,2.18,0.0
hsa-miR-129-5p,0.0,3.32
hsa-miR-1291,0.0,1.66
hsa-miR-1292-5p,0.0,1.66
hsa-miR-1299,0.0,1.66
hsa-miR-1303,0.0,3.32
hsa-miR-1307-3p,4.36,3.32
hsa-miR-1307-5p,0.0,1.66
hsa-miR-130a-3p,0.0,242.51
hsa-miR-130a-5p,0.0,3.32
hsa-miR-132-3p,0.0,4.98
hsa-miR-132-5p,2.18,0.0
hsa-miR-133a-3p,8.72,69.76
hsa-miR-133a-5p,0.0,16.61
hsa-miR-133b,0.0,3.32
hsa-miR-134-5p,2.18,23.25
hsa-miR-135a-5p,10.9,76.41
hsa-miR-135b-5p,0.0,56.48
hsa-miR-136-3p,0.0,14.95
hsa-miR-138-5p,15.27,41.53
hsa-miR-139-5p,61.06,41.53
hsa-miR-140-3p,41.44,1342.11
hsa-miR-140-5p,0.0,43.19
hsa-miR-141-3p,0.0,171.09
hsa-miR-142-3p,739.3,169.43
hsa-miR-142-5p,106.86,6.64
hsa-miR-143-3p,17.45,2322.12
hsa-miR-143-5p,0.0,39.86
hsa-miR-144-3p,6.54,11.63
hsa-miR-144-5p,2.18,33.22
hsa-miR-145-3p,0.0,91.36
hsa-miR-145-5p,157.02,14902.79
hsa-miR-146a-5p,111.22,34.88
hsa-miR-146b-5p,10.9,219.26
hsa-miR-147b-3p,0.0,6.64
hsa-miR-148a-3p,52.34,373.73
hsa-miR-148a-5p,2.18,0.0
hsa-miR-148b-3p,2.18,3.32
hsa-miR-148b-5p,0.0,13.29
hsa-miR-149-3p,2.18,0.0
hsa-miR-149-5p,2.18,8.31
hsa-miR-150-5p,237.71,76.41
hsa-miR-151a-3p,0.0,6.64
hsa-miR-151a-5p,21.81,692.65
hsa-miR-151b,8.72,1.66
hsa-miR-152-3p,37.07,56.48
hsa-miR-155-5p,0.0,8.31
hsa-miR-15a-5p,50.16,101.32
hsa-miR-15b-3p,2.18,3.32
hsa-miR-15b-5p,50.16,59.8
hsa-miR-16-5p,403.45,1372.01
hsa-miR-17-3p,4.36,0.0
hsa-miR-17-5p,32.71,147.83
hsa-miR-181a-5p,39.25,242.51
hsa-miR-181b-5p,6.54,28.24
hsa-miR-181c-5p,4.36,9.97
hsa-miR-181d-5p,0.0,11.63
hsa-miR-182-3p,4.36,0.0
hsa-miR-182-5p,0.0,9.97
hsa-miR-183-5p,0.0,8.31
hsa-miR-185-5p,26.17,102.98
hsa-miR-186-5p,2.18,6.64
hsa-miR-18a-5p,52.34,81.39
hsa-miR-18b-5p,4.36,0.0
hsa-miR-1908-5p,0.0,4.98
hsa-miR-190b-3p,0.0,3.32
hsa-miR-191-5p,104.68,490.0
hsa-miR-192-3p,2.18,0.0
hsa-miR-192-5p,2.18,111.29
hsa-miR-193a-3p,0.0,6.64
hsa-miR-193a-5p,0.0,141.19
hsa-miR-193b-3p,0.0,98.0
hsa-miR-193b-5p,0.0,4.98
hsa-miR-194-5p,4.36,44.85
hsa-miR-195-5p,2.18,2293.89
hsa-miR-197-3p,0.0,18.27
hsa-miR-199a-3p,80.69,1177.67
hsa-miR-199a-5p,2.18,438.51
hsa-miR-199b-3p,17.45,249.15
hsa-miR-199b-5p,0.0,13.29
hsa-miR-19a-3p,63.24,322.24
hsa-miR-19b-1-5p,4.36,0.0
hsa-miR-19b-3p,368.56,2639.38
hsa-miR-200a-3p,0.0,66.44
hsa-miR-200b-3p,6.54,89.7
hsa-miR-200b-5p,2.18,0.0
hsa-miR-200c-3p,0.0,230.88
hsa-miR-202-3p,0.0,14.95
hsa-miR-202-5p,0.0,177.73
hsa-miR-203a-3p,6.54,11.63
hsa-miR-203a-5p,0.0,6.64
hsa-miR-204-3p,0.0,9.97
hsa-miR-204-5p,0.0,54.81
hsa-miR-205-5p,0.0,16.61
hsa-miR-208a-3p,0.0,3.32
hsa-miR-20a-3p,0.0,11.63
hsa-miR-20a-5p,67.61,167.76
hsa-miR-20b-5p,8.72,0.0
hsa-miR-21-3p,0.0,3.32
hsa-miR-21-5p,2555.93,5959.79
hsa-miR-210-3p,2.18,56.48
hsa-miR-2110,0.0,14.95
hsa-miR-214-3p,19.63,264.1
hsa-miR-214-5p,0.0,76.41
hsa-miR-215-5p,0.0,9.97
hsa-miR-218-5p,4.36,59.8
hsa-miR-22-3p,34.89,84.71
hsa-miR-22-5p,4.36,3.32
hsa-miR-221-3p,47.98,292.34
hsa-miR-221-5p,0.0,23.25
hsa-miR-222-3p,13.08,164.44
hsa-miR-223-3p,196.27,533.19
hsa-miR-224-5p,2.18,0.0
hsa-miR-23a-3p,237.71,1503.23
hsa-miR-23a-5p,0.0,8.31
hsa-miR-23b-3p,71.97,1391.95
hsa-miR-23b-5p,0.0,6.64
hsa-miR-24-1-5p,0.0,3.32
hsa-miR-24-2-5p,2.18,4.98
hsa-miR-24-3p,61.06,89.7
hsa-miR-25-3p,13.08,46.51
hsa-miR-26a-5p,104.68,4057.9
hsa-miR-26b-5p,56.7,443.5
hsa-miR-27a-3p,21.81,546.48
hsa-miR-27a-5p,4.36,19.93
hsa-miR-27b-3p,34.89,280.71
hsa-miR-27b-5p,0.0,13.29
hsa-miR-28-3p,0.0,11.63
hsa-miR-28-5p,6.54,69.76
hsa-miR-296-3p,0.0,8.31
hsa-miR-296-5p,0.0,3.32
hsa-miR-299-5p,0.0,38.2
hsa-miR-29a-3p,157.02,828.86
hsa-miR-29a-5p,2.18,0.0
hsa-miR-29b-2-5p,2.18,4.98
hsa-miR-29b-3p,71.97,435.19
hsa-miR-29c-3p,15.27,91.36
hsa-miR-29c-5p,0.0,31.56
hsa-miR-301a-3p,4.36,6.64
hsa-miR-30a-5p,23.99,840.48
hsa-miR-30b-5p,117.76,727.53
hsa-miR-30c-2-3p,0.0,1.66
hsa-miR-30c-5p,102.5,867.06
hsa-miR-30d-5p,215.9,961.74
hsa-miR-30e-5p,61.06,294.0
hsa-miR-31-3p,0.0,6.64
hsa-miR-31-5p,32.71,413.6
hsa-miR-3158-3p,0.0,1.66
hsa-miR-3178,0.0,509.94
hsa-miR-3180,0.0,1.66
hsa-miR-3195,4.36,0.0
hsa-miR-32-5p,2.18,1.66
hsa-miR-320a-3p,13.08,553.12
hsa-miR-320b,2.18,14.95
hsa-miR-320c,0.0,4.98
hsa-miR-320d,0.0,3.32
hsa-miR-323a-3p,0.0,8.31
hsa-miR-324-5p,0.0,9.97
hsa-miR-329-3p,0.0,9.97
hsa-miR-331-3p,0.0,9.97
hsa-miR-335-5p,2.18,61.46
hsa-miR-337-5p,0.0,6.64
hsa-miR-339-3p,0.0,9.97
hsa-miR-339-5p,17.45,26.58
hsa-miR-33a-3p,2.18,0.0
hsa-miR-33a-5p,2.18,0.0
hsa-miR-340-5p,4.36,14.95
hsa-miR-342-3p,54.52,205.97
hsa-miR-342-5p,2.18,14.95
hsa-miR-345-5p,0.0,14.95
hsa-miR-34a-3p,2.18,3.32
hsa-miR-34a-5p,26.17,564.75
hsa-miR-34b-5p,0.0,51.49
hsa-miR-34c-3p,0.0,16.61
hsa-miR-34c-5p,0.0,121.26
hsa-miR-361-3p,0.0,23.25
hsa-miR-361-5p,0.0,14.95
hsa-miR-3615,2.18,0.0
hsa-miR-362-3p,0.0,3.32
hsa-miR-363-3p,0.0,11.63
hsa-miR-3648,0.0,1.66
hsa-miR-365a-3p,0.0,1.66
hsa-miR-365b-3p,2.18,24.92
hsa-miR-3665,32.71,247.49
hsa-miR-369-3p,2.18,0.0
hsa-miR-369-5p,0.0,16.61
hsa-miR-374a-5p,0.0,41.53
hsa-miR-374b-5p,2.18,6.64
hsa-miR-376b-3p,0.0,3.32
hsa-miR-376c-3p,17.45,480.04
hsa-miR-376c-5p,4.36,1.66
hsa-miR-377-3p,0.0,3.32
hsa-miR-377-5p,0.0,8.31
hsa-miR-378a-3p,23.99,264.1
hsa-miR-378a-5p,0.0,3.32
hsa-miR-378c,2.18,11.63
hsa-miR-378d,0.0,3.32
hsa-miR-379-5p,0.0,21.59
hsa-miR-381-5p,0.0,9.97
hsa-miR-382-3p,0.0,1.66
hsa-miR-382-5p,0.0,23.25
hsa-miR-3916,0.0,3.32
hsa-miR-3929,0.0,8.31
hsa-miR-3960,15.27,98.0
hsa-miR-409-3p,6.54,28.24
hsa-miR-409-5p,0.0,11.63
hsa-miR-411-3p,0.0,3.32
hsa-miR-411-5p,0.0,19.93
hsa-miR-421,2.18,8.31
hsa-miR-423-3p,26.17,6.64
hsa-miR-423-5p,10.9,44.85
hsa-miR-424-3p,0.0,16.61
hsa-miR-424-5p,0.0,463.43
hsa-miR-425-3p,0.0,4.98
hsa-miR-425-5p,26.17,49.83
hsa-miR-4286,4.36,4.98
hsa-miR-429,0.0,24.92
hsa-miR-4466,0.0,21.59
hsa-miR-4472,0.0,1.66
hsa-miR-4488,0.0,71.42
hsa-miR-4492,8.72,249.15
hsa-miR-4497,0.0,1.66
hsa-miR-449a,0.0,147.83
hsa-miR-449c-5p,0.0,41.53
hsa-miR-4508,4.36,16.61
hsa-miR-450a-2-3p,0.0,3.32
hsa-miR-450a-5p,0.0,3.32
hsa-miR-450b-5p,0.0,6.64
hsa-miR-4516,2.18,38.2
hsa-miR-451a,23.99,141.19
hsa-miR-454-3p,0.0,28.24
hsa-miR-455-3p,2.18,126.24
hsa-miR-455-5p,0.0,3.32
hsa-miR-4642,0.0,1.66
hsa-miR-4739,0.0,4.98
hsa-miR-4785,0.0,1.66
hsa-miR-4791,4.36,0.0
hsa-miR-483-5p,0.0,9.97
hsa-miR-484,41.44,157.8
hsa-miR-485-3p,2.18,3.32
hsa-miR-485-5p,0.0,1.66
hsa-miR-487a-5p,2.18,0.0
hsa-miR-487b-3p,0.0,34.88
hsa-miR-493-5p,0.0,3.32
hsa-miR-494-3p,6.54,18.27
hsa-miR-495-3p,0.0,38.2
hsa-miR-497-5p,2.18,53.15
hsa-miR-5000-3p,0.0,1.66
hsa-miR-500a-3p,0.0,8.31
hsa-miR-500a-5p,0.0,9.97
hsa-miR-501-3p,0.0,11.63
hsa-miR-503-5p,0.0,16.61
hsa-miR-505-3p,2.18,21.59
hsa-miR-505-5p,0.0,8.31
hsa-miR-506-3p,0.0,14.95
hsa-miR-508-3p,0.0,23.25
hsa-miR-508-5p,0.0,11.63
hsa-miR-509-3-5p,0.0,18.27
hsa-miR-509-3p,0.0,11.63
hsa-miR-509-5p,0.0,9.97
hsa-miR-513b-5p,0.0,21.59
hsa-miR-514a-3p,0.0,18.27
hsa-miR-514b-3p,0.0,1.66
hsa-miR-514b-5p,0.0,4.98
hsa-miR-519a-3p,0.0,6.64
hsa-miR-532-3p,0.0,11.63
hsa-miR-532-5p,0.0,1.66
hsa-miR-542-5p,0.0,11.63
hsa-miR-543,0.0,6.64
hsa-miR-548b-3p,0.0,4.98
hsa-miR-548d-5p,2.18,0.0
hsa-miR-574-3p,6.54,114.61
hsa-miR-574-5p,6.54,76.41
hsa-miR-576-5p,0.0,14.95
hsa-miR-590-3p,0.0,14.95
hsa-miR-590-5p,0.0,71.42
hsa-miR-598-5p,2.18,0.0
hsa-miR-619-5p,0.0,38.2
hsa-miR-625-5p,0.0,6.64
hsa-miR-629-5p,0.0,4.98
hsa-miR-6511b-3p,0.0,6.64
hsa-miR-652-3p,10.9,8.31
hsa-miR-652-5p,2.18,0.0
hsa-miR-660-3p,4.36,4.98
hsa-miR-660-5p,0.0,38.2
hsa-miR-663b,0.0,3.32
hsa-miR-664a-3p,0.0,21.59
hsa-miR-665,0.0,11.63
hsa-miR-671-5p,0.0,576.38
hsa-miR-6720-3p,2.18,0.0
hsa-miR-6722-3p,0.0,3.32
hsa-miR-6743-5p,2.18,0.0
hsa-miR-675-3p,0.0,14.95
hsa-miR-675-5p,0.0,9.97
hsa-miR-6779-5p,6.54,6.64
hsa-miR-6790-5p,0.0,3.32
hsa-miR-7-1-3p,2.18,0.0
hsa-miR-7-5p,13.08,1.66
hsa-miR-708-5p,4.36,893.64
hsa-miR-744-3p,6.54,0.0
hsa-miR-744-5p,6.54,68.1
hsa-miR-758-3p,2.18,0.0
hsa-miR-769-5p,0.0,26.58
hsa-miR-7704,0.0,23.25
hsa-miR-802,0.0,18.27
hsa-miR-8485,0.0,3.32
hsa-miR-887-3p,2.18,19.93
hsa-miR-887-5p,0.0,1.66
hsa-miR-9-3p,0.0,6.64
hsa-miR-9-5p,0.0,26.58
hsa-miR-92a-1-5p,0.0,4.98
hsa-miR-92a-3p,39.25,202.65
hsa-miR-92b-3p,2.18,6.64
hsa-miR-92b-5p,0.0,8.31
hsa-miR-93-3p,2.18,0.0
hsa-miR-93-5p,63.24,122.92
hsa-miR-935,2.18,0.0
hsa-miR-95-3p,0.0,8.31
hsa-miR-98-5p,8.72,13.29
hsa-miR-99a-3p,0.0,36.54
hsa-miR-99a-5p,21.81,941.81
hsa-miR-99b-3p,0.0,3.32
hsa-miR-99b-5p,2.18,44.85
hsa-mir-12136-5p,4.36,3.32
hsa-mir-1234-3p,0.0,1.66
hsa-mir-1303-3p,45.8,0.0
hsa-mir-3159-5p,0.0,9.97
hsa-mir-3175-5p,2.18,0.0
hsa-mir-3183-5p,0.0,1.66
hsa-mir-3195-5p,0.0,4.98
hsa-mir-3648-1-5p,0.0,8.31
hsa-mir-3648-2-5p,0.0,3.32
hsa-mir-3685-5p,0.0,1.66
hsa-mir-3929-3p,0.0,4.98
hsa-mir-548v-3p,0.0,3.32
hsa-mir-558-3p,0.0,21.59
hsa-mir-5684-5p,0.0,1.66
hsa-mir-636-3p,0.0,3.32
hsa-mir-663a-5p,0.0,6.64
hsa-mir-7851-3p,0.0,3.32
hsa-mir-7853-5p,2.18,0.0
hsa-mir-8086-5p,0.0,11.63
hsa-mir-8485-3p,0.0,1.66
hsa-mir-934-5p,0.0,3.32
