miRNA,SRR30020836,SRR30020837,SRR30020838,SRR30020839,SRR30020840,SRR30020841,SRR30020842,SRR30020843,SRR30020844,SRR30020845,SRR30020846,SRR30020847,SRR30020848,SRR30020849,SRR30020850,SRR30020851,SRR30020852,SRR30020853,SRR30020854,SRR30020855,SRR30020856,SRR30020857,SRR30020858,SRR30020859,SRR30020860,SRR30020861,SRR30020862,SRR30020863,SRR30020864,SRR30020865,SRR30020866,SRR30020867,SRR30020868,SRR30020869,SRR30020870,SRR30020871,SRR30020872,SRR30020873
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.27,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,11.65,58.11,505.87,18.72,3.6,192.57,244.12,112.84,1811.76,154.13,56.72,480.25,196.56,80.21,92.54,347.37,48.5,15.48,623.9,819.01,372.84,1043.74,1421.59,15.87,2.26,3.76,32.57,647.99,59.53,24.23,87.8,39.34,480.37,386.08,58.36,63.17,30.52,321.98
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81
hsa-let-7b-5p,394.3,5704.28,4686.36,1261.33,547.85,1844.2,3204.71,3301.36,10830.81,1962.82,1538.76,9970.81,2895.95,1915.62,3066.26,4582.27,1226.07,1016.12,4907.65,11102.62,11471.96,9300.15,26584.7,1765.55,224.34,121.23,1250.32,5560.41,1232.41,1084.24,2962.97,1906.83,7478.97,4326.85,2329.59,1216.52,1830.55,6207.95
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.83,149.51,35.83,44.54,8.4,10.25,7.2,416.39,61.69,5.03,1.56,680.46,25.83,1.97,357.66,14.2,1.94,34.24,40.29,78.86,27.04,64.17,116.91,103.18,9.79,5.64,45.28,54.68,7.6,36.07,157.03,70.15,47.63,43.02,85.45,2.92,106.83,17.5
hsa-let-7d-5p,0.0,5.22,3.51,0.0,0.0,0.0,0.0,4.37,4.66,0.0,0.0,10.73,0.0,1.18,3.24,7.1,0.0,2.58,1.51,12.23,4.27,20.1,15.9,0.0,0.0,0.0,0.0,5.03,0.0,9.15,5.49,0.47,4.45,4.53,0.0,0.14,2.01,2.85
hsa-let-7e-5p,0.0,0.0,16.16,0.0,0.6,0.0,2.74,10.33,20.84,1.57,0.0,15.03,1.5,0.79,3.24,2.03,1.45,0.47,16.19,9.28,3.56,19.33,8.42,0.72,0.0,0.0,0.0,5.66,0.0,0.0,10.55,0.47,6.51,0.38,4.69,0.69,0.4,1.22
hsa-let-7f-5p,6.65,71.16,85.72,16.78,12.6,30.21,33.26,46.49,151.62,31.14,19.95,329.6,35.57,22.8,60.15,64.91,18.43,10.08,86.6,51.87,114.56,295.34,192.66,25.25,0.75,3.76,35.75,50.91,9.5,17.23,49.81,49.77,88.4,50.95,29.18,12.63,10.44,41.52
hsa-let-7g-5p,0.0,2.61,20.38,0.0,0.0,5.93,4.8,11.92,36.74,5.98,0.39,94.06,0.0,3.54,12.49,2.54,0.0,2.11,20.71,10.12,16.37,49.48,19.64,0.0,0.0,0.0,3.18,1.89,0.0,3.23,5.49,7.11,1.03,13.21,6.25,1.67,3.21,3.66
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,0.83,16.98,36.54,8.39,0.0,17.26,22.29,36.16,76.77,8.81,0.39,109.67,5.24,5.11,29.61,16.73,4.36,5.16,51.96,48.92,25.61,128.34,12.16,1.44,0.75,0.0,2.38,17.6,0.0,3.77,16.46,11.85,16.45,30.19,4.17,1.67,14.46,6.51
hsa-miR-1-3p,0.83,7.83,4.22,1.94,19.8,3.24,0.0,1.19,1.92,5.03,10.56,1.95,0.0,4.33,2.78,5.58,4.36,1.17,1.88,1.69,0.71,5.41,12.16,2.16,1.51,6.58,0.0,7.54,3.8,3.77,0.0,3.32,3.77,4.91,1.56,0.14,9.24,4.07
hsa-miR-100-5p,0.0,0.65,2.11,0.0,0.0,0.0,0.34,2.78,7.68,0.0,0.0,3.9,1.12,0.0,1.39,1.52,0.0,0.0,3.77,8.01,0.0,2.32,0.0,0.0,0.0,0.0,1.59,4.4,0.0,0.0,0.0,5.21,1.03,7.17,0.0,0.0,2.01,1.22
hsa-miR-101-3p,4.16,117.52,243.1,23.88,13.8,84.15,90.17,176.01,874.35,117.96,55.15,1693.64,89.11,64.48,213.76,132.36,26.67,89.82,274.86,250.51,155.11,654.85,390.0,43.29,7.53,0.0,36.54,153.98,39.26,34.45,112.71,81.52,205.24,217.38,90.66,62.34,91.97,159.16
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,1.76,0.0,0.0,0.0,0.0,1.45,0.0,0.0,1.69,0.71,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,114.8,677.04,2594.71,264.66,128.41,611.14,1574.07,1879.34,5893.16,774.75,331.69,19712.72,602.03,504.46,2665.11,1550.75,820.61,600.81,6451.41,3791.4,960.56,10378.69,2136.13,352.1,134.0,22.55,621.98,1110.57,166.56,426.38,1982.35,923.32,1250.26,1732.25,587.22,433.18,575.51,686.29
hsa-miR-105-5p,0.0,0.0,0.7,0.0,0.0,2.7,1.37,6.36,1.65,0.0,2.35,2.73,0.0,0.0,0.46,5.58,0.0,0.0,2.64,0.0,0.0,10.05,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,2.81,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,2.32,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-107,3.33,20.24,49.88,3.23,0.0,4.85,13.37,19.47,112.14,11.32,1.96,621.72,5.99,1.97,39.79,24.34,10.67,12.19,123.88,45.97,6.4,296.11,26.19,7.94,0.0,0.0,15.09,18.86,0.0,7.0,24.48,17.06,23.3,22.64,15.11,10.69,17.67,3.66
hsa-miR-10a-3p,0.0,0.0,0.0,1.29,0.0,4.85,0.0,0.0,3.84,0.31,3.52,12.88,0.0,0.0,0.0,0.0,0.0,0.47,2.26,1.69,0.0,6.96,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,1.71,0.38,0.0,1.11,0.0,2.04
hsa-miR-10a-5p,30.78,199.13,229.05,33.57,12.6,59.87,137.14,40.13,387.14,101.92,21.9,1131.05,197.68,124.64,52.75,245.44,74.2,89.58,254.91,574.83,293.15,506.41,1452.46,75.04,20.33,23.49,98.5,98.68,52.56,73.75,191.65,142.19,302.89,171.34,118.28,97.33,43.37,137.18
hsa-miR-10b-3p,0.0,0.65,0.7,0.0,0.0,0.0,0.0,2.78,2.19,0.0,1.56,2.54,0.0,0.0,2.78,0.0,0.0,0.47,2.26,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-10b-5p,0.0,0.65,8.43,0.0,0.0,1.62,0.0,1.99,4.66,0.0,0.0,6.83,0.0,0.0,8.79,2.03,0.0,0.47,6.02,6.33,0.0,12.37,0.0,2.89,0.75,0.0,0.0,2.51,0.0,0.0,1.27,0.0,0.69,3.02,0.0,0.14,0.8,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,1.87,0.0,0.0,0.0,0.0,0.0,0.0,4.85,2.53,0.0,1.37,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
