miRNA,SRR24123123,SRR24123124,SRR24123125,SRR24123126,SRR24123127
hsa-let-7a-3p,19.45,3.09,4.95,0.47,7.04
hsa-let-7a-5p,43655.39,26242.29,41924.75,2581.92,26270.59
hsa-let-7b-3p,4.92,6.86,0.64,0.0,3.88
hsa-let-7b-5p,262122.2,260691.11,240297.92,5294.86,158644.6
hsa-let-7c-3p,0.56,1.92,0.0,0.0,0.0
hsa-let-7c-5p,2926.82,5575.76,2227.42,598.13,1554.38
hsa-let-7d-3p,65.01,134.69,103.23,25.16,75.46
hsa-let-7d-5p,188.53,108.74,271.26,207.92,214.31
hsa-let-7e-3p,0.08,0.0,0.14,0.0,0.0
hsa-let-7e-5p,3384.22,2412.61,2626.7,218.36,2658.75
hsa-let-7f-1-3p,0.0,0.14,0.0,2.37,0.36
hsa-let-7f-2-3p,0.08,0.0,0.0,0.0,0.0
hsa-let-7f-5p,15453.66,9805.31,17874.31,2109.59,9648.95
hsa-let-7g-5p,1759.03,1034.89,4207.46,614.27,921.72
hsa-let-7i-5p,49977.07,25762.02,61505.73,1323.0,5740.09
hsa-miR-1-3p,7.46,0.89,23.95,5.7,1.58
hsa-miR-100-5p,97574.74,77994.71,78866.49,1776.35,51405.65
hsa-miR-101-3p,123.04,108.67,569.01,101.11,120.69
hsa-miR-10394-3p,1.91,0.0,0.0,0.47,6.96
hsa-miR-10395-3p,3.1,2.27,20.91,0.0,0.0
hsa-miR-10396a-3p,0.0,2.4,0.0,1.9,0.0
hsa-miR-10396b-3p,0.0,0.0,14.34,0.95,0.0
hsa-miR-10399-3p,2.62,0.0,0.0,1.9,15.51
hsa-miR-103a-3p,43.1,14.48,36.39,40.35,0.5
hsa-miR-10400-3p,0.0,0.0,0.0,0.47,0.0
hsa-miR-10401-3p,41.04,75.93,0.0,8.54,16.66
hsa-miR-10401-5p,0.56,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,2.54,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.08,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,81.21,84.71,278.82,30.86,134.9
hsa-miR-106b-5p,0.0,3.23,0.07,0.0,0.07
hsa-miR-107,0.08,0.21,0.78,2.85,0.43
hsa-miR-10a-3p,0.0,1.17,20.35,0.0,0.0
hsa-miR-10a-5p,39226.97,35711.01,43223.72,159.5,1751.03
hsa-miR-10b-3p,0.0,2.68,0.0,0.0,0.0
hsa-miR-10b-5p,9634.7,9199.62,11976.36,87.82,319.85
hsa-miR-11401,2.14,0.07,0.0,0.0,0.0
