miRNA,SRR12214115,SRR12214116,SRR12214117,SRR12214118,SRR12214119,SRR12214120,SRR12214121,SRR12214122
hsa-let-7a-2-3p,0.0,0.0,0.0,0.15,0.0,0.0,0.16,0.0
hsa-let-7a-3p,15.11,18.87,26.07,7.27,12.07,17.62,12.74,12.59
hsa-let-7a-5p,6058.57,5269.12,23413.88,6078.26,3843.01,5285.79,4481.8,8310.48
hsa-let-7b-3p,3.68,5.5,9.36,2.13,3.9,4.04,3.55,3.87
hsa-let-7b-5p,5471.32,4450.87,15935.56,4373.64,2351.37,4714.23,3346.27,4054.6
hsa-let-7c-3p,0.0,0.0,0.25,0.11,0.0,0.16,0.16,0.0
hsa-let-7c-5p,698.5,569.66,176.9,931.1,80.47,646.9,586.96,119.93
hsa-let-7d-3p,65.62,68.67,156.4,44.04,79.29,99.76,83.87,100.91
hsa-let-7d-5p,972.5,508.07,2805.41,791.25,619.68,634.45,763.74,1370.38
hsa-let-7e-3p,0.1,0.66,1.27,0.08,0.73,0.65,0.16,0.62
hsa-let-7f-1-3p,1.59,2.88,2.02,1.33,1.18,1.78,1.61,2.82
hsa-let-7f-2-3p,1.49,3.41,4.56,0.95,3.08,3.88,1.77,1.23
hsa-let-7f-5p,11905.88,27320.34,48277.41,11357.38,14828.4,20302.07,10836.59,15809.73
hsa-let-7g-3p,2.68,7.34,6.83,0.69,2.99,1.94,0.81,1.5
hsa-let-7g-5p,9492.34,19107.65,29614.13,8792.31,11069.02,14203.98,8654.72,8632.94
hsa-let-7i-3p,8.85,11.93,19.49,2.59,7.98,10.35,4.68,3.52
hsa-let-7i-5p,19976.16,31444.65,57691.3,20732.73,21903.18,32591.37,18545.31,18309.04
hsa-miR-1-3p,121.98,266.68,296.36,328.16,206.47,427.01,240.66,116.41
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.13,0.25,0.15,0.18,0.32,0.97,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.11,0.09,0.32,0.65,0.0
hsa-miR-101-3p,752.59,1906.2,2397.95,656.54,787.33,1772.87,830.68,464.13
hsa-miR-101-5p,0.6,3.41,1.27,0.23,0.54,1.78,0.32,0.18
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.36,0.0,0.16,0.0
hsa-miR-10393-3p,0.3,0.13,0.51,0.0,0.36,0.81,0.0,0.62
hsa-miR-10394-3p,0.0,0.13,0.0,0.04,0.18,0.16,0.0,0.18
hsa-miR-10395-3p,1.49,2.23,1.52,0.3,5.35,11.96,0.65,1.94
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.09,0.65,0.0,0.0
hsa-miR-10396a-3p,0.1,0.26,0.0,0.0,0.09,0.0,0.0,0.09
hsa-miR-10396a-5p,0.2,0.26,0.0,0.0,0.09,0.32,0.16,0.26
hsa-miR-10396b-3p,0.1,0.0,1.01,0.0,0.64,0.0,0.32,0.18
hsa-miR-10396b-5p,0.2,0.13,0.25,0.04,0.0,0.0,0.16,0.0
hsa-miR-10398-3p,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,7.66,10.48,11.89,4.23,10.8,9.05,6.29,11.71
hsa-miR-10399-5p,1.99,1.44,1.77,1.26,0.18,1.78,0.16,0.26
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.09
hsa-miR-103a-2-5p,0.8,1.83,0.25,0.0,3.81,2.59,0.16,0.44
hsa-miR-103a-3p,1572.98,3366.72,385.44,314.57,151.13,2367.87,550.51,501.38
hsa-miR-10401-3p,3.38,3.28,1.77,0.72,2.81,1.46,1.61,0.79
hsa-miR-10401-5p,0.3,0.0,0.51,0.15,0.09,0.0,0.32,0.09
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.04,0.09,0.16,0.16,0.0
hsa-miR-10527-5p,0.3,0.13,0.0,0.27,0.27,0.32,0.0,0.53
hsa-miR-106a-3p,1.09,1.18,1.01,0.38,0.64,2.91,0.48,0.44
hsa-miR-106a-5p,14.22,48.88,37.96,7.35,18.6,38.32,8.55,6.16
hsa-miR-106b-3p,965.44,872.9,2002.64,615.28,798.67,1403.42,950.69,860.55
hsa-miR-106b-5p,126.46,557.73,494.02,60.56,176.35,291.36,70.97,58.03
hsa-miR-107,214.24,252.4,46.31,23.87,301.36,102.51,25.48,58.2
hsa-miR-10a-3p,4.08,17.56,4.56,0.88,4.54,8.73,4.19,1.23
hsa-miR-10a-5p,0.1,0.39,1.01,0.19,0.18,0.97,0.0,0.35
hsa-miR-10b-3p,1.19,1.05,0.76,0.38,1.18,2.1,1.13,0.26
hsa-miR-10b-5p,0.5,0.13,0.76,0.23,0.45,1.46,0.32,0.18
hsa-miR-11399,0.0,0.13,0.0,0.04,0.0,0.0,0.0,0.0
hsa-miR-11400,18.59,12.84,22.02,9.44,20.59,48.51,45.81,41.3
hsa-miR-11401,5.27,1.97,4.3,5.98,2.18,3.56,5.48,5.99
hsa-miR-1179,0.2,0.0,0.25,0.04,0.09,0.49,0.0,0.0
hsa-miR-1180-3p,15.41,28.31,32.14,5.9,9.89,20.7,9.03,7.13
hsa-miR-1185-1-3p,2.09,2.1,4.56,2.32,2.09,5.5,2.1,1.06
hsa-miR-1185-2-3p,0.7,1.44,2.02,0.84,1.0,2.26,2.1,0.62
hsa-miR-1185-5p,0.0,0.52,0.0,0.27,0.27,0.0,0.16,0.0
hsa-miR-1193,0.0,0.0,0.0,0.19,0.27,0.0,0.0,0.09
hsa-miR-1197,1.29,4.19,5.82,2.74,2.0,4.04,3.23,1.06
hsa-miR-12121,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0
hsa-miR-12132,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12135,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.7,1.44,0.0,0.04,1.72,0.49,0.48,0.62
hsa-miR-122-3p,0.1,0.92,1.27,7.0,3.81,1.13,15.65,0.0
hsa-miR-122-5p,10727.0,1846.71,25585.32,20097.28,2254.94,733.72,201506.03,1163.1
hsa-miR-1224-5p,0.0,0.13,0.0,0.0,0.0,0.16,0.0,0.0
hsa-miR-1225-3p,0.1,0.0,0.0,0.0,0.27,0.0,0.0,0.09
hsa-miR-1226-3p,0.3,0.39,0.0,0.15,0.0,0.32,0.0,0.26
hsa-miR-1226-5p,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.13,0.0,0.0,0.0,0.16,0.0,0.0
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-1229-3p,0.3,0.79,0.76,0.0,0.09,0.49,0.48,0.18
hsa-miR-1229-5p,0.0,0.13,0.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.48,0.09
hsa-miR-1233-5p,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.08,0.18,0.16,0.0,0.18
hsa-miR-1236-5p,0.0,0.0,0.25,0.0,0.0,0.16,0.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0
hsa-miR-124-3p,0.0,0.26,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-1244,0.2,0.26,0.0,0.04,0.45,0.32,0.32,0.44
hsa-miR-1246,60.35,140.74,59.22,15.57,34.47,48.67,43.87,42.44
hsa-miR-1247-3p,0.1,0.26,0.0,0.0,0.27,0.0,0.0,0.0
hsa-miR-1247-5p,1.69,5.5,0.25,0.04,1.36,3.07,0.32,0.0
hsa-miR-1248,0.89,0.79,0.76,0.42,2.36,3.72,4.68,0.44
hsa-miR-1249-3p,1.79,1.31,2.28,0.46,1.63,1.46,0.48,1.58
hsa-miR-1250-3p,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09
hsa-miR-1250-5p,8.65,9.83,19.74,7.69,9.98,9.54,7.9,11.54
hsa-miR-1255a,4.57,3.67,17.97,1.64,3.63,3.23,1.61,3.08
hsa-miR-1255b-5p,12.33,10.61,40.49,6.28,8.07,11.48,6.94,8.45
hsa-miR-1256,0.0,0.26,0.25,0.0,0.27,0.16,0.0,0.0
hsa-miR-1257,0.4,0.0,0.0,0.0,0.18,0.0,0.0,0.0
hsa-miR-1258,0.0,0.0,0.0,0.08,0.0,0.16,0.48,0.0
hsa-miR-125a-3p,5.47,1.44,8.1,4.15,3.54,2.26,5.48,3.52
hsa-miR-125a-5p,18.99,31.71,21.01,10.58,52.43,75.02,28.87,16.82
hsa-miR-125b-1-3p,0.7,0.13,0.51,0.72,0.73,1.62,1.61,0.0
hsa-miR-125b-2-3p,0.1,0.39,0.25,0.46,0.27,0.81,2.26,0.0
hsa-miR-125b-5p,5.57,13.5,13.92,16.22,24.95,62.09,68.23,9.07
hsa-miR-126-3p,10517.23,10518.07,24956.41,6537.09,9289.71,11158.49,9462.02,10869.4
hsa-miR-126-5p,183.92,423.15,488.45,128.35,268.88,217.47,216.14,188.7
hsa-miR-1260b,2.78,19.26,4.05,1.56,6.62,7.92,3.55,3.61
hsa-miR-1261,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0
hsa-miR-1262,0.2,0.39,1.27,0.38,0.36,0.97,0.48,0.62
hsa-miR-1265,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0
hsa-miR-1266-5p,0.3,0.39,0.25,0.08,1.18,1.29,0.16,0.26
hsa-miR-1268a,0.0,3.41,0.51,0.38,0.27,3.72,0.81,0.18
hsa-miR-1268b,1.59,0.13,1.77,0.0,4.08,0.65,0.16,0.97
hsa-miR-1269a,4.37,0.0,0.25,0.23,0.0,1.78,2.74,0.09
hsa-miR-1269b,3.38,0.13,0.25,0.27,8.35,1.29,0.65,0.09
hsa-miR-127-3p,46.03,29.75,71.37,63.04,72.57,96.69,82.75,47.9
hsa-miR-1270,0.7,0.66,0.76,0.38,0.91,0.65,0.48,0.88
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-1271-5p,1.99,1.18,4.05,3.16,2.09,2.75,4.03,2.47
hsa-miR-1273c,0.89,0.79,1.01,0.53,0.73,0.97,0.97,1.06
hsa-miR-1273h-3p,17.6,11.93,32.14,16.06,15.69,12.93,17.9,20.87
hsa-miR-1273h-5p,10.24,3.54,23.03,11.42,4.99,8.25,14.84,14.0
hsa-miR-1275,35.49,8.52,8.35,2.89,12.88,14.55,7.58,8.19
hsa-miR-1276,0.2,0.0,0.51,0.11,0.0,0.16,0.0,0.0
hsa-miR-1277-3p,0.7,0.79,1.01,0.61,0.82,2.43,1.13,0.53
hsa-miR-1278,2.88,2.75,9.11,3.69,2.99,3.56,4.19,3.17
hsa-miR-128-1-5p,0.89,1.31,1.01,0.72,1.18,1.13,0.97,1.58
hsa-miR-128-3p,75.86,87.01,113.89,52.99,78.38,83.43,91.62,85.59
hsa-miR-1283,0.1,0.0,0.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-1284,0.2,1.05,1.01,0.3,0.82,0.65,0.32,0.53
hsa-miR-1285-3p,11.63,9.7,25.06,6.51,6.17,16.98,7.26,9.69
hsa-miR-1285-5p,1.19,1.05,1.77,0.19,1.45,0.97,0.97,1.06
hsa-miR-1286,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-3p,0.3,0.13,0.0,0.0,0.0,0.16,0.0,0.18
hsa-miR-1287-5p,7.16,7.86,11.89,5.02,12.7,13.26,9.03,5.11
hsa-miR-1288-3p,0.0,0.13,0.0,0.19,0.0,0.0,0.0,0.0
hsa-miR-1289,0.1,0.26,1.01,0.11,0.27,0.32,0.16,0.26
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,0.09,0.16,0.0,0.0
hsa-miR-129-2-3p,0.0,0.39,0.0,0.0,0.27,0.65,0.0,0.0
hsa-miR-129-5p,1.69,1.05,2.28,0.72,1.54,6.79,1.94,1.06
hsa-miR-1291,0.89,1.18,0.76,0.15,1.91,1.62,0.48,0.26
hsa-miR-1292-3p,0.0,0.13,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-1292-5p,2.39,0.52,4.81,1.07,1.81,1.13,0.32,1.5
hsa-miR-1293,0.1,0.13,0.0,0.0,0.0,0.65,0.0,0.0
hsa-miR-1294,4.18,3.93,11.89,4.38,2.45,5.01,3.87,5.9
hsa-miR-1295a,0.2,0.13,0.0,0.11,0.0,0.0,0.16,0.26
hsa-miR-1295b-3p,0.1,0.26,0.0,0.53,0.0,0.16,0.81,0.0
hsa-miR-1296-3p,0.0,0.26,0.25,0.04,0.0,0.16,0.0,0.0
hsa-miR-1296-5p,3.68,6.68,5.06,4.15,4.35,6.31,4.36,4.84
