miRNA,SRR10188959,SRR10188960,SRR10188961,SRR10188962,SRR10188964,SRR10188965,SRR10188966,SRR10188967,SRR10188968,SRR10188969,SRR10188970,SRR10188971,SRR10188972,SRR10188973,SRR10188975,SRR10188976,SRR10188977,SRR10188978,SRR10188979,SRR10188980,SRR10188981,SRR10188982,SRR10188983,SRR10188984,SRR10188986,SRR10188987,SRR10188988,SRR10188989,SRR10188990,SRR10188991,SRR10188992,SRR10188993,SRR10188994,SRR10188995,SRR10188997,SRR10189043,SRR10189044,SRR10189045,SRR10189046,SRR10189047,SRR10189048,SRR10189055,SRR10189056,SRR10189057,SRR10189058,SRR10189059,SRR10189060,SRR10189061,SRR10189062,SRR10189064,SRR10189065,SRR10189066,SRR10189067,SRR10189068,SRR10189069,SRR10189070,SRR10189071,SRR10189072,SRR10189073
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,0.0,17.18,9.73,0.0,0.0,5.57,8.44,17.43,16.29,21.15,1408.01,0.0,0.0,7.69,7.98,6.22,4.66,8.04,14.68,11.24,0.0,0.0,11.16,27.37,9.15,0.0,6.33,12.59,0.0,8.95,1.94,0.0,0.0,0.0,3.93,0.0,0.0,0.0,1.78,0.0,0.0,0.0,1045.21,50.59,14.61,9.68,0.0,4.55,6.65,8.24,2.0,0.0,0.0,18.23,5.87,7.47,0.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,28.0,135.07,39.27,77.29,60.84,24.19,149.83,125.36,232.0,176.45,301.41,206.26,19572.84,1.24,71.6,80.01,127.67,91.28,100.11,91.11,102.75,205.11,77.5,161.66,136.2,248.63,201.27,112.24,161.37,119.58,19.79,66.24,112.25,8.09,268.43,6.96,62.88,17.94,27.52,35.28,170.66,132.81,0.0,6.86,10117.98,213.6,280.01,30.97,106.69,97.91,159.63,109.87,91.92,92.03,218.52,313.56,108.55,224.22,98.97
hsa-miR-1-3p,8.62,27.01,14.47,4.29,12.17,0.0,19.39,11.14,0.0,2.18,5.43,5.29,1530.24,16.09,15.75,3.08,26.6,4.15,2.33,0.0,0.0,8.43,0.0,13.06,2.23,18.25,16.47,34.69,4.75,6.29,17.32,3.58,17.42,0.0,13.42,0.0,11.79,0.0,15.29,10.58,5.33,9.16,0.0,0.0,36.04,0.0,17.04,9.68,10.78,13.66,55.43,19.23,0.0,21.24,13.45,10.94,2.93,0.0,10.42
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,2451.14,49485.6,5000.07,21504.08,4317.32,5677.81,10462.0,15316.0,32566.19,55106.19,65605.87,30124.5,5836.35,2899.48,7012.74,13717.75,14508.75,20434.37,17201.0,13977.32,34811.41,31649.07,7984.58,76087.15,16725.91,41679.12,36426.05,16618.37,24451.87,23435.8,3508.64,12214.73,71936.45,8069.96,75230.93,1946.22,36258.03,5782.85,10574.41,7909.85,12881.25,27446.01,8800.21,24316.32,4782.44,38448.13,97608.72,27524.84,20773.99,42510.41,70339.85,21663.36,20980.5,57857.4,40318.7,40452.4,15531.9,26929.06,15511.63
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-5p,2.15,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
