miRNA,SRR13208980,SRR13208981
hsa-let-7a-2-3p,0.39,0.09
hsa-let-7a-3p,0.13,0.09
hsa-let-7a-5p,17.37,9.56
hsa-let-7b-5p,907.26,176.29
hsa-let-7c-5p,0.13,0.0
hsa-let-7d-3p,0.13,0.0
hsa-let-7d-5p,1.04,0.18
hsa-let-7e-5p,1.7,0.44
hsa-let-7f-1-3p,0.13,0.0
hsa-let-7f-2-3p,0.0,0.09
hsa-let-7f-5p,55.9,67.29
hsa-let-7g-5p,2.35,0.35
hsa-let-7i-3p,0.13,0.0
hsa-let-7i-5p,30.3,11.33
hsa-miR-1-3p,0.13,0.0
hsa-miR-100-5p,5.22,1.42
hsa-miR-101-3p,144.72,28.86
hsa-miR-10393-3p,0.13,0.18
hsa-miR-10394-3p,0.0,0.09
hsa-miR-10394-5p,0.26,0.0
hsa-miR-10395-3p,1.96,10.63
hsa-miR-10395-5p,0.0,0.18
hsa-miR-10397-3p,0.0,0.53
hsa-miR-103a-3p,2411.57,783.6
hsa-miR-10401-3p,0.0,0.09
hsa-miR-105-5p,0.26,0.35
hsa-miR-10526-3p,0.0,0.09
hsa-miR-10527-5p,0.13,0.09
hsa-miR-106b-3p,0.13,0.09
hsa-miR-106b-5p,0.13,0.35
hsa-miR-107,56.95,23.2
hsa-miR-10a-3p,3.27,0.44
hsa-miR-10a-5p,76.02,25.68
hsa-miR-10b-3p,0.13,0.0
hsa-miR-10b-5p,0.78,0.09
hsa-miR-1179,0.0,0.09
hsa-miR-12136,5.36,3.9
hsa-miR-1236-5p,0.39,0.09
hsa-miR-1244,1.83,5.93
hsa-miR-1246,6.92,13.02
hsa-miR-1248,4.44,15.85
hsa-miR-1255b-5p,0.26,0.0
hsa-miR-125a-5p,8.49,3.1
hsa-miR-125b-5p,8.62,2.3
hsa-miR-126-3p,1.31,0.0
hsa-miR-1260a,0.0,0.09
hsa-miR-1262,0.26,0.09
hsa-miR-1268a,0.26,0.0
hsa-miR-127-3p,284.87,66.14
hsa-miR-1273h-5p,0.0,0.09
hsa-miR-1285-5p,1.44,0.44
hsa-miR-1292-5p,0.0,0.09
hsa-miR-1302,0.13,0.0
hsa-miR-1306-3p,0.0,0.18
