miRNA,ERR9872207,ERR9872208,ERR9872209,ERR9872210,ERR9872211,ERR9872212
hsa-let-7a-3p,4.14,0.83,1.78,0.58,1.81,1.47
hsa-let-7a-5p,2869.84,2448.69,1867.9,1652.2,3064.57,1300.4
hsa-let-7b-3p,0.0,5.81,0.96,2.04,0.82,1.79
hsa-let-7b-5p,909.45,1527.01,549.66,941.98,374.24,765.38
hsa-let-7c-3p,0.0,0.17,0.27,0.0,0.49,0.0
hsa-let-7c-5p,46.72,239.01,45.43,104.53,128.1,54.94
hsa-let-7d-3p,44.74,72.2,22.3,25.15,22.39,35.21
hsa-let-7d-5p,35.13,70.21,44.06,44.93,44.62,59.67
hsa-let-7e-3p,0.83,0.0,0.55,0.73,0.82,1.14
hsa-let-7e-5p,1221.27,1776.97,553.21,611.36,511.89,871.66
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.49
hsa-let-7f-5p,1161.46,752.88,586.87,565.56,1230.24,254.47
hsa-let-7g-5p,130.23,188.88,74.16,151.5,230.01,27.06
hsa-let-7i-3p,0.0,4.15,0.0,0.0,0.0,0.0
hsa-let-7i-5p,1011.68,1413.81,872.03,636.22,828.5,375.76
hsa-miR-1-3p,14.58,17.76,18.88,478.19,1.98,2.61
hsa-miR-100-5p,951.37,1995.9,1590.13,494.91,2038.0,364.84
hsa-miR-101-3p,3.65,6.81,5.2,6.69,6.26,5.05
hsa-miR-10394-3p,0.0,0.0,0.55,2.91,0.33,0.0
hsa-miR-10399-3p,8.95,56.6,36.94,5.67,32.93,19.24
hsa-miR-10399-5p,0.0,0.0,0.27,0.0,0.0,0.0
hsa-miR-103a-3p,3.65,26.56,8.89,0.73,12.35,12.55
hsa-miR-10400-3p,0.0,0.0,0.14,3.05,0.0,0.16
hsa-miR-10401-3p,0.0,0.0,0.55,6.54,1.15,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-105-5p,0.83,0.0,3.15,0.0,1.81,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.15,0.0,0.33
hsa-miR-10527-5p,8.28,3.82,1.51,2.76,3.13,2.93
hsa-miR-106b-3p,8.62,37.18,14.23,8.58,12.68,8.31
hsa-miR-106b-5p,0.0,4.98,0.55,0.58,1.81,0.0
hsa-miR-107,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-10a-3p,0.0,0.0,1.23,0.0,1.48,0.65
hsa-miR-10a-5p,710.96,1242.02,847.13,294.12,614.13,400.7
hsa-miR-10b-3p,0.0,0.0,0.27,0.29,0.0,0.0
hsa-miR-10b-5p,123.27,208.14,143.54,150.62,94.67,96.02
hsa-miR-11181-3p,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,38.44,146.89,36.26,24.13,29.31,39.29
hsa-miR-1181,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-1182,0.0,0.0,0.0,2.18,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.27,0.15,0.0,0.0
