miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-miR-1260b,3.38,0.0,1.33,0.0,0.82,1.38,0.6,0.67,1.36,0.32,0.0,1.05,0.38,0.66,0.59,1.37,0.68
hsa-miR-1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.08,0.0,0.9,0.0,0.0,0.0,0.11,0.68
hsa-miR-1268a,1.35,0.0,0.44,0.0,0.35,0.0,0.0,0.0,0.0,0.08,0.0,0.45,0.0,0.0,0.79,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,2.96,0.0,1.38,0.72,0.22,0.34,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
hsa-miR-127-3p,4.73,24.16,51.62,35.52,136.32,120.41,6.88,107.52,51.84,6.05,30.06,146.13,17.1,8.89,148.92,9.61,404.49
hsa-miR-127-5p,0.0,0.0,0.0,2.96,1.17,5.65,0.0,2.92,1.02,1.29,2.31,2.7,1.4,0.0,2.96,0.69,3.39
hsa-miR-1270,0.0,1.86,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.2,0.0,0.0
hsa-miR-1271-5p,0.68,0.0,2.67,0.0,1.41,5.79,0.72,1.57,1.02,1.13,0.0,1.2,0.38,0.0,5.33,1.6,0.0
hsa-miR-1273c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,1.86,0.0,0.0,4.1,4.0,0.6,2.47,0.85,3.39,0.0,7.79,0.26,0.0,4.34,0.0,4.74
hsa-miR-1273h-5p,0.0,1.86,0.0,0.0,3.16,3.17,0.0,0.22,0.34,0.81,4.63,18.44,0.0,0.0,1.18,0.11,3.39
hsa-miR-1275,0.0,0.0,0.0,0.0,0.23,0.14,0.0,0.0,0.17,0.16,0.0,0.3,0.0,0.0,0.2,0.0,0.0
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.0,0.0,1.78,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,0.0,0.0,0.47,0.55,0.12,0.0,0.0,0.65,0.0,0.9,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,103.3,14.25,53.84,29.6,41.34,116.0,41.64,73.4,43.03,51.47,9.25,98.62,11.23,100.39,132.15,18.99,18.97
hsa-miR-1284,0.0,1.24,0.0,0.0,0.7,2.07,0.12,0.9,0.51,1.29,0.0,0.9,0.64,0.0,1.18,0.11,0.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,0.23,0.55,0.0,0.0,0.0,0.0,0.0,1.2,0.38,0.0,0.39,0.0,0.0
hsa-miR-1285-5p,1.35,0.0,0.89,0.0,0.12,1.1,0.48,0.0,0.0,0.32,0.0,2.4,0.0,0.0,0.39,0.0,0.0
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.7,0.55,0.0,0.45,0.0,0.32,0.0,0.15,0.13,0.0,0.2,0.11,0.0
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.68
hsa-miR-1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.2,0.0,0.0
hsa-miR-129-5p,0.0,0.62,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.48,0.0,0.6,0.13,0.0,0.59,0.0,0.0
hsa-miR-1290,0.0,0.0,0.0,0.0,0.23,0.14,0.0,0.0,0.0,0.16,0.0,0.3,0.13,0.0,0.0,0.0,5.42
hsa-miR-1291,0.0,0.0,6.67,5.92,1.52,3.72,10.38,4.04,1.02,6.29,0.0,3.9,0.26,1.32,2.96,0.46,0.0
hsa-miR-1292-5p,0.0,0.0,3.11,0.0,0.82,0.41,0.0,0.22,0.51,0.4,0.0,0.75,0.13,0.66,0.2,0.34,0.0
hsa-miR-1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,0.0,0.0,0.35,0.28,0.0,0.0,0.17,0.08,0.0,0.9,0.51,0.0,0.2,0.23,0.0
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.47,0.96,0.72,2.47,1.19,0.48,0.0,0.75,0.0,0.0,0.99,0.57,0.0
hsa-miR-1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1298-5p,0.0,0.0,0.44,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,2.03
hsa-miR-1299,0.0,4.34,0.0,0.0,1.29,3.03,0.24,0.67,0.51,0.0,0.0,1.05,0.13,0.66,1.38,0.0,0.68
hsa-miR-1301-3p,2.03,1.86,15.57,11.84,10.31,21.49,6.28,12.12,7.62,6.78,2.31,11.99,2.55,0.33,25.25,3.43,0.0
hsa-miR-1303,0.0,0.0,2.22,0.0,2.58,10.75,1.21,2.47,0.17,3.95,0.0,8.24,0.38,0.33,6.31,0.69,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.23,0.55,0.0,0.22,0.0,0.0,0.0,0.6,0.38,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,0.59,0.41,0.0,0.45,0.17,0.08,0.0,0.6,0.0,0.66,0.59,0.0,0.68
hsa-miR-1306-3p,0.0,0.0,0.44,0.0,0.23,0.83,0.12,0.9,0.17,0.08,0.0,0.45,0.0,0.0,0.2,0.0,3.39
