miRNA,SRR13859601,SRR13859602,SRR13859603,SRR13859604,SRR13859605,SRR13859606,SRR13859607,SRR13859608,SRR13859609,SRR13859610
hsa-let-7a-3p,9.6,7.08,1.05,13.77,8.94,10.97,3.63,2.27,14.66,12.7
hsa-let-7a-5p,7659.85,3407.89,18119.81,8908.2,2182.43,5118.4,9433.01,1781.52,6925.53,10590.19
hsa-let-7b-3p,1.12,2.26,1.05,1.5,1.73,2.24,0.19,0.99,1.94,3.89
hsa-let-7b-5p,190.31,548.83,757.34,879.3,1391.57,5900.32,522.55,1718.72,905.94,1737.52
hsa-let-7c-3p,0.32,0.0,0.0,0.9,3.14,0.45,0.29,0.43,0.0,1.43
hsa-let-7c-5p,273.54,1061.71,1702.24,639.27,3646.33,762.22,412.93,1001.08,1363.98,1231.52
hsa-let-7d-3p,88.67,71.61,258.41,88.89,76.4,211.09,72.41,64.36,128.68,236.31
hsa-let-7d-5p,1028.21,256.16,3019.57,920.0,361.78,543.29,995.55,119.63,855.72,868.25
hsa-let-7e-3p,0.16,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.22,0.0
hsa-let-7f-1-3p,1.76,1.13,0.6,1.2,0.0,1.34,1.24,0.57,0.86,1.43
hsa-let-7f-2-3p,3.68,0.0,0.0,0.3,0.16,1.34,0.38,0.71,1.29,1.02
hsa-let-7f-5p,28008.72,2152.86,18890.53,14622.73,3341.19,3141.56,15238.22,1308.54,9678.07,5117.35
hsa-let-7g-3p,0.64,1.42,0.3,0.6,0.0,2.46,0.38,0.0,0.43,0.61
hsa-let-7g-5p,24168.63,1569.21,19296.8,8547.26,2557.7,4563.02,9575.43,948.23,6976.83,6615.08
hsa-let-7i-3p,0.96,0.0,0.0,1.2,2.04,5.82,0.29,1.14,1.08,0.61
hsa-let-7i-5p,48967.24,8585.67,21079.96,37375.22,13934.24,28304.68,40577.1,15809.92,34593.6,27422.98
hsa-miR-1-3p,1905.96,1651.3,1486.69,3155.65,1983.19,1846.12,1466.44,356.62,5321.64,1232.14
hsa-miR-1-5p,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.22,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,1.57,0.67,0.67,1.14,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1004.36,476.09,39.71,622.51,188.89,683.2,645.08,390.72,716.48,611.87
hsa-miR-10393-3p,0.0,0.0,0.0,0.6,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,2.88,0.0,0.0,1.8,0.0,1.79,0.1,0.28,1.08,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.65,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.16,0.0,0.0,0.0,0.63,0.45,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.16,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,5.28,11.04,7.97,5.09,13.49,28.88,10.04,15.77,13.36,22.12
hsa-miR-10399-5p,0.96,0.0,0.0,0.3,0.0,0.45,0.48,0.0,0.43,1.02
hsa-miR-103a-1-5p,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,3.68,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,4745.53,326.64,600.0,50.58,926.41,220.72,3330.31,74.31,1255.56,658.35
