miRNA,ERR2298274,ERR2298275,ERR2298276,ERR2298277,ERR2298278,ERR2298279,ERR2298280,ERR2298281,ERR2298282,ERR2298283,ERR2298285,ERR2298286,ERR2298287,ERR2298288,ERR2298289,ERR2298290,ERR2298291,ERR2298292,ERR2298293,ERR2298294,ERR2298295,ERR2298296,ERR2298297,ERR2298298,ERR2298299,ERR2298300,ERR2298301,ERR2298302,ERR2298303,ERR2298304,ERR2298305,ERR2298306,ERR2298307,ERR2298308,ERR2298309,ERR2298310,ERR2298311,ERR2298312,ERR2298313,ERR2298314,ERR2298315,ERR2298316,ERR2298317,ERR2298318,ERR2298319,ERR2298320,ERR2298321,ERR2298322,ERR2298323,ERR2298324,ERR2298325,ERR2298326,ERR2298327,ERR2298328,ERR2298329,ERR2298330,ERR2298331,ERR2298332,ERR2298333,ERR2298334,ERR2298335,ERR2298336,ERR2298337,ERR2298338,ERR2298339,ERR2298340,ERR2298341,ERR2298342,ERR2298343,ERR2298344,ERR2298345,ERR2298346,ERR2298347,ERR2298348,ERR2298349,ERR2298350,ERR2298351,ERR2298352,ERR2298353,ERR2298354,ERR2298355,ERR2298356,ERR2298357,ERR2298358
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,2.4,1.69,2.97,1.86,2.39,2.87,3.68,3.46,2.73,1.59,1.9,2.04,1.24,13.6,28.9,9.2,11.94,6.3,0.0,3.68,0.0,0.0,2.38,0.0,18.03,0.0,6.01,0.0,0.0,5.48,4.81,3.07,31.23,0.0,22.62,9.66,15.02,0.0,18.51,41.99,18.02,67.7,52.81,83.33,47.79,0.0,12.45,8.16,30.51,32.5,28.28,65.13,55.78,58.21,69.66,53.79,4.16,0.0,0.0,4.63,0.0,0.0,0.0,1.8,1.48,0.0,0.0,6.44,1.57,3.81,0.0,4.75,5.17,6.21,0.0,10.17,17.87,24.2,13.88,19.25,9.9,27.92,6.77,28.12
hsa-let-7a-5p,4423.3,1514.8,5042.74,3363.16,10371.39,6822.39,10032.37,13741.79,2610.39,3663.15,4884.47,3105.29,8244.05,19738.3,21541.57,21404.52,21519.7,11837.52,13896.46,880.41,18840.91,18302.9,3932.05,5380.85,17878.85,2099.81,5137.36,5952.32,4261.79,26354.3,23870.38,15688.23,27827.61,3264.03,58232.7,32678.85,21231.93,200.66,9790.34,7747.54,1730.97,18114.88,15614.01,19241.35,9825.29,279.41,13118.2,5964.27,9766.84,11143.14,13586.56,19406.34,11181.65,19316.33,27760.78,15268.07,478.01,2415.2,777.09,5746.51,1213.72,3642.07,13712.71,3481.99,2018.08,737.52,3918.77,6644.44,4326.79,1720.07,8881.73,3398.41,12225.97,5579.27,3972.88,7592.76,6503.32,10796.01,9748.92,10979.2,8833.07,10652.94,3805.62,8015.97
hsa-let-7b-3p,0.48,0.0,0.99,0.0,0.0,2.87,4.29,2.88,0.68,0.06,0.88,0.21,0.0,0.5,2.22,1.31,4.34,0.0,0.0,0.0,0.0,24.11,0.0,0.0,7.21,0.0,9.01,0.0,0.0,0.0,5.61,0.0,3.47,0.0,9.42,12.42,6.44,0.0,11.9,15.4,3.86,20.23,8.05,23.22,16.6,0.0,2.03,2.16,6.73,3.68,7.07,7.55,6.03,9.25,7.42,10.45,0.0,53.84,0.0,4.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,1.57,0.95,6.83,0.0,2.59,12.43,0.0,12.72,19.91,10.25,11.84,15.03,8.55,17.21,5.92,21.6
hsa-let-7b-5p,7276.5,1534.64,9786.11,5332.08,12771.12,5056.25,24003.34,8042.85,2726.49,1819.63,2331.57,2714.85,6191.5,11871.49,12795.43,7443.94,9248.86,10388.89,31370.1,845.49,10981.7,19285.24,2075.38,5399.15,8959.26,726.81,2119.24,6808.25,2053.5,16917.39,8799.91,4323.33,7811.44,1199.34,13414.1,11729.45,14352.8,356.74,8546.38,8511.13,11704.93,8599.98,11052.31,4836.3,5157.36,419.11,5289.44,2687.71,3457.75,4721.33,3407.29,10254.15,3640.01,4425.79,11793.93,10585.16,660.9,1784.48,1257.47,7490.83,1529.2,3392.4,6500.95,1521.91,1421.39,909.93,2682.37,3909.44,1899.76,891.43,6755.17,677.31,4841.76,2609.46,3664.26,6803.37,8032.28,11028.96,9284.26,9742.8,9948.28,7141.58,5597.81,15328.07
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.4,0.0,1.4,1.01,2.28,0.0,0.0,0.0,0.17,0.0,0.64,0.0,0.34,1.36,0.0,0.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.41,1.22,0.94,0.0,0.65,0.0,0.0
hsa-let-7c-5p,923.02,70.1,298.38,117.79,353.39,193.37,3980.93,490.57,137.28,337.75,60.49,95.2,147.02,3818.8,3770.26,3761.07,326.19,3040.41,598.41,62.49,1272.56,2784.31,180.67,212.31,876.45,124.12,338.28,231.95,108.84,405.54,1958.3,273.67,3874.49,86.03,546.59,318.69,373.47,178.37,236.63,777.24,736.14,272.76,1671.88,325.88,1433.58,0.0,108.72,57.94,751.6,176.61,855.45,113.64,114.48,127.13,5756.1,2316.67,54.04,99.99,0.0,111.04,460.08,96.75,2560.41,110.0,404.21,9.58,523.9,202.71,48.79,420.51,317.45,104.57,201.74,211.24,1560.46,363.67,117.93,78.74,102.08,586.03,1244.32,124.04,748.26,111.67
hsa-let-7d-3p,20.67,5.91,24.78,9.3,37.01,28.72,49.08,23.64,6.15,18.77,18.9,12.99,23.13,74.55,70.59,58.49,95.52,58.52,505.33,58.82,577.36,614.72,42.79,212.31,360.68,103.65,379.14,143.74,38.7,306.89,351.61,95.32,609.02,53.98,1010.25,907.78,302.64,0.0,410.46,667.0,84.94,1157.34,503.98,1297.07,657.43,0.0,207.45,160.82,328.55,225.77,348.89,267.89,295.24,426.15,410.12,353.62,37.41,161.53,14.13,277.61,72.3,102.99,169.69,100.98,66.63,28.73,117.35,180.19,192.02,77.06,368.65,125.96,623.33,453.55,243.41,316.87,477.83,598.78,464.25,483.2,506.1,407.18,252.95,833.06
hsa-let-7d-5p,206.24,70.52,114.0,99.81,173.12,302.49,395.09,528.62,118.84,405.55,317.85,201.98,558.36,1653.76,1968.78,1928.18,2546.0,1148.82,265.96,5.51,312.25,379.68,33.28,98.83,667.26,40.95,124.98,104.54,70.14,487.74,728.85,384.36,976.86,121.45,1528.57,1245.79,236.1,0.0,255.8,505.68,230.37,783.45,748.93,543.75,556.83,0.0,556.48,219.09,655.07,783.95,729.78,1188.23,627.4,1115.59,1897.06,1037.09,24.94,46.15,14.13,46.27,52.58,68.66,294.13,32.46,11.84,76.63,142.5,102.96,155.03,59.94,102.4,99.81,312.96,105.62,69.55,473.53,716.24,957.63,721.08,600.12,433.22,997.17,287.63,622.76
hsa-let-7e-3p,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.58,0.0,0.06,0.0,0.21,0.0,1.51,0.0,0.66,0.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.35,0.0,1.12,0.0,0.62,1.51,0.0,0.0,0.17,0.16,0.16,0.0,1.01,0.78,0.21,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,2.7,0.0,0.42,0.82
hsa-let-7e-5p,88.46,41.81,180.42,83.07,136.1,125.4,265.64,242.12,27.32,63.74,78.07,69.12,91.27,340.02,203.44,447.54,555.22,333.12,704.8,31.25,347.6,922.08,59.43,62.23,360.68,52.46,38.46,235.22,130.61,400.05,470.15,61.5,320.99,37.11,446.7,798.79,412.1,0.0,104.76,57.04,25.74,62.36,44.26,52.45,72.43,0.0,71.66,22.14,24.88,58.44,26.33,67.31,16.72,68.29,242.98,94.46,16.63,84.61,14.13,268.36,56.96,62.42,248.88,110.0,34.05,9.58,92.21,312.11,229.8,32.35,249.18,23.77,362.1,167.75,86.93,32.04,46.46,22.15,35.12,17.84,26.54,31.5,29.19,53.8
hsa-let-7f-1-3p,1.44,0.0,0.0,0.62,1.19,0.0,0.61,2.31,0.68,0.41,0.44,0.11,0.0,2.52,4.45,1.31,0.0,4.5,0.0,0.0,5.89,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,4.29,0.0,1.65,2.45,0.0,6.46,4.02,3.52,1.01,0.0,1.59,0.67,2.97,4.32,2.83,5.87,6.22,5.25,3.71,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,4.07,1.02,4.1,2.04,2.82,1.35,4.55,0.85,4.89
hsa-let-7f-2-3p,0.48,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.06,0.15,0.21,0.0,2.01,2.78,0.66,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.56,0.25,2.07,1.51,0.0,0.43,0.33,1.25,1.12,0.53,2.01,1.75,1.26,1.03,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.41,0.82,0.94,0.0,0.65,0.0,1.22
hsa-let-7f-5p,4035.82,997.48,4129.75,3485.91,8714.26,9877.01,10183.91,17143.51,3512.62,5203.47,7601.42,5247.57,13099.13,38736.62,39859.82,50212.9,33369.37,21835.66,11582.6,547.73,12825.72,14367.5,2351.15,5527.27,11671.57,1714.66,5150.58,6246.35,5297.01,28414.85,25426.6,16912.05,35182.72,2639.9,72587.32,38627.73,15466.77,289.85,10665.13,7964.51,1746.41,20130.39,18834.29,30091.63,13135.09,698.52,23400.88,13595.7,24930.19,20992.18,35070.8,40580.01,27461.82,41713.18,50661.95,21249.01,419.82,1661.41,536.9,4904.43,1419.66,3542.2,10501.83,2890.54,1427.31,632.16,4706.72,6676.62,5053.16,2036.88,10165.18,3738.25,12864.81,7057.96,5055.2,7304.88,4130.5,9943.78,8103.0,10473.46,9805.68,8521.25,3253.62,6156.25
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.44,0.11,0.83,3.53,2.22,0.66,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.35,0.0,0.56,0.5,0.62,1.01,0.0,0.0,0.33,0.63,0.48,0.18,1.51,1.17,1.05,0.62,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.63,0.94,0.0,0.65,0.0,0.82
hsa-let-7g-5p,1937.39,448.91,1439.37,1873.45,2366.3,4845.65,4335.52,4828.48,1831.1,2001.07,2542.5,2231.57,4567.22,15520.03,19537.76,16799.63,14574.24,9222.06,2167.58,112.12,3293.33,3652.14,958.05,1599.61,4479.63,390.28,1625.93,679.52,336.2,2323.61,5000.26,3677.6,6733.94,917.64,13840.07,7611.31,4146.79,111.48,2513.35,3812.71,1379.62,8385.93,9860.51,15081.47,8322.3,419.11,5353.86,2474.77,15588.27,15092.2,24431.99,19291.7,21455.25,24165.11,21039.76,12658.01,149.64,784.56,141.29,1438.94,468.84,939.39,2830.03,643.74,321.29,95.78,658.02,733.62,713.79,396.72,1696.47,758.11,3036.45,2025.44,1208.38,3915.91,3673.08,11786.04,6399.92,8053.73,4521.13,8108.88,1994.81,5731.57
hsa-let-7i-3p,0.0,0.42,0.0,0.0,0.0,0.0,0.0,2.31,2.05,0.47,0.44,0.32,0.41,3.53,1.11,1.97,1.63,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,4.9,10.3,10.39,4.53,10.36,7.55,0.0,1.59,1.5,2.5,4.16,3.18,7.72,6.03,3.78,6.59,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,5.11,5.33,0.82,0.0,0.9,2.27,0.42,4.89
hsa-let-7i-5p,7809.16,1672.74,11653.72,8414.41,10705.68,16729.08,23835.25,19073.52,6001.43,10462.38,18445.77,11806.31,34213.09,64688.47,60952.82,79456.98,83563.73,46628.9,16276.81,404.36,12772.7,13276.68,1611.81,5124.62,9384.86,927.71,2845.08,4723.96,2205.88,17657.21,12054.93,6119.09,18494.48,2337.96,41126.28,27414.25,13970.75,178.37,11398.48,18952.94,18597.91,21241.38,19119.98,33104.11,15788.47,1117.63,23098.03,13777.16,31700.19,27499.65,32200.46,45493.41,30663.93,38061.51,52311.29,30500.13,320.06,1392.2,1116.18,6870.83,1491.96,3239.48,6710.23,2035.82,772.88,431.02,5867.68,7053.08,3398.16,2188.15,6099.79,1955.87,18063.5,9872.45,4746.59,9646.08,9835.39,21012.93,12532.81,12320.78,9846.16,13783.11,4492.97,10962.65
hsa-miR-1-3p,4.81,4.22,5.95,0.0,2.39,7.66,30.06,28.25,13.66,17.48,10.55,4.94,59.88,22.67,60.03,13.8,30.94,13.5,39.89,33.08,58.91,72.32,2.38,18.3,36.07,20.47,93.13,120.88,26.61,197.29,71.28,298.27,322.73,13.49,226.18,282.82,49.37,0.0,1662.68,794.39,226.51,2365.52,687.81,2565.54,1219.3,0.0,1116.58,141.01,904.76,323.28,1551.11,1194.78,455.78,533.31,1246.85,538.99,0.0,7.69,84.77,18.51,4.38,0.0,37.71,19.84,1.48,47.89,41.91,57.92,25.97,62.79,34.13,11.88,20.69,0.0,17.39,247.19,74.02,362.55,120.45,685.11,89.52,114.95,54.57,83.96
hsa-miR-100-5p,55.77,48.56,238.9,54.55,182.67,342.7,384.04,209.83,97.67,21.78,21.24,16.64,16.52,156.66,980.5,195.84,162.82,532.09,26.6,16.54,94.26,72.32,9.51,106.15,266.9,49.9,276.4,35.94,2.42,109.6,132.96,30.75,116.25,65.79,120.63,179.35,70.83,0.0,889.34,1772.15,1217.47,3702.64,1474.21,2344.35,2544.73,0.0,337.3,190.96,846.88,551.94,676.76,922.19,1543.43,1243.77,1557.01,2402.47,12.47,15.38,42.39,41.64,89.82,81.14,54.68,82.95,71.07,19.16,16.76,9.65,33.84,10.47,75.1,40.4,33.62,18.64,139.09,270.59,406.87,860.84,371.57,634.87,1021.19,855.6,199.23,1070.67
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,720.15,132.18,343.98,304.39,545.61,858.66,674.84,622.58,568.25,589.99,399.73,415.77,777.24,2235.07,3318.92,1782.94,1636.37,1056.09,3058.55,148.88,500.77,578.56,104.6,863.86,403.96,112.6,595.45,699.12,210.43,3605.97,647.16,562.71,754.77,254.71,1121.45,1025.05,427.13,66.89,9140.6,5212.16,2405.33,7357.25,7529.24,7463.62,4281.62,0.0,11172.26,6578.92,7822.92,6811.22,7706.26,12137.29,11702.16,7384.65,8939.37,9003.3,74.82,207.68,268.45,194.33,78.87,224.7,320.52,142.45,85.88,67.05,511.33,408.64,192.81,124.63,300.38,168.73,566.42,410.06,360.78,5253.08,4556.26,5642.44,3246.92,3407.73,3183.23,3211.99,610.79,2172.32
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.01,0.62,0.0,0.0,0.14,0.33,0.16,0.16,0.71,1.01,0.39,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.41,0.0,0.0,0.0,0.65,0.0,0.0
hsa-miR-10226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.15,0.0,0.0,0.0,1.11,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.58,0.0,0.47,0.16,0.0,0.67,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.41
hsa-miR-10395-3p,0.0,0.0,0.0,5.58,0.0,0.96,0.0,0.0,0.0,0.18,0.15,0.75,0.41,1.51,1.67,1.97,0.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.48,0.35,0.17,0.19,0.42,1.44,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,8.17,4.22,9.91,4.96,10.75,1.91,17.18,2.31,1.37,6.0,5.27,3.22,9.5,13.6,8.34,21.69,22.8,15.31,39.89,0.0,0.0,0.0,0.0,0.0,3.61,1.28,0.6,0.0,4.84,10.96,7.21,0.0,5.21,0.0,3.77,22.07,0.0,0.0,16.52,10.85,11.58,14.61,11.82,28.61,11.07,0.0,14.33,11.82,11.58,9.45,12.73,13.26,8.16,11.77,17.52,13.78,4.16,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0.0,4.19,0.0,2.36,0.95,0.0,0.0,5.17,0.0,13.04,11.19,18.89,15.17,11.02,7.98,17.09,10.39,3.81,15.89
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.05,0.0,3.09,1.01,2.69,2.01,0.0,1.01,0.67,1.88,0.96,1.41,2.01,2.14,1.47,2.06,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.41,1.22,0.47,0.45,0.97,0.42,0.82
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.35,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3.85,11.82,15.86,22.32,48.95,120.61,57.67,16.72,12.29,139.6,2.78,119.99,60.71,122.91,181.76,138.67,197.02,31.51,13.3,1.84,0.0,24.11,0.0,0.0,54.1,3.84,0.6,0.0,7.26,16.44,261.91,101.47,142.28,11.81,233.71,11.04,38.63,0.0,88.57,171.13,154.44,168.54,109.4,294.78,20.12,0.0,353.52,192.29,1209.22,166.37,372.58,302.14,472.88,1074.4,126.95,202.26,0.0,0.0,0.0,0.0,10.95,0.0,5.66,7.21,4.44,0.0,0.0,0.0,44.07,0.0,6.83,0.0,69.83,0.0,52.16,246.68,282.31,4.1,159.24,234.79,44.99,265.93,31.72,109.23
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
