miRNA,SRR14867395,SRR14867396,SRR14867397,SRR14867398,SRR14867399,SRR14867400,SRR14867401,SRR14867402,SRR14867403,SRR14867404,SRR14867405,SRR14867406,SRR14867407,SRR14867408,SRR14867409,SRR14867410,SRR14867411,SRR14867412,SRR14867413,SRR14867414,SRR14867415
hsa-miR-106a-3p,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,23.67,0.0,4.43,4.71,13.12,11.26,6.78,13.73,0.0,0.0,3.01,12.0,9.46,5.8,5.67,18.35,8.14,0.0,0.0,5.34,0.0
hsa-miR-106b-3p,871.96,1238.39,348.86,515.51,718.73,339.28,549.11,437.82,157.21,380.91,654.12,499.76,547.28,310.02,457.83,502.48,571.73,315.56,623.49,556.9,171.53
hsa-miR-106b-5p,169.49,245.26,148.14,172.36,238.45,143.23,73.49,87.81,22.46,138.41,237.53,198.94,194.07,129.46,158.25,95.23,137.33,76.63,107.16,194.2,56.2
hsa-miR-107,138.81,1294.84,1090.5,71.77,26.62,5.08,8846.28,12.32,16.55,2571.95,3.17,163.46,148.71,2.9,4.05,3371.84,1133.33,3.56,258.75,90.23,4.55
hsa-miR-10a-3p,5.2,0.0,0.0,8.38,4.87,6.34,1.82,4.58,14.78,0.0,7.84,1.04,0.0,13.74,0.0,2.81,0.0,0.0,0.0,9.7,6.17
hsa-miR-10a-5p,1740.23,3707.81,1587.6,3030.17,2558.87,4365.63,2474.79,7245.01,3005.38,1889.98,2608.95,1793.31,1855.57,2167.98,1082.34,1879.72,1793.39,1615.97,2066.28,2828.79,2930.26
hsa-miR-10b-3p,4.67,3.32,2.49,3.14,4.87,6.66,6.25,12.67,5.32,0.0,1.66,0.78,0.0,8.48,3.0,6.91,7.22,0.0,5.55,3.4,9.42
hsa-miR-10b-5p,6735.27,22563.75,3978.17,13962.15,12801.85,18834.72,11389.36,25121.47,15031.62,7806.52,8342.75,8190.77,6455.54,8097.93,4303.69,7371.19,7332.54,7062.01,8488.44,11110.46,12505.91
hsa-miR-11400,0.53,0.0,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,0.0,0.0,1.62,0.0,0.0
