miRNA,SRR18104989,SRR18104990,SRR18104991,SRR18104992,SRR18104993,SRR18104994
hsa-let-7a-2-3p,0.0,0.21,0.09,0.0,0.1,0.0
hsa-let-7a-3p,2.06,1.58,0.45,0.35,1.18,3.92
hsa-let-7a-5p,450.12,112.2,85.66,53.91,134.09,173.51
hsa-let-7b-3p,2.88,3.26,1.26,0.35,1.28,3.28
hsa-let-7b-5p,1620.84,617.96,617.65,512.57,815.84,1020.44
hsa-let-7c-3p,0.69,0.21,0.18,0.12,0.0,0.09
hsa-let-7c-5p,219.1,57.15,60.25,49.33,87.91,95.68
hsa-let-7d-3p,12.61,12.29,7.63,7.05,9.94,12.94
hsa-let-7d-5p,33.16,10.51,9.88,3.29,9.84,6.93
hsa-let-7e-3p,1.78,0.53,0.36,0.47,0.3,0.18
hsa-let-7e-5p,16.03,3.05,2.42,0.7,1.28,2.46
hsa-let-7f-1-3p,0.41,0.21,0.18,0.23,0.0,0.64
hsa-let-7f-2-3p,0.0,0.0,0.09,0.0,0.0,0.0
hsa-let-7f-5p,196.9,71.97,49.56,28.78,57.69,70.9
hsa-let-7g-5p,173.33,110.0,77.76,30.77,111.74,91.67
hsa-let-7i-5p,376.4,193.62,113.76,90.32,117.65,222.71
hsa-miR-1-3p,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-100-5p,798.98,644.75,490.69,440.69,789.46,615.83
hsa-miR-101-3p,0.96,0.53,0.36,0.47,0.79,1.28
hsa-miR-10394-3p,0.0,0.0,0.0,0.12,0.0,0.18
hsa-miR-10395-3p,0.0,0.0,0.09,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.11,0.18,0.0,0.3,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.1,0.0
hsa-miR-10396b-3p,0.0,0.0,0.09,0.0,0.0,0.36
hsa-miR-10396b-5p,0.0,0.0,0.09,0.35,0.1,0.27
hsa-miR-10399-3p,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.1,0.0
hsa-miR-103a-3p,0.0,2.1,0.09,0.0,0.0,0.0
hsa-miR-10401-3p,0.14,0.63,0.27,0.12,0.98,0.27
hsa-miR-10401-5p,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.27,0.0,0.18,0.0,0.1,0.0
hsa-miR-106b-3p,10.41,8.19,7.45,3.05,6.6,6.2
hsa-miR-106b-5p,0.14,0.11,0.27,0.0,0.2,0.09
hsa-miR-107,0.14,0.11,0.54,0.0,0.3,0.09
hsa-miR-10a-3p,0.41,0.42,0.27,0.12,0.0,0.55
