miRNA,SRR1613368,SRR1613373
hsa-let-7a-3p,6.8,4.42
hsa-let-7a-5p,41.81,1.31
hsa-let-7b-5p,3.32,1.9
hsa-let-7c-5p,5.02,0.0
hsa-let-7d-3p,5.02,5.95
hsa-let-7d-5p,1.16,0.0
hsa-let-7e-3p,0.0,0.72
hsa-let-7e-5p,26.51,0.17
hsa-let-7f-2-3p,1.78,0.2
hsa-let-7f-5p,71.01,1.68
hsa-let-7g-3p,0.87,3.6
hsa-let-7g-5p,6.93,1.83
hsa-let-7i-3p,0.0,0.47
hsa-let-7i-5p,14.64,5.23
hsa-miR-100-5p,0.21,1.63
hsa-miR-101-3p,124.35,87.51
hsa-miR-101-5p,3.03,0.64
hsa-miR-10396a-3p,0.0,1.26
hsa-miR-10396a-5p,0.0,0.2
hsa-miR-10396b-3p,2.99,1.6
hsa-miR-10399-3p,1.78,0.0
hsa-miR-103a-3p,822.11,1.06
hsa-miR-10401-3p,2.36,9.68
hsa-miR-106a-5p,0.04,0.0
hsa-miR-106b-3p,268.24,354.78
hsa-miR-106b-5p,3.07,0.99
hsa-miR-107,1.62,0.32
hsa-miR-10a-3p,21.78,14.54
hsa-miR-10a-5p,159802.4,220295.64
hsa-miR-10b-3p,2.57,2.96
hsa-miR-10b-5p,345380.03,473096.83
hsa-miR-11400,0.58,0.0
hsa-miR-1179,0.0,0.22
hsa-miR-1180-3p,35.67,64.55
hsa-miR-1180-5p,0.0,0.64
hsa-miR-12114,0.0,0.37
hsa-miR-12129,0.54,2.3
hsa-miR-1226-5p,0.0,0.05
hsa-miR-1229-3p,0.0,0.47
hsa-miR-124-3p,0.0,0.35
hsa-miR-1243,2.57,0.67
hsa-miR-1246,7.8,8.66
hsa-miR-1247-5p,1.29,0.22
hsa-miR-1248,0.0,0.22
hsa-miR-1249-3p,0.0,0.47
hsa-miR-1250-5p,0.0,0.37
hsa-miR-1255a,1.08,0.35
hsa-miR-1255b-5p,0.0,0.64
hsa-miR-125a-3p,4.11,0.0
hsa-miR-125a-5p,9.17,9.5
hsa-miR-125b-2-3p,2.61,2.94
hsa-miR-125b-5p,3.28,1.04
hsa-miR-126-3p,2.12,0.0
hsa-miR-126-5p,4.65,2.44
hsa-miR-1260a,0.04,0.0
hsa-miR-1260b,1.16,0.0
hsa-miR-1262,30.61,14.27
hsa-miR-1266-5p,1.12,1.83
hsa-miR-1268a,0.0,0.2
hsa-miR-1268b,0.25,0.0
hsa-miR-1269b,62.26,98.27
hsa-miR-127-3p,3.32,0.64
hsa-miR-1271-5p,2.86,3.33
hsa-miR-1273c,0.0,0.15
hsa-miR-1273h-5p,46.08,36.66
hsa-miR-1275,1.2,0.1
hsa-miR-1276,1.66,1.16
hsa-miR-128-1-5p,17.55,19.25
hsa-miR-128-3p,120.46,245.85
hsa-miR-1284,0.0,0.37
hsa-miR-1285-3p,39.49,38.9
hsa-miR-1285-5p,35.75,28.88
hsa-miR-1286,12.19,15.5
hsa-miR-1287-5p,0.75,0.32
hsa-miR-129-5p,31.11,41.57
hsa-miR-1293,0.0,0.15
hsa-miR-1295a,0.0,1.53
hsa-miR-1296-3p,0.0,0.07
hsa-miR-1296-5p,39.86,66.87
hsa-miR-1299,1.83,3.16
hsa-miR-1301-3p,0.75,4.57
hsa-miR-1303,2.24,3.26
hsa-miR-1304-3p,6.01,7.43
hsa-miR-1304-5p,0.0,0.32
hsa-miR-1305,1.29,0.35
hsa-miR-1306-3p,0.0,0.64
hsa-miR-1307-3p,84.87,118.96
hsa-miR-1307-5p,111.33,129.77
hsa-miR-130a-3p,3.48,0.39
hsa-miR-130b-3p,1039.01,940.88
hsa-miR-130b-5p,1.16,2.32
hsa-miR-132-3p,8.63,12.24
hsa-miR-132-5p,0.0,0.42
hsa-miR-1322,0.75,0.3
hsa-miR-134-5p,0.75,0.07
hsa-miR-138-1-3p,0.0,0.62
hsa-miR-139-5p,1.41,0.0
hsa-miR-140-3p,30.9,21.7
hsa-miR-140-5p,0.0,0.59
hsa-miR-141-3p,2.07,0.99
hsa-miR-142-5p,1.41,0.0
hsa-miR-143-3p,9.66,6.05
hsa-miR-144-5p,0.04,0.0
hsa-miR-1468-5p,2.16,18.96
hsa-miR-146a-5p,0.0,1.83
hsa-miR-146b-3p,0.0,0.99
hsa-miR-146b-5p,14.73,9.11
hsa-miR-147b-3p,1.16,0.2
hsa-miR-148a-3p,18119.53,13566.34
hsa-miR-148a-5p,88.35,33.67
hsa-miR-148b-3p,165.09,85.31
hsa-miR-148b-5p,0.5,0.27
hsa-miR-149-5p,19.74,9.01
hsa-miR-150-5p,0.04,0.0
hsa-miR-151a-3p,1293.57,2151.86
hsa-miR-151a-5p,75.2,63.05
hsa-miR-151b,1.74,1.23
hsa-miR-152-3p,1.08,0.64
hsa-miR-152-5p,1.2,0.0
hsa-miR-1538,1.62,1.21
hsa-miR-15a-5p,38.04,18.49
hsa-miR-15b-3p,25.8,11.65
hsa-miR-15b-5p,21.82,58.8
hsa-miR-16-2-3p,13.9,8.47
hsa-miR-16-5p,183.21,66.95
hsa-miR-17-3p,7.96,5.09
hsa-miR-17-5p,10.0,2.84
hsa-miR-181a-2-3p,10.16,10.02
hsa-miR-181a-3p,42.93,10.61
