miRNA,SRR19241179,SRR19241180,SRR19241181,SRR19241182,SRR19241183,SRR19241184,SRR19241185,SRR19241186,SRR19241187
hsa-let-7a-2-3p,2.4,2.33,0.51,2.68,1.16,0.88,1.57,0.0,0.75
hsa-let-7a-3p,0.0,17.31,16.19,27.01,13.7,0.88,0.0,10.25,0.0
hsa-let-7a-5p,34.4,2269.16,5914.47,4820.13,1673.28,64.33,14.89,1764.84,71.32
hsa-let-7b-3p,0.0,9.04,4.63,4.54,4.18,0.0,0.0,6.03,0.0
hsa-let-7b-5p,1202.46,8386.67,13603.7,15354.06,6957.17,1646.98,2689.44,6946.93,1467.71
hsa-let-7c-3p,0.0,0.78,0.51,0.21,1.63,0.88,0.0,1.51,0.0
hsa-let-7c-5p,2.4,599.79,981.81,1352.05,491.65,0.88,40.76,507.9,4.5
hsa-let-7d-3p,0.0,80.37,49.59,95.88,55.97,0.0,0.78,48.53,0.0
hsa-let-7d-5p,0.8,52.72,116.4,137.95,45.75,0.0,0.78,49.74,0.75
hsa-let-7e-3p,0.0,1.81,0.77,3.09,0.46,0.0,0.0,1.21,0.0
hsa-let-7e-5p,0.8,262.03,502.59,460.65,212.27,1.76,0.0,210.09,4.5
hsa-let-7f-1-3p,0.0,1.29,0.51,0.62,0.93,0.0,0.0,0.3,0.0
hsa-let-7f-2-3p,0.0,0.26,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,5.6,687.39,3031.49,2159.12,587.33,21.15,7.84,595.61,19.52
hsa-let-7g-3p,0.0,0.26,0.0,0.41,0.23,0.0,0.0,0.0,0.0
hsa-let-7g-5p,0.8,525.36,552.44,936.97,442.65,2.64,1.57,428.63,0.75
hsa-let-7i-3p,0.0,1.81,2.57,2.89,2.55,0.0,0.0,1.21,0.0
hsa-let-7i-5p,20.8,2078.71,2824.39,2888.65,1373.23,39.65,14.89,1159.28,33.78
hsa-miR-1-3p,7.2,1791.09,6988.52,5338.1,1964.74,18.51,4.7,1242.17,12.01
hsa-miR-1-5p,0.0,6.2,5.65,12.17,4.64,0.0,0.0,2.71,0.0
hsa-miR-100-3p,0.0,2.33,2.57,3.09,1.39,0.0,0.0,1.21,0.0
hsa-miR-100-5p,10.4,484.02,429.36,859.03,432.2,9.69,12.54,238.73,16.52
hsa-miR-101-3p,713.64,343.44,344.06,492.41,247.33,858.3,352.74,204.37,836.33
hsa-miR-101-5p,0.0,1.03,0.51,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.52,0.51,0.0,0.23,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,1.29,1.8,1.03,0.93,0.0,0.0,2.11,0.0
hsa-miR-10395-5p,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,3.1,3.85,1.44,3.25,0.0,0.0,3.32,0.0
hsa-miR-10396a-5p,0.0,0.0,0.26,0.21,0.0,0.0,0.0,0.3,0.0
hsa-miR-10396b-3p,0.0,4.65,4.37,2.06,2.55,0.0,0.0,3.62,0.0
hsa-miR-10396b-5p,0.0,0.52,0.51,0.0,0.7,0.0,0.0,0.9,0.0
hsa-miR-103a-3p,796.04,31.27,103.04,0.0,19.28,1494.53,638.85,78.37,2145.63
hsa-miR-10401-3p,0.0,10.85,4.63,5.57,5.57,0.0,0.0,6.33,0.0
hsa-miR-10401-5p,0.0,0.0,0.51,0.0,0.46,0.0,0.0,0.3,0.0
