miRNA,GSM3477334,GSM3477335,GSM3477336,GSM3477337,GSM3477338,GSM3477339,GSM3477340,GSM3477341
hsa-miR-1180-5p,0.37,0.19,0.28,0.41,0.3,0.3,0.47,0.51
hsa-miR-1181,0.0,0.0,0.0,0.24,0.1,0.12,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-1197,0.55,0.37,0.97,0.57,0.15,0.18,0.0,0.21
hsa-miR-12114,0.37,0.19,0.14,0.24,0.0,0.18,0.0,0.1
hsa-miR-12121,0.0,0.0,0.0,0.0,0.05,0.0,0.24,0.31
hsa-miR-12127,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-12132,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.16,0.1,0.18,0.71,0.31
hsa-miR-122-3p,0.0,0.0,0.14,0.16,0.0,0.0,0.0,0.1
hsa-miR-122-5p,38.36,6.86,0.55,30.07,19.26,0.78,0.0,0.51
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-1224-5p,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1225-3p,1.46,0.37,1.38,0.89,2.73,1.39,2.13,1.95
hsa-miR-1225-5p,0.0,0.19,0.0,0.0,0.05,0.06,0.71,0.0
hsa-miR-1226-3p,3.84,1.48,1.93,2.11,2.48,2.11,2.37,1.44
hsa-miR-1226-5p,3.47,0.56,2.21,1.7,1.26,1.45,1.89,0.93
hsa-miR-1227-3p,0.0,0.37,0.0,0.16,0.05,0.0,0.0,0.0
hsa-miR-1228-3p,1.1,0.19,0.14,0.08,0.2,0.12,0.24,0.0
hsa-miR-1228-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,2.56,1.86,1.79,2.19,2.32,1.21,1.66,2.47
hsa-miR-1229-5p,0.37,0.0,0.14,0.16,0.25,0.12,0.0,0.1
hsa-miR-1233-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.31
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.14,0.08,0.2,0.12,0.47,0.0
hsa-miR-1236-3p,2.74,0.93,1.24,1.3,1.21,0.72,1.18,1.13
hsa-miR-1236-5p,1.1,0.56,0.97,0.73,0.81,0.42,0.24,0.51
hsa-miR-1237-5p,0.0,0.0,0.14,0.32,0.25,0.12,0.71,0.21
hsa-miR-1238-3p,0.37,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-124-3p,0.73,0.74,0.97,1.86,2.43,3.08,0.71,1.03
hsa-miR-124-5p,0.37,0.19,0.14,0.0,0.05,0.24,0.0,0.0
hsa-miR-1243,1.64,1.86,1.38,2.11,1.92,2.17,1.66,3.6
hsa-miR-1244,0.91,1.11,1.24,0.81,1.16,0.42,3.08,1.44
hsa-miR-1246,5.48,2.23,3.86,2.43,2.12,3.44,2.37,3.7
hsa-miR-1247-5p,0.18,0.0,0.14,0.32,0.45,0.6,0.24,0.72
hsa-miR-1248,0.0,0.0,0.0,0.16,0.1,0.0,0.0,0.31
hsa-miR-1249-3p,0.73,0.19,0.41,0.08,1.16,0.84,0.95,1.13
hsa-miR-1249-5p,2.92,0.37,1.93,1.13,2.48,2.47,1.42,1.54
hsa-miR-1250-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-1250-5p,1.64,1.11,1.1,1.7,1.11,2.41,0.95,1.85
hsa-miR-1252-5p,0.18,0.37,0.0,0.32,0.35,0.18,0.0,0.41
hsa-miR-1255a,0.37,0.19,0.14,1.13,0.76,0.78,0.24,1.44
hsa-miR-1255b-2-3p,0.0,0.0,0.14,0.0,0.05,0.0,0.0,0.1
hsa-miR-1255b-5p,0.73,1.48,0.28,1.86,0.45,0.9,0.24,0.41
hsa-miR-1256,0.37,0.37,0.83,0.41,0.35,0.3,0.47,0.41
hsa-miR-1258,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.31
hsa-miR-125a-3p,40.91,31.36,51.45,26.34,31.39,27.21,20.11,15.23
hsa-miR-125a-5p,144.3,143.24,93.52,149.78,114.32,201.99,181.96,233.86
hsa-miR-125b-2-3p,0.18,0.56,0.41,1.62,0.66,1.39,1.42,1.85
hsa-miR-125b-5p,55.53,69.02,47.17,79.19,49.88,77.22,36.2,58.03
hsa-miR-126-3p,16.07,24.31,24.41,40.85,24.56,44.34,8.52,14.4
hsa-miR-126-5p,372.25,638.62,394.34,871.93,302.02,574.35,108.61,181.9
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-1260b,28.49,10.58,16.69,10.13,20.11,17.01,5.92,8.85
hsa-miR-1262,2.37,3.34,1.66,6.24,2.17,4.65,6.15,7.41
hsa-miR-1263,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,1.64,2.97,4.55,6.73,2.88,2.35,5.21,4.22
hsa-miR-1268a,18.45,1.3,32.55,10.7,22.29,0.24,228.81,44.24
hsa-miR-1268b,2.01,2.23,23.59,1.62,14.0,19.67,13.25,3.4
hsa-miR-1269a,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,26.85,33.4,34.07,40.77,23.2,24.68,34.55,21.81
hsa-miR-127-3p,8.4,3.71,9.52,8.19,1.82,3.08,2.13,2.98
hsa-miR-127-5p,0.55,0.56,1.24,0.81,0.45,1.33,0.95,1.54
hsa-miR-1271-3p,0.91,0.74,2.21,1.78,1.97,1.75,1.42,0.82
hsa-miR-1271-5p,2.19,8.53,7.72,7.94,4.85,5.49,1.89,3.5
hsa-miR-1272,0.0,0.19,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-1273c,0.91,0.19,0.14,0.24,0.45,0.36,0.24,0.41
hsa-miR-1273h-3p,0.0,0.0,0.14,0.16,0.2,0.72,1.66,0.31
hsa-miR-1273h-5p,0.18,0.0,0.69,0.16,0.2,0.36,0.24,0.51
hsa-miR-1275,157.81,116.52,187.03,210.0,227.58,252.85,272.12,362.05
hsa-miR-1276,0.91,0.19,0.69,0.32,0.86,0.48,0.95,0.72
hsa-miR-1277-3p,0.0,0.0,0.0,0.0,0.2,0.12,0.0,0.0
hsa-miR-1278,0.73,0.56,0.97,1.38,0.96,0.84,1.18,1.85
hsa-miR-128-1-5p,244.76,139.9,198.21,89.88,95.97,65.7,158.54,62.14
hsa-miR-128-3p,817.39,1044.21,983.03,1573.26,935.74,959.8,1083.49,930.28
hsa-miR-1281,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-1284,0.91,0.56,1.1,2.67,1.57,1.51,1.89,1.85
hsa-miR-1285-3p,34.34,31.91,45.66,70.92,32.14,40.66,35.49,72.22
hsa-miR-1285-5p,2.74,2.23,3.31,3.0,2.58,3.2,2.37,3.4
hsa-miR-1286,6.03,8.16,8.0,14.51,6.67,6.33,9.94,10.7
hsa-miR-1287-5p,0.0,0.0,0.14,0.32,0.35,0.42,0.0,0.1
hsa-miR-1288-3p,0.0,0.37,0.55,0.24,0.2,0.42,0.95,0.0
hsa-miR-1288-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.0,0.56,0.14,0.08,0.2,0.3,0.0,0.21
hsa-miR-129-2-3p,0.55,1.11,2.21,2.76,1.26,1.99,1.18,3.6
hsa-miR-129-5p,9.13,16.88,13.24,35.91,10.92,22.44,22.72,27.98
hsa-miR-1292-3p,0.73,0.0,0.28,0.57,0.45,0.6,0.47,0.41
hsa-miR-1292-5p,0.0,0.37,0.69,0.65,0.91,1.45,1.42,1.65
hsa-miR-1293,0.0,0.0,0.28,0.08,0.15,0.12,0.0,0.0
hsa-miR-1294,0.37,0.19,0.0,0.08,0.1,0.06,0.0,0.1
hsa-miR-1295a,3.47,1.86,2.48,4.62,1.57,3.26,0.95,3.09
hsa-miR-1296-3p,11.32,3.71,16.69,6.89,10.26,5.49,3.55,2.47
hsa-miR-1296-5p,106.49,64.57,131.45,88.43,108.56,90.32,75.25,81.38
hsa-miR-1297,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.21
hsa-miR-1298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-1299,0.18,0.37,0.41,0.97,0.2,0.48,0.47,0.62
hsa-miR-1301-3p,4.2,5.94,6.21,8.35,4.9,6.27,2.13,6.58
hsa-miR-1301-5p,0.37,0.0,0.41,0.16,0.1,0.3,0.0,0.0
hsa-miR-1302,0.18,0.19,0.0,0.32,0.15,0.18,0.0,0.21
hsa-miR-1303,3.84,2.78,3.45,7.13,6.57,4.77,13.49,7.72
hsa-miR-1304-5p,7.12,8.35,9.52,10.78,4.75,7.48,4.73,4.73
hsa-miR-1305,4.02,7.61,8.0,11.02,7.68,6.94,3.55,4.84
