miRNA,GSM3477334,GSM3477335,GSM3477336,GSM3477337,GSM3477338,GSM3477339,GSM3477340,GSM3477341
hsa-miR-200a-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-200b-3p,0.91,0.93,0.97,0.89,0.15,0.42,0.24,0.21
hsa-miR-200b-5p,0.0,0.0,0.0,0.08,0.05,0.12,0.0,0.0
hsa-miR-200c-3p,1.28,0.37,0.55,0.97,0.71,0.36,0.24,0.72
hsa-miR-200c-5p,0.0,0.0,0.14,0.0,0.0,0.12,0.0,0.0
hsa-miR-202-5p,0.37,0.37,0.69,0.97,0.51,1.33,0.95,0.31
hsa-miR-203a-3p,0.91,0.93,2.62,0.49,0.1,3.86,0.71,1.13
hsa-miR-203b-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-204-3p,0.18,0.0,0.41,0.08,0.3,0.48,0.0,0.1
hsa-miR-204-5p,1.46,1.67,0.97,3.73,2.58,3.02,4.5,5.45
hsa-miR-205-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-205-5p,0.37,0.19,0.83,0.32,0.51,0.36,0.24,0.41
hsa-miR-206,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-208a-3p,0.0,0.37,0.14,0.16,0.1,0.0,0.0,0.0
hsa-miR-208b-3p,10.23,2.6,19.17,12.4,4.75,6.15,2.13,1.95
hsa-miR-20a-3p,11.32,11.69,12.83,16.86,7.78,12.43,1.66,1.95
hsa-miR-20a-5p,2285.21,2897.56,2984.97,3881.23,2919.12,2493.77,816.11,844.88
hsa-miR-20b-5p,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-21-3p,2.56,7.05,38.21,47.09,44.83,43.14,66.96,98.87
hsa-miR-21-5p,462.67,414.49,507.31,679.93,385.87,537.43,312.34,432.22
hsa-miR-210-3p,155.62,367.0,243.17,558.19,263.77,483.31,311.39,457.32
hsa-miR-210-5p,2.37,0.74,0.55,0.49,2.38,1.69,0.71,0.93
hsa-miR-211-3p,0.0,0.0,0.14,0.0,0.0,0.06,0.0,0.0
hsa-miR-211-5p,0.55,0.0,0.28,0.41,0.15,0.12,0.0,0.51
hsa-miR-2110,5.66,3.34,5.24,4.21,3.99,5.07,1.66,3.19
hsa-miR-2113,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-2114-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-2114-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-2115-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-2116-3p,0.37,0.19,0.28,0.57,0.2,0.84,0.0,0.31
hsa-miR-2116-5p,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.1
hsa-miR-2117,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-212-3p,2.74,7.05,5.1,13.37,5.71,12.37,6.15,10.29
hsa-miR-212-5p,0.37,0.74,0.55,0.73,0.45,1.03,0.47,1.13
hsa-miR-214-3p,1.28,0.56,1.38,0.24,0.86,0.3,0.0,0.0
hsa-miR-215-3p,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-215-5p,13.88,31.36,25.93,47.41,18.7,27.51,10.88,12.35
hsa-miR-216a-5p,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.1
hsa-miR-216b-5p,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.1
hsa-miR-217-5p,0.0,0.0,0.0,0.32,0.05,0.06,0.0,0.1
hsa-miR-218-1-3p,7.67,9.28,8.14,8.59,7.73,7.78,3.08,4.01
hsa-miR-218-2-3p,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-218-5p,377.37,631.57,544.41,1036.63,393.96,580.74,276.14,403.2
hsa-miR-219a-1-3p,6.76,1.67,5.66,2.67,2.27,2.9,3.08,3.29
hsa-miR-219a-2-3p,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219a-5p,0.73,0.74,1.24,1.78,1.06,1.57,1.18,1.23
hsa-miR-219b-3p,0.0,0.0,0.14,0.32,0.0,0.12,0.0,1.75
hsa-miR-219b-5p,0.0,0.74,0.14,0.08,0.1,1.15,0.24,0.51
hsa-miR-22-3p,317.46,308.74,408.28,805.15,765.78,956.48,481.76,861.24
hsa-miR-22-5p,1.64,0.74,1.79,1.78,2.53,2.17,2.13,2.06
hsa-miR-221-3p,586.51,975.56,866.62,1496.42,1002.35,1081.79,1534.73,1434.1
hsa-miR-221-5p,18.63,17.07,23.72,17.67,28.91,27.63,19.4,19.34
hsa-miR-222-3p,106.31,111.88,88.97,241.85,229.96,330.85,244.43,407.42
hsa-miR-222-5p,0.37,0.37,0.55,1.05,1.42,1.75,0.47,0.82
hsa-miR-223-3p,0.18,0.37,0.28,0.97,0.51,0.54,0.24,0.62
hsa-miR-223-5p,0.0,0.0,0.28,0.0,0.1,0.06,0.0,0.0
hsa-miR-224-5p,0.37,0.19,0.14,0.0,0.0,0.18,0.0,0.1
hsa-miR-2276-3p,0.0,0.56,0.14,0.73,0.4,0.18,0.47,0.1
hsa-miR-2276-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-2277-3p,1.83,0.74,1.38,2.59,1.77,2.59,2.13,3.6
hsa-miR-2277-5p,2.01,2.6,2.9,2.43,4.65,3.8,2.37,2.98
hsa-miR-2278,0.55,0.0,0.41,1.05,0.35,0.6,0.95,0.72
hsa-miR-2355-3p,0.0,0.0,0.14,0.16,0.0,0.06,0.0,0.0
hsa-miR-2355-5p,0.37,1.11,0.28,0.41,0.45,0.48,0.0,0.41
hsa-miR-23a-3p,22.65,28.2,21.52,34.93,29.06,25.16,19.88,21.71
hsa-miR-23a-5p,1.46,0.37,0.97,0.73,1.26,0.84,0.47,0.82
hsa-miR-23b-3p,12.6,7.98,16.69,14.1,11.12,21.66,1.89,6.07
hsa-miR-23b-5p,2.37,0.93,1.79,0.65,1.31,1.15,1.66,1.44
hsa-miR-24-1-5p,0.0,0.19,0.0,0.57,0.45,0.3,0.0,0.1
hsa-miR-24-2-5p,0.37,0.0,0.0,0.32,0.71,0.48,0.47,0.72
hsa-miR-24-3p,52.97,107.06,61.79,180.74,45.69,131.94,58.21,56.89
hsa-miR-2467-3p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-2467-5p,4.38,6.31,7.72,12.97,11.27,11.28,15.62,19.24
hsa-miR-25-3p,4052.04,8848.35,5771.45,12851.32,4371.17,6257.51,8103.35,7912.49
hsa-miR-25-5p,81.1,56.4,71.17,78.7,64.49,78.49,65.31,102.37
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-26a-1-3p,0.55,0.56,0.97,0.73,0.91,0.97,0.47,0.82
hsa-miR-26a-2-3p,1.64,1.86,2.07,3.73,2.02,4.16,4.73,4.22
hsa-miR-26a-5p,322.94,323.77,286.62,428.43,338.87,512.93,202.78,367.5
hsa-miR-26b-3p,1.1,2.41,1.24,2.67,2.48,3.2,3.31,4.53
hsa-miR-26b-5p,280.92,294.45,329.93,535.9,349.84,515.22,173.21,263.79
hsa-miR-27a-3p,30.32,76.44,79.17,100.02,52.56,55.38,38.81,45.68
hsa-miR-27a-5p,0.0,0.37,0.0,0.73,0.56,0.42,1.42,1.03
hsa-miR-27b-3p,684.78,1033.27,1248.0,2677.72,1262.18,1830.01,1092.25,1954.59
hsa-miR-27b-5p,0.91,0.93,0.69,0.81,0.76,0.9,0.47,0.72
hsa-miR-28-3p,95.35,147.87,108.28,192.57,83.39,101.78,98.43,126.14
hsa-miR-28-5p,6.58,8.35,8.28,14.83,7.38,10.92,5.44,6.69
hsa-miR-2861,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-296-3p,10.05,8.91,9.66,18.48,12.18,17.38,12.78,22.43
hsa-miR-296-5p,17.53,8.91,10.48,13.7,23.5,32.1,17.51,17.18
hsa-miR-299-3p,0.0,0.0,0.28,0.32,0.1,0.3,0.24,0.21
hsa-miR-299-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,219.74,435.27,404.0,801.91,267.15,432.09,121.39,214.92
hsa-miR-29a-5p,4.38,1.86,4.83,4.7,2.78,4.16,2.6,0.93
hsa-miR-29b-1-5p,2.92,1.11,1.79,0.24,1.06,0.66,0.71,0.21
hsa-miR-29b-2-5p,0.55,0.74,0.97,0.41,0.96,0.42,0.95,0.51
hsa-miR-29b-3p,4.2,4.64,10.76,8.59,6.27,6.88,1.66,3.29
hsa-miR-29c-3p,40.91,74.03,83.72,138.92,58.68,95.99,12.3,30.56
hsa-miR-29c-5p,2.56,3.15,2.07,3.57,2.88,2.41,4.02,6.07
hsa-miR-301a-3p,83.47,157.15,131.86,316.09,137.77,254.35,21.06,66.98
hsa-miR-301a-5p,0.37,0.19,0.97,1.05,1.72,0.84,1.18,1.44
hsa-miR-301b-3p,35.8,71.25,52.28,128.63,50.89,102.92,11.12,22.84
hsa-miR-301b-5p,2.01,1.3,1.52,1.95,2.02,1.45,2.37,1.13
hsa-miR-302a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-302d-3p,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-3064-3p,0.0,0.0,0.14,0.0,0.05,0.12,0.0,0.0
hsa-miR-3064-5p,0.0,0.19,0.14,0.08,0.15,0.06,0.0,0.0
hsa-miR-3065-3p,0.0,0.19,0.14,0.16,0.15,0.0,0.24,1.13
hsa-miR-3065-5p,0.0,0.37,0.0,0.41,0.2,0.9,0.95,0.21
hsa-miR-3074-3p,1.64,1.3,0.28,1.7,0.1,1.45,0.47,0.41
hsa-miR-3074-5p,0.0,0.37,1.1,2.67,0.15,0.06,0.95,0.62
hsa-miR-3085-3p,0.18,0.37,0.14,0.41,0.25,0.42,0.0,0.72
hsa-miR-3085-5p,0.18,0.19,0.28,0.08,0.1,0.24,0.24,0.0
hsa-miR-30a-3p,27.22,43.6,39.59,67.51,26.99,36.86,57.97,50.31
hsa-miR-30a-5p,1786.92,2680.3,2242.07,4823.35,2480.33,3161.09,5034.37,5685.47
hsa-miR-30b-3p,9.13,5.01,4.28,2.92,6.57,4.46,1.66,2.26
hsa-miR-30b-5p,330.06,486.67,528.28,761.06,279.38,499.24,223.37,386.02
hsa-miR-30c-1-3p,5.3,3.15,3.03,2.11,3.34,2.29,1.66,1.13
hsa-miR-30c-2-3p,4.57,3.34,4.28,2.11,4.09,2.71,5.21,3.81
hsa-miR-30c-5p,547.79,433.98,373.66,383.04,281.4,389.98,281.11,343.94
hsa-miR-30d-3p,16.26,19.85,20.0,42.71,28.05,34.63,11.59,18.83
hsa-miR-30d-5p,1836.24,2471.56,2448.55,5305.43,3224.73,4748.27,2567.82,4709.92
hsa-miR-30e-3p,58.08,53.44,58.34,62.81,37.4,45.13,74.06,58.75
hsa-miR-30e-5p,962.78,1423.45,1627.45,3413.9,2098.66,2842.73,1085.86,1877.01
hsa-miR-31-3p,4.38,3.9,1.79,6.81,3.08,3.74,1.66,4.53
hsa-miR-31-5p,67.22,55.29,50.76,86.64,84.05,99.79,88.5,136.84
hsa-miR-3115,0.55,0.0,0.28,0.49,0.15,0.42,0.24,0.51
hsa-miR-3116,0.37,0.0,0.0,0.24,0.35,0.24,0.0,0.93
hsa-miR-3118,0.0,0.0,0.0,0.16,0.05,0.06,0.24,0.21
hsa-miR-3120-3p,0.0,0.0,0.0,0.08,0.05,0.06,0.0,0.1
hsa-miR-3121-3p,0.0,0.74,0.14,0.49,0.4,0.36,0.95,0.41
hsa-miR-3122,0.37,0.0,0.0,0.08,0.1,0.06,0.0,0.0
hsa-miR-3124-3p,0.0,0.0,0.14,0.08,0.1,0.06,0.0,0.1
hsa-miR-3124-5p,0.18,0.93,0.28,0.41,0.1,0.36,0.47,0.72
hsa-miR-3126-3p,0.0,0.0,0.14,0.32,0.0,0.12,0.0,0.0
hsa-miR-3126-5p,0.0,0.0,0.0,0.16,0.05,0.06,0.0,0.41
hsa-miR-3127-3p,0.37,0.19,0.28,0.16,0.51,0.66,0.47,0.31
hsa-miR-3127-5p,5.48,4.08,4.28,3.97,2.12,1.93,3.79,3.5
hsa-miR-3128,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-3129-3p,0.18,0.19,0.28,0.16,0.1,0.06,0.0,0.1
hsa-miR-3129-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-3130-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.0
hsa-miR-3130-5p,0.0,1.48,1.66,0.16,1.26,0.0,0.0,0.82
hsa-miR-3131,0.73,0.19,1.52,1.7,0.76,0.6,0.95,0.93
hsa-miR-3132,0.37,0.0,0.0,0.08,0.15,0.0,0.0,0.1
hsa-miR-3133,0.0,0.19,0.41,0.57,0.2,0.3,1.42,0.82
hsa-miR-3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-3135a,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-3136-3p,0.0,0.0,0.14,0.08,0.2,0.0,0.0,0.0
hsa-miR-3136-5p,8.77,13.36,12.41,15.64,8.04,9.89,6.39,6.17
hsa-miR-3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3138,0.37,0.0,0.41,0.24,0.1,0.0,0.0,0.1
hsa-miR-3139,0.55,0.0,0.41,0.08,0.15,0.36,0.0,0.21
hsa-miR-3140-3p,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0
hsa-miR-3140-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.24,0.0
hsa-miR-3141,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-3143,0.18,0.56,1.1,0.89,0.66,0.48,0.71,0.0
hsa-miR-3144-3p,0.0,0.0,0.0,0.0,0.15,0.12,0.47,0.1
hsa-miR-3145-3p,0.37,0.74,0.14,0.08,0.0,0.42,0.0,0.72
hsa-miR-3145-5p,0.18,0.0,0.14,0.24,0.2,0.0,0.0,0.1
hsa-miR-3146,0.0,0.19,0.28,0.16,0.05,0.06,0.0,0.0
hsa-miR-3149,0.0,0.0,0.28,0.0,0.0,0.0,0.24,0.0
hsa-miR-3150a-3p,0.18,0.19,0.0,0.32,0.1,0.18,0.0,0.0
hsa-miR-3150a-5p,0.0,0.37,0.28,0.41,0.1,0.18,0.24,0.1
hsa-miR-3152-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-3153,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-3155a,0.37,0.93,0.55,1.22,1.21,1.15,0.95,0.41
hsa-miR-3157-3p,0.91,0.56,0.83,1.13,1.21,0.97,0.24,0.21
hsa-miR-3157-5p,1.64,0.74,2.07,1.3,1.26,0.97,0.71,0.41
hsa-miR-3158-3p,1.28,2.23,2.21,0.41,0.35,0.72,3.08,2.88
hsa-miR-3158-5p,0.0,0.37,0.14,0.24,0.15,0.12,0.24,0.21
hsa-miR-3159,0.18,0.0,0.0,0.08,0.3,0.0,0.24,0.41
hsa-miR-3160-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.1
hsa-miR-3160-5p,0.0,0.19,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-3161,0.0,0.0,0.28,0.08,0.05,0.12,0.0,0.1
hsa-miR-3162-3p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-3162-5p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-miR-3163,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.0
hsa-miR-3164,0.0,0.0,0.0,0.16,0.0,0.12,0.0,0.1
hsa-miR-3165,0.18,0.0,0.0,0.0,0.05,0.0,0.95,0.0
hsa-miR-3170,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-3173-3p,0.0,0.19,0.28,0.16,0.15,0.12,0.0,0.31
hsa-miR-3173-5p,0.91,0.74,0.97,2.19,1.57,1.81,2.84,5.76
hsa-miR-3174,0.55,0.37,0.55,0.97,0.25,0.42,1.42,0.62
hsa-miR-3175,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-3176,6.21,4.82,9.1,14.1,5.71,9.41,7.34,10.08
hsa-miR-3177-3p,1.28,0.93,1.79,1.22,0.4,0.84,0.24,0.51
hsa-miR-3177-5p,0.0,0.0,0.0,0.24,0.0,0.06,0.0,0.1
hsa-miR-3178,0.37,0.37,0.41,0.16,0.71,0.54,0.95,0.82
hsa-miR-3179,0.0,0.0,0.14,0.08,0.05,0.06,0.0,0.21
hsa-miR-3180,0.0,0.0,0.14,0.16,0.3,0.48,0.0,0.31
hsa-miR-3180-3p,0.37,0.0,0.28,0.16,0.05,0.0,0.47,0.51
hsa-miR-3180-5p,0.18,0.0,0.0,0.0,0.05,0.12,0.0,0.21
hsa-miR-3181,0.37,0.19,0.0,0.08,0.05,0.0,0.24,0.0
hsa-miR-3182,6.21,2.04,6.76,6.65,7.08,13.88,8.28,23.35
hsa-miR-3183,0.0,0.0,0.0,0.0,0.05,0.12,0.0,0.0
hsa-miR-3184-5p,0.18,0.0,0.0,0.08,0.05,0.12,0.0,0.0
hsa-miR-3187-3p,3.29,0.19,4.14,1.86,2.48,1.69,5.21,3.4
hsa-miR-3187-5p,1.83,0.37,1.93,1.13,1.21,0.78,0.95,0.62
hsa-miR-3188,0.18,0.0,0.83,0.16,0.3,0.0,0.0,0.41
hsa-miR-3192-3p,0.18,0.0,0.0,0.16,0.15,0.0,0.0,0.0
hsa-miR-3192-5p,0.37,0.0,0.0,0.16,0.05,0.0,0.0,0.0
hsa-miR-3194-5p,0.0,0.0,0.0,0.08,0.1,0.12,0.47,0.21
hsa-miR-3195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
hsa-miR-3196,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0
hsa-miR-3197,0.91,0.0,0.0,0.08,0.0,0.06,0.0,0.0
hsa-miR-3198,0.18,0.0,0.0,0.16,0.0,0.12,0.0,0.0
hsa-miR-3199,0.37,0.0,0.14,0.08,0.0,0.12,0.24,0.0
hsa-miR-32-3p,3.11,4.64,2.21,3.32,3.39,3.5,0.71,1.65
hsa-miR-32-5p,50.05,85.35,100.0,138.6,73.94,71.07,17.27,19.24
hsa-miR-3200-3p,6.58,6.86,10.21,15.97,6.72,11.46,5.68,11.93
hsa-miR-3200-5p,1.28,1.11,1.1,0.24,0.45,0.3,0.95,0.41
hsa-miR-320a-3p,123.11,130.43,137.66,258.47,181.94,229.02,206.1,288.28
hsa-miR-320a-5p,0.0,0.37,0.55,0.32,0.35,0.24,0.0,0.72
hsa-miR-320b,7.85,11.87,13.79,17.34,14.45,2.71,11.12,63.27
hsa-miR-320c,3.29,1.67,7.86,16.7,2.07,4.46,1.18,19.03
hsa-miR-320d,0.18,1.48,1.93,4.46,1.06,14.12,1.18,0.1
hsa-miR-320e,0.0,0.0,0.0,0.49,0.0,0.0,0.47,2.16
hsa-miR-323a-3p,0.73,0.37,0.55,0.41,0.3,0.66,0.24,0.31
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-324-3p,13.52,17.07,28.0,34.77,24.76,29.62,10.17,15.84
hsa-miR-324-5p,45.12,53.62,68.0,94.1,54.18,72.64,32.89,50.21
hsa-miR-326,0.0,1.3,0.28,0.41,0.51,0.48,0.47,0.21
hsa-miR-328-3p,78.72,79.6,98.9,76.67,101.89,80.48,179.83,122.53
hsa-miR-329-3p,0.18,0.0,0.41,0.57,0.2,0.36,1.18,0.62
hsa-miR-330-3p,9.5,8.35,8.41,6.97,5.76,4.83,3.08,1.85
hsa-miR-330-5p,9.5,5.57,10.9,9.48,8.69,8.33,7.57,5.86
hsa-miR-331-3p,4.2,2.41,2.76,3.81,3.49,5.13,1.42,1.65
hsa-miR-331-5p,3.29,6.49,5.93,7.46,8.54,7.42,9.94,5.14
hsa-miR-335-3p,0.37,0.19,0.0,0.73,0.2,0.12,0.0,0.1
hsa-miR-335-5p,4.2,0.93,4.83,3.08,3.54,2.17,2.37,2.88
hsa-miR-338-3p,2.74,0.56,2.21,1.54,3.49,6.76,0.47,2.67
hsa-miR-338-5p,0.18,0.0,4.28,0.41,2.12,4.71,0.24,0.0
hsa-miR-339-3p,9.86,9.09,11.17,20.91,14.35,20.93,12.07,23.35
hsa-miR-339-5p,92.06,116.15,152.0,264.63,148.74,257.73,182.91,296.0
hsa-miR-33a-3p,11.51,25.98,25.38,38.74,11.62,18.28,5.92,12.45
hsa-miR-33a-5p,12.24,12.8,18.76,27.23,22.89,22.08,5.68,15.23
hsa-miR-33b-3p,0.55,0.74,0.69,1.13,1.21,0.6,0.0,0.1
hsa-miR-33b-5p,118.18,93.33,163.17,105.36,96.78,89.71,79.03,81.69
hsa-miR-340-3p,13.52,8.72,11.72,9.4,9.35,9.77,4.26,4.63
hsa-miR-340-5p,621.4,1048.48,962.34,1586.79,695.22,825.99,1168.2,1315.68
hsa-miR-342-3p,106.49,148.06,229.79,236.34,87.18,105.22,71.7,86.83
hsa-miR-342-5p,39.64,24.86,33.93,37.69,32.65,46.09,40.7,50.93
hsa-miR-345-3p,0.18,0.37,0.55,0.32,0.45,0.3,0.0,0.82
hsa-miR-345-5p,48.22,32.47,43.45,49.76,59.69,47.96,52.06,52.27
hsa-miR-346,6.94,6.49,6.34,8.83,8.59,9.71,6.63,9.57
hsa-miR-34a-3p,1.64,1.11,2.76,2.84,3.13,3.14,1.89,3.09
hsa-miR-34a-5p,320.01,169.21,217.79,228.32,323.71,339.84,281.34,284.78
hsa-miR-34b-3p,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.41
hsa-miR-34b-5p,0.0,1.3,0.28,0.24,0.35,0.97,2.13,1.03
hsa-miR-34c-3p,0.0,0.0,0.0,0.08,0.0,0.12,0.0,0.21
hsa-miR-34c-5p,0.18,0.74,1.1,1.78,2.48,4.77,2.37,5.86
hsa-miR-3605-3p,0.55,0.37,0.83,0.81,0.66,0.78,0.95,0.72
hsa-miR-3605-5p,1.1,0.74,0.14,0.89,0.3,1.21,0.0,1.34
hsa-miR-3609,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-361-3p,24.66,15.03,12.41,24.56,18.85,22.44,12.54,21.09
hsa-miR-361-5p,78.54,101.3,94.21,175.55,90.16,108.47,38.1,65.02
hsa-miR-3610,0.0,0.0,0.14,0.0,0.1,0.12,0.47,0.41
hsa-miR-3611,0.18,1.11,1.52,2.84,0.91,1.81,0.24,1.23
hsa-miR-3613-3p,1.28,0.74,1.93,3.32,1.01,1.93,1.18,1.23
hsa-miR-3613-5p,35.25,45.46,26.34,77.89,31.99,49.77,38.33,90.43
hsa-miR-3614-3p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-3614-5p,0.18,0.0,0.0,0.16,0.1,0.0,0.0,0.0
hsa-miR-3615,9.5,7.61,9.24,14.59,11.17,8.57,18.93,15.95
hsa-miR-3616-3p,0.18,0.0,0.14,0.08,0.05,0.12,0.0,0.1
hsa-miR-3617-3p,0.18,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-3619-3p,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3619-5p,0.0,0.0,0.14,0.16,0.0,0.06,0.0,0.0
hsa-miR-362-3p,0.73,1.86,1.66,3.49,1.57,2.05,0.47,0.82
hsa-miR-362-5p,11.32,5.57,11.17,4.3,5.16,4.77,2.13,3.19
hsa-miR-3620-3p,2.74,1.86,2.07,1.54,1.52,1.57,0.47,0.51
hsa-miR-3620-5p,0.73,0.19,2.34,0.97,1.42,1.09,1.66,0.62
hsa-miR-3622a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-363-3p,0.0,0.19,0.0,0.32,0.1,0.12,0.0,0.0
hsa-miR-3648,1.46,0.37,0.69,0.89,1.42,0.72,1.89,1.03
hsa-miR-3651,0.0,0.0,0.14,0.0,0.1,0.0,0.95,0.93
hsa-miR-3652,0.18,0.37,0.0,0.24,0.15,0.12,0.24,0.1
hsa-miR-3654,6.76,10.02,9.1,10.37,6.17,7.9,1.89,5.86
hsa-miR-3655,0.0,0.0,0.0,0.0,0.05,0.0,0.24,0.0
hsa-miR-3657,0.37,0.0,0.83,0.81,0.35,0.42,0.47,0.41
hsa-miR-3659,0.0,0.0,0.14,0.16,0.25,0.3,0.24,0.21
hsa-miR-365a-3p,0.91,1.67,2.07,2.43,14.61,16.59,0.95,3.19
hsa-miR-365a-5p,157.63,66.79,135.45,76.02,80.76,69.08,57.5,40.12
hsa-miR-365b-3p,6.39,9.09,9.38,14.83,0.3,0.24,8.52,9.77
hsa-miR-365b-5p,8.22,7.05,6.62,6.89,6.72,4.52,5.44,2.47
hsa-miR-3660,0.37,1.3,0.41,0.65,0.51,0.66,0.47,0.41
hsa-miR-3661,0.55,1.3,0.41,0.97,0.35,0.6,0.47,0.72
hsa-miR-3662,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3663-3p,0.55,0.19,0.14,0.08,0.2,0.48,0.24,1.44
hsa-miR-3664-3p,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0
hsa-miR-3665,5.66,2.23,2.34,2.51,4.09,5.31,5.68,3.6
hsa-miR-3667-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-3677-3p,18.45,15.96,16.69,23.34,19.41,23.47,7.34,9.88
hsa-miR-3677-5p,0.18,0.19,0.83,0.0,0.1,0.0,0.0,0.0
hsa-miR-3678-3p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-3679-3p,0.0,0.0,0.14,0.32,0.3,0.24,0.0,0.31
hsa-miR-3679-5p,4.2,3.9,5.1,5.43,3.54,3.5,3.31,3.29
hsa-miR-3680-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3680-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.1
hsa-miR-3681-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-3682-3p,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0
hsa-miR-3684,0.73,0.56,1.38,2.11,1.67,1.39,1.89,1.03
hsa-miR-3685,0.0,0.19,0.0,0.65,0.0,0.42,0.24,0.51
hsa-miR-3688-3p,0.18,1.86,1.79,2.76,1.11,0.06,0.95,2.67
hsa-miR-3688-5p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-369-3p,66.67,43.97,90.76,98.15,48.06,47.84,28.39,29.32
hsa-miR-369-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.47,0.1
hsa-miR-3691-3p,0.37,0.19,0.14,0.32,0.2,0.06,0.24,0.21
hsa-miR-3691-5p,1.28,0.56,1.1,2.11,1.01,1.03,3.08,0.93
hsa-miR-370-3p,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-371b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
hsa-miR-372-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-373-3p,0.0,0.0,0.0,0.0,0.0,0.12,0.24,0.0
hsa-miR-374a-3p,54.8,49.17,48.97,46.77,32.35,39.46,8.05,17.28
