miRNA,SRR29300460,SRR29300461,SRR29300462,SRR29300463,SRR29300464,SRR29300465,SRR29300466,SRR29300467,SRR29300468,SRR29300469,SRR29300470,SRR29300471,SRR29300472,SRR29300473,SRR29300474,SRR29300475,SRR29300476,SRR29300477,SRR29300478,SRR29300479,SRR29300480,SRR29300481,SRR29300482,SRR29300483,SRR29300484,SRR29300485,SRR29300486,SRR29300487
hsa-miR-151b,0.0,0.0,1.8,0.0,3.11,0.0,0.87,0.0,449.49,87.64,0.0,2.69,0.0,0.0,0.0,0.0,0.0,0.0,42.63,0.0,0.0,0.0,0.0,3.76,0.0,151.78,8.55,0.0
hsa-miR-152-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,210.16,1.82,0.0,0.0,0.0,0.0,1.42,24.87,0.0,0.0,1.98,0.0,1.88,0.0,0.0,0.0,0.0
hsa-miR-153-3p,23.5,1333.06,244.21,578.59,757.83,29.75,421.95,29.21,617.57,432.17,925.83,428.41,1611.11,642.92,146.62,1739.2,12.06,1.42,245.12,377.02,1085.01,896.06,12.18,740.49,543.19,4.4,0.0,1658.87
hsa-miR-1538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,4.72,0.0,2.85,0.0
hsa-miR-154-3p,0.0,0.0,0.0,5.73,3.11,1.35,0.87,1.33,0.0,3.02,0.0,0.0,0.91,1.29,0.0,1.75,0.0,0.0,3.55,0.0,1.96,0.0,0.0,1.88,0.0,4.4,0.0,0.0
hsa-miR-154-5p,0.0,0.0,210.09,451.61,639.81,0.0,1.31,0.0,302.18,465.42,1.86,2.69,324.04,3.86,10.47,1471.49,711.34,96.36,272.35,228.31,395.62,424.24,529.63,813.79,285.77,0.0,387.62,2.53
hsa-miR-155-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,432.17,0.0,311.2,0.0,0.0,0.0,0.0,0.0,0.0,260.51,0.0,0.0,1.98,6.09,0.0,0.0,0.0,14.25,0.0
hsa-miR-15a-5p,5.22,3.19,3.59,2.86,0.0,0.0,1.75,1.33,523.14,353.6,25.98,25.6,668.11,11.57,513.17,15.75,24.11,17.01,470.1,4.19,2.94,523.37,6.09,9.4,11.81,13.2,430.38,0.0
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,1.86,1.35,0.0,0.0,6.98,5.25,4.82,1.42,24.87,4.19,0.98,0.0,3.04,1.88,14.17,4.4,14.25,10.13
hsa-miR-15b-5p,0.0,3.19,1.8,2.86,0.0,0.0,285.37,3.98,891.42,0.0,18.55,24.25,4.55,15.43,31.42,10.5,728.22,15.59,395.5,39.8,26.44,51.54,51.75,65.78,89.74,39.59,62.7,78.51
hsa-miR-16-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,2.53
hsa-miR-16-5p,47.0,28.7,52.07,378.09,944.18,13.52,832.12,605.38,1097.28,513.77,313.56,681.68,1168.73,225.02,1302.13,302.7,1181.55,453.48,4228.55,119.39,283.0,485.7,203.94,2490.23,162.96,63.79,145.36,116.5
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.82,2.57,3.49,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,18.86,7.28,15.43,80.29,15.75,31.35,15.59,387.21,0.0,0.0,0.0,0.0,1.88,0.0,2.2,0.0,2.53
hsa-miR-181a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,6.09,0.0,2.36,0.0,0.0,0.0
hsa-miR-181a-3p,456.95,0.0,3.59,2.86,720.56,642.4,1.31,1.33,587.36,0.0,1.86,0.0,412.33,2.57,0.0,0.0,0.0,4.25,24.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,2.53
hsa-miR-181a-5p,17619.9,17055.53,7629.67,19673.14,11721.52,14921.3,24132.77,18668.66,23033.4,20049.26,18978.55,10928.46,25314.39,19103.77,3333.88,17775.16,14605.39,6481.88,10294.89,11943.14,21247.8,14440.12,10212.13,7901.08,13244.47,15151.25,10086.76,4044.6
hsa-miR-181b-5p,6154.43,7634.81,4076.1,10549.31,5519.11,5930.38,14768.26,9407.35,15985.13,8329.18,10005.99,6648.42,15281.84,8593.29,2848.63,7577.93,5485.76,5968.89,7803.46,11616.39,10990.14,8139.91,5454.58,8692.32,10171.89,9429.94,3904.74,2623.8
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181c-5p,765.06,6.38,21.55,751.41,18.64,2345.1,1193.42,888.16,3748.88,1725.68,2335.91,528.1,1498.24,1383.57,59.35,40.24,957.3,1007.57,1641.21,473.37,660.02,553.1,6.09,860.77,965.94,904.06,484.53,661.02
