miRNA,SRR19599583,SRR19599584,SRR19599585,SRR19599586,SRR19599587,SRR19599588,SRR19599589,SRR19599590,SRR19599591,SRR19599592
hsa-let-7a-3p,10.46,12.9,5.76,0.0,15.71,29.33,26.76,12.36,10.18,9.81
hsa-let-7a-5p,3749.72,6099.84,2950.16,2919.18,1646.99,4192.0,4172.0,2040.18,1597.29,2205.53
hsa-let-7b-3p,0.0,2.96,0.0,0.0,3.04,12.32,3.04,0.0,0.0,2.94
hsa-let-7b-5p,1058.26,2798.63,1256.67,1861.35,906.11,1972.96,1655.89,1011.59,919.35,2240.25
hsa-let-7c-5p,25.22,72.36,35.76,44.48,21.47,80.95,80.86,61.05,28.53,110.26
hsa-let-7d-3p,479.84,355.48,293.05,144.85,254.49,373.65,332.17,209.17,215.07,154.2
hsa-let-7d-5p,1033.15,1626.57,993.39,780.59,564.76,946.15,964.61,442.04,467.86,702.94
hsa-let-7e-5p,99.15,164.02,8.88,22.71,41.35,66.58,70.04,63.37,22.35,23.93
hsa-let-7f-1-3p,0.0,0.0,0.24,0.12,2.88,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.58,0.86,4.56,0.7,4.81,0.0,9.3,0.0,5.19,1.96
hsa-let-7f-5p,6548.0,8563.63,4730.05,3881.64,2753.58,4980.66,6864.07,3074.96,1824.14,2853.92
hsa-let-7g-3p,3.49,0.0,0.0,0.12,0.0,0.29,0.0,0.0,0.0,0.0
hsa-let-7g-5p,8839.12,23223.27,18602.9,14270.79,8755.63,10034.34,11819.41,10359.84,6513.86,11032.33
hsa-let-7i-3p,11.16,8.41,20.16,0.0,23.72,43.41,29.8,2.58,8.98,5.89
hsa-let-7i-5p,6095.47,16782.58,13070.51,7633.22,5103.95,6871.5,7735.1,6741.36,5083.76,7559.64
hsa-miR-1-3p,241.9,249.09,157.92,191.42,22.28,78.6,156.02,84.75,51.87,172.25
hsa-miR-100-5p,71.02,32.69,103.92,49.72,33.65,143.71,91.11,149.92,135.07,44.73
hsa-miR-101-3p,7389.47,8280.13,12659.62,7902.07,11252.79,7240.16,9217.89,8556.65,8206.52,10429.06
hsa-miR-101-5p,0.0,1.05,6.72,1.98,0.0,2.35,5.12,0.0,9.18,4.51
hsa-miR-10392-5p,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,1.86,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.58,5.54,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,2.09,4.68,9.12,0.23,1.76,12.32,9.49,0.0,1.6,8.83
hsa-miR-103a-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57
hsa-miR-103a-2-5p,11.74,6.21,0.0,1.05,4.81,0.0,3.42,0.0,0.0,2.55
hsa-miR-103a-3p,1538.8,1038.82,15027.53,2548.68,243.11,9112.24,2789.05,3648.11,5381.43,2518.25
hsa-miR-10401-3p,0.58,1.43,0.24,1.51,0.0,0.0,0.0,0.0,1.2,0.0
hsa-miR-106a-3p,2.21,5.74,16.32,5.71,6.73,15.84,5.31,13.14,0.0,4.51
hsa-miR-106a-5p,13.25,36.42,32.4,27.13,34.94,36.07,38.15,35.29,1.6,31.59
hsa-miR-106b-3p,1389.55,1543.89,2544.55,1415.4,1969.11,1114.21,1474.63,2275.11,1100.51,1675.04
hsa-miR-106b-5p,522.97,676.26,955.71,458.29,709.31,792.47,783.72,802.16,444.31,448.48
hsa-miR-107,418.93,588.04,408.01,171.28,261.7,825.32,465.79,204.02,740.99,172.84
hsa-miR-10a-3p,0.7,3.06,0.0,0.0,0.0,9.68,10.44,0.0,0.0,0.59
hsa-miR-10a-5p,716.98,599.32,263.29,213.89,381.1,580.42,810.67,439.98,337.77,332.73
hsa-miR-10b-3p,0.0,1.82,0.0,1.16,2.88,0.29,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,1242.97,1129.72,1022.91,613.85,1318.62,2539.31,1235.66,1858.06,868.67,1234.21
hsa-miR-11400,0.0,89.56,0.0,41.92,0.0,0.0,0.0,0.0,17.56,0.0
hsa-miR-11401,1.98,4.01,0.24,9.2,1.28,0.0,0.0,4.89,0.0,0.59
hsa-miR-1180-3p,16.39,18.16,25.2,39.82,24.2,35.78,29.61,53.07,12.37,27.66
hsa-miR-1185-1-3p,48.01,27.43,52.08,14.79,22.28,11.44,61.88,11.08,61.05,18.83
hsa-miR-1185-2-3p,2.56,0.1,11.52,0.0,0.0,0.0,2.09,10.05,3.99,4.12
hsa-miR-1185-5p,0.0,0.86,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0
