miRNA,SRR26990618,SRR26990619,SRR26990620,SRR26990621,SRR26990622,SRR26990623,SRR26990624,SRR26990625,SRR26990626,SRR26990627,SRR26990628,SRR26990629,SRR26990630,SRR26990631,SRR26990632,SRR26990633,SRR26990634,SRR26990635
hsa-let-7a-3p,0.0,0.0,0.17,2.19,1.31,1.99,1.16,2.47,1.53,0.0,0.39,0.0,0.0,0.59,0.23,0.0,0.0,0.0
hsa-let-7a-5p,0.76,2.59,18.26,42.43,17.05,39.4,8.98,99.84,76.19,0.68,29.61,7.1,0.35,4.41,13.85,13.94,0.1,1.92
hsa-let-7b-3p,0.0,0.0,0.0,0.42,0.05,1.64,0.18,0.49,0.31,0.0,0.0,0.0,0.0,0.59,0.23,0.0,0.0,0.0
hsa-let-7b-5p,1.37,3.74,12.45,35.03,25.79,105.42,11.18,170.27,61.99,3.89,45.8,23.09,3.83,1.76,94.19,13.25,0.1,3.85
hsa-let-7c-3p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,2.01,1.16,6.13,8.27,16.18,3.3,26.44,5.65,0.08,1.97,0.89,0.52,0.88,1.62,0.12,0.0,0.0
hsa-let-7d-3p,0.0,0.0,0.66,0.3,0.16,1.52,0.12,1.98,1.53,0.0,0.39,0.0,0.0,3.53,0.69,0.58,0.0,0.0
hsa-let-7d-5p,0.0,0.29,0.5,1.15,0.99,1.17,0.43,1.48,1.22,0.42,1.18,2.22,0.0,0.0,6.23,3.11,0.0,3.55
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.17,1.21,0.94,3.17,0.43,5.68,2.75,0.25,1.18,0.89,0.0,0.88,0.46,0.23,0.0,0.0
hsa-let-7f-1-3p,0.0,0.29,0.0,0.36,0.21,0.35,0.12,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.18,0.05,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,0.76,3.45,8.96,23.55,7.74,13.6,2.81,40.28,26.41,0.0,5.92,1.33,0.0,0.59,1.39,2.53,0.0,0.0
hsa-let-7g-3p,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,0.0,0.0,4.98,4.86,3.09,5.39,0.79,30.64,16.34,0.08,3.55,0.0,0.0,0.59,2.77,3.46,0.0,0.0
hsa-let-7i-3p,0.0,0.0,0.0,0.24,0.05,0.23,0.06,0.49,0.15,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,0.0,0.0,1.33,1.03,0.78,0.94,0.18,4.7,2.29,0.08,1.18,0.0,0.0,0.0,5.08,1.15,0.0,0.0
hsa-miR-1-3p,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.17,0.06,0.0,0.12,0.0,0.74,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,0.0,1.0,0.49,0.94,0.47,0.67,0.99,0.61,0.08,0.0,0.0,0.0,0.0,0.46,0.92,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-3p,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.15,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,8.68,1.94,0.12,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.15,0.0,0.66,1.4,0.0,0.23,0.0,5.19,28.09,0.0,18.56,0.0,0.0,43.48,0.23,0.12,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,25.39,8.56,1.88,0.12,0.12,29.65,83.67,0.0,310.32,0.0,0.0,47.89,0.46,0.69,0.0,2.22
hsa-miR-10396b-5p,0.0,0.0,0.17,0.55,0.05,0.0,0.0,0.49,0.92,0.0,0.79,0.0,0.0,2.06,0.0,0.0,0.1,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
