miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-let-7a-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,19.0,372.0,106.0,254.0,2922.0,420.0,14.0,280.0,191.0,12.0,117.0,100.0,3.0,12.0,15.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,3.0,59.0,20.0,44.0,380.0,45.0,10.0,173.0,107.0,3.0,48.0,23.0,5.0,9.0,14.0
hsa-let-7c-5p,1.0,17.0,10.0,4.0,22.0,6.0,1.0,8.0,12.0,0.0,3.0,6.0,1.0,0.0,1.0
hsa-let-7d-3p,0.0,2.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
hsa-let-7d-5p,1.0,26.0,9.0,6.0,92.0,7.0,0.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0
hsa-let-7e-5p,0.0,9.0,4.0,7.0,96.0,13.0,0.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,65.0,1169.0,368.0,498.0,4035.0,803.0,9.0,190.0,138.0,51.0,407.0,267.0,4.0,20.0,10.0
hsa-let-7g-5p,9.0,100.0,30.0,61.0,572.0,71.0,0.0,20.0,15.0,3.0,24.0,20.0,0.0,3.0,5.0
hsa-let-7i-5p,47.0,414.0,131.0,489.0,3326.0,729.0,27.0,660.0,483.0,27.0,239.0,209.0,12.0,40.0,32.0
hsa-miR-1-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,26.0,48.0,3.0,2454.0,15257.0,2877.0,68.0,896.0,843.0,27.0,155.0,122.0,75.0,243.0,204.0
hsa-miR-101-3p,0.0,6.0,1.0,11.0,55.0,15.0,1.0,8.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,6.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-106b-3p,2.0,24.0,9.0,20.0,82.0,24.0,0.0,3.0,3.0,2.0,7.0,10.0,1.0,3.0,2.0
hsa-miR-106b-5p,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
