miRNA,SRR8560004,SRR8560005,SRR8560006
hsa-miR-15b-3p,1.9,3.06,1.92
hsa-miR-15b-5p,7.58,3.06,4.79
hsa-miR-16-2-3p,0.0,0.38,1.92
hsa-miR-16-5p,109.94,71.56,91.01
hsa-miR-17-3p,0.0,0.38,0.96
hsa-miR-17-5p,9.48,3.06,19.16
hsa-miR-181a-2-3p,36.02,28.7,40.23
hsa-miR-181a-3p,119.42,66.97,53.65
hsa-miR-181a-5p,227.47,203.58,229.91
hsa-miR-181b-3p,0.95,0.77,0.0
hsa-miR-181b-5p,39.81,47.83,57.48
hsa-miR-181c-5p,0.0,0.77,0.0
hsa-miR-182-5p,27.49,10.33,26.82
hsa-miR-183-5p,12.32,5.74,8.62
hsa-miR-1843,0.0,1.15,1.92
hsa-miR-185-3p,0.95,1.53,2.87
hsa-miR-185-5p,8.53,6.51,9.58
hsa-miR-186-5p,2648.11,1324.78,1456.11
hsa-miR-18a-3p,3.79,4.21,6.71
hsa-miR-18a-5p,0.0,1.15,1.92
hsa-miR-1908-5p,0.0,1.15,0.96
hsa-miR-191-5p,210.41,47.45,135.07
hsa-miR-192-5p,3.79,3.06,2.87
hsa-miR-193a-3p,2.84,6.51,7.66
hsa-miR-193a-5p,0.0,0.0,0.96
hsa-miR-193b-3p,5.69,11.48,14.37
hsa-miR-194-3p,0.0,0.77,1.92
hsa-miR-194-5p,1.9,0.77,1.92
hsa-miR-195-5p,0.0,0.0,0.96
hsa-miR-196a-5p,0.0,0.0,1.92
hsa-miR-196b-5p,0.0,0.0,2.87
hsa-miR-197-3p,0.95,0.38,3.83
hsa-miR-198,0.0,0.0,0.96
hsa-miR-199a-3p,1.9,1.53,0.0
hsa-miR-199a-5p,18.96,3.06,0.96
hsa-miR-199b-5p,2.84,3.06,0.96
hsa-miR-19a-3p,1.9,2.3,6.71
hsa-miR-19b-1-5p,0.95,0.77,0.0
hsa-miR-19b-3p,1.9,3.44,14.37
hsa-miR-200a-3p,90.04,44.39,42.15
hsa-miR-200b-3p,0.95,0.38,11.5
hsa-miR-200b-5p,0.0,0.0,0.96
hsa-miR-200c-3p,0.0,1.15,35.44
hsa-miR-203a-3p,0.0,3.06,0.96
hsa-miR-204-3p,0.0,1.15,1.92
hsa-miR-204-5p,0.0,0.0,0.96
hsa-miR-205-5p,0.0,8.04,0.0
hsa-miR-20a-5p,8.53,9.57,37.36
hsa-miR-21-3p,18.01,7.65,15.33
hsa-miR-21-5p,648.28,677.7,1574.9
hsa-miR-210-3p,195.24,122.07,171.48
hsa-miR-2110,1.9,0.0,0.0
hsa-miR-214-3p,0.95,0.38,0.0
hsa-miR-215-5p,1.9,0.77,0.0
hsa-miR-217-5p,1.9,0.38,0.0
hsa-miR-218-5p,1.9,0.38,0.0
hsa-miR-22-3p,76.77,65.44,75.68
hsa-miR-22-5p,0.0,0.77,1.92
hsa-miR-221-3p,18451.44,8769.9,8264.39
hsa-miR-221-5p,443.56,159.95,197.34
hsa-miR-222-3p,7349.11,3097.67,4873.18
hsa-miR-222-5p,333.62,123.6,116.87
hsa-miR-223-5p,0.95,0.0,0.0
hsa-miR-224-3p,0.0,0.38,0.0
hsa-miR-224-5p,72.03,28.32,44.07
hsa-miR-2277-5p,0.95,0.0,0.0
hsa-miR-23a-3p,1029.29,849.51,655.25
hsa-miR-23a-5p,0.95,0.38,0.0
hsa-miR-23b-3p,4.74,4.21,9.58
hsa-miR-24-1-5p,8.53,8.04,3.83
hsa-miR-24-2-5p,16.11,1.53,5.75
hsa-miR-24-3p,53.08,34.44,47.9
hsa-miR-2467-5p,0.0,0.77,1.92
hsa-miR-25-3p,115.63,84.95,107.29
hsa-miR-25-5p,0.95,0.0,0.0
hsa-miR-26a-2-3p,3.79,9.18,4.79
hsa-miR-26a-5p,87.2,50.89,65.14
hsa-miR-26b-3p,5.69,0.77,0.0
hsa-miR-26b-5p,19.9,11.86,21.08
hsa-miR-27a-3p,2705.92,97.2,1856.54
hsa-miR-27a-5p,8.53,1.53,0.96
hsa-miR-27b-3p,114.68,1969.19,408.09
hsa-miR-27b-5p,1.9,0.38,0.0
hsa-miR-28-3p,2.84,6.12,8.62
hsa-miR-28-5p,159.23,227.69,352.53
hsa-miR-296-3p,0.95,0.0,0.0
hsa-miR-29a-3p,1994.14,1051.94,1251.11
hsa-miR-29a-5p,0.95,6.12,6.71
hsa-miR-29b-3p,806.56,644.41,653.33
hsa-miR-29c-3p,37.91,14.92,7.66
hsa-miR-29c-5p,0.95,0.38,2.87
hsa-miR-301a-3p,18.96,17.22,16.29
hsa-miR-301b-3p,0.0,1.91,3.83
hsa-miR-3065-5p,4.74,8.04,11.5
hsa-miR-30a-3p,15.16,6.89,10.54
hsa-miR-30a-5p,236.95,145.8,173.39
hsa-miR-30b-3p,0.95,3.06,3.83
hsa-miR-30b-5p,195.24,178.7,225.12
hsa-miR-30c-1-3p,0.0,0.38,0.96
hsa-miR-30c-2-3p,38.86,19.9,23.95
hsa-miR-30c-5p,309.92,209.7,249.07
hsa-miR-30d-5p,48.34,30.23,85.26
hsa-miR-30e-3p,0.0,0.38,3.83
hsa-miR-30e-5p,44.55,28.7,42.15
hsa-miR-31-5p,0.0,0.77,27.78
hsa-miR-3123,218.94,476.8,352.53
hsa-miR-3140-3p,0.0,0.77,0.0
hsa-miR-3143,3.79,1.91,0.0
hsa-miR-3157-3p,0.0,0.38,0.0
hsa-miR-3157-5p,0.0,0.0,0.96
hsa-miR-3165,0.95,0.0,0.0
hsa-miR-3178,10.43,40.18,41.19
hsa-miR-3179,0.95,0.0,0.0
hsa-miR-3182,924.09,1529.13,956.05
hsa-miR-3187-3p,0.0,0.38,0.0
hsa-miR-3192-3p,0.0,1.15,0.0
hsa-miR-3195,0.95,0.0,0.0
hsa-miR-3196,0.0,13.39,2.87
hsa-miR-3199,0.0,0.0,0.96
hsa-miR-32-3p,0.0,0.38,0.96
hsa-miR-32-5p,3.79,0.77,1.92
hsa-miR-3200-3p,0.95,0.38,1.92
hsa-miR-320a-3p,36.96,5.74,5.75
hsa-miR-320b,0.0,6.12,10.54
hsa-miR-320c,16.11,0.38,0.0
hsa-miR-320d,12.32,1.53,0.0
hsa-miR-320e,0.0,0.0,7.66
hsa-miR-324-5p,0.0,0.38,0.0
hsa-miR-326,1.9,1.53,0.0
hsa-miR-328-3p,11.37,9.95,13.41
hsa-miR-329-3p,0.0,0.77,0.0
hsa-miR-330-3p,0.0,0.38,0.96
hsa-miR-330-5p,18.96,10.33,11.5
hsa-miR-331-3p,1.9,2.3,5.75
hsa-miR-331-5p,39.81,17.99,12.45
hsa-miR-335-3p,102.36,65.44,85.26
