miRNA,ERR7015676,ERR7015677,ERR7015678,ERR7015679,ERR7015680,ERR7015681,ERR7015682,ERR7015683,ERR7015684,ERR7015685,ERR7015686,ERR7015687
hsa-let-7a-2-3p,0.0,4.41,0.0,0.0,0.0,0.0,1.52,0.0,0.0,4.34,0.0,0.0
hsa-let-7a-3p,3.12,2.94,1.81,3.94,2.25,0.0,0.0,0.0,4.38,1.45,0.0,2.63
hsa-let-7a-5p,301.41,257.39,330.41,86.59,76.57,52.38,210.22,493.71,608.59,557.36,158.89,143.46
hsa-let-7b-3p,0.0,0.0,1.81,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,374.8,200.03,290.69,259.78,131.75,185.7,281.82,404.89,643.62,212.81,60.68,43.43
hsa-let-7c-5p,28.11,33.83,60.49,22.3,1.13,11.9,112.73,51.91,2.92,15.92,3.19,9.21
hsa-let-7d-3p,9.37,16.18,15.35,5.25,9.01,10.71,3.05,10.38,14.59,55.01,7.19,9.21
hsa-let-7d-5p,31.23,23.53,46.04,18.37,3.38,8.33,30.47,38.07,42.32,73.83,17.57,10.53
hsa-let-7e-3p,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,9.37,17.65,23.47,14.43,1.13,4.76,24.37,26.53,33.57,76.73,20.76,26.32
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,1.45,0.0,0.0
hsa-let-7f-5p,131.18,77.95,119.17,44.61,14.64,45.23,99.02,129.19,163.46,227.29,65.47,89.5
hsa-let-7g-5p,179.59,98.54,106.53,44.61,39.41,44.04,67.03,106.12,140.11,199.78,43.92,51.33
hsa-let-7i-3p,1.56,0.0,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0
hsa-let-7i-5p,173.35,126.49,202.22,114.14,46.17,89.28,167.57,207.63,252.49,414.04,106.2,94.76
hsa-miR-1-3p,7.81,11.77,5.42,2.62,3.38,8.33,3.05,34.61,21.89,28.95,0.0,2.63
hsa-miR-100-3p,0.0,0.0,0.9,0.0,0.0,0.0,1.52,0.0,0.0,1.45,0.0,0.0
hsa-miR-100-5p,532.53,201.5,593.12,279.46,199.32,301.16,429.59,547.92,558.97,848.35,305.01,221.11
hsa-miR-101-3p,24.99,35.3,10.83,18.37,7.88,11.9,21.33,27.68,23.35,47.77,11.18,14.48
hsa-miR-10396a-3p,6.25,2.94,2.71,0.0,9.01,3.57,12.19,0.0,1.46,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,1.56,0.0,0.0,2.62,1.13,3.57,3.05,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,2.25,0.0,7.62,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,1.56,1.47,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0
