miRNA,SRR19171704,SRR19171705,SRR19171706,SRR19171707,SRR19171708,SRR19171709,SRR19171710,SRR19171711,SRR19171712,SRR19171713,SRR19171714,SRR19171715,SRR19171716,SRR19171717,SRR19171718
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.88,0.71,1.35,1.16,2.27
hsa-let-7a-3p,3.44,7.12,6.19,23.32,13.82,18.47,24.91,10.47,34.0,39.93,39.27,39.7,18.19,15.03,18.94
hsa-let-7a-5p,1542.47,839.98,1036.3,3495.28,2476.13,2579.21,4681.42,4223.93,4084.55,6164.88,4539.69,4509.25,1572.81,1949.34,1985.96
hsa-let-7b-3p,3.44,0.0,6.19,8.26,5.8,4.1,9.96,4.96,9.47,13.07,12.36,10.63,5.39,5.78,4.54
hsa-let-7b-5p,1422.23,608.63,547.54,1744.97,2103.86,1376.29,2331.74,2067.59,2008.0,4741.35,3826.61,3790.43,1442.14,1935.47,2084.42
hsa-let-7c-5p,209.56,35.59,43.31,193.4,32.55,88.23,94.64,281.67,276.43,108.53,280.2,69.47,51.87,75.71,68.93
hsa-let-7d-3p,54.97,46.27,9.28,240.53,205.97,169.79,469.74,316.39,443.62,283.11,282.41,255.55,201.4,190.71,229.5
hsa-let-7d-5p,37.79,35.59,27.84,664.26,503.34,531.44,923.53,685.16,838.2,922.64,792.5,819.12,297.72,301.1,389.31
hsa-let-7e-3p,0.0,0.0,0.0,0.49,4.01,3.08,1.99,2.76,3.34,7.26,9.27,11.7,4.04,8.09,4.54
hsa-let-7e-5p,68.71,42.71,89.71,91.35,84.71,107.21,171.36,169.22,142.67,192.37,157.97,187.5,134.72,150.26,175.72
hsa-let-7f-1-3p,3.44,0.0,0.0,9.23,6.24,8.21,9.96,8.27,8.92,10.16,10.59,9.57,2.69,4.62,9.09
hsa-let-7f-2-3p,0.0,0.0,0.0,0.97,1.34,2.05,0.0,1.65,0.56,1.81,2.21,3.19,0.67,1.16,1.51
hsa-let-7f-5p,814.18,402.2,631.06,10445.5,7399.41,9432.47,9746.9,10550.17,10170.4,11198.77,10492.29,11431.2,3022.36,4382.97,3996.91
hsa-let-7g-3p,0.0,0.0,0.0,1.94,0.89,0.0,0.5,0.0,1.11,0.73,0.44,1.42,2.02,1.16,0.76
hsa-let-7g-5p,168.33,81.86,98.99,4665.88,3632.16,4216.6,2678.94,2804.01,2913.07,2168.32,2179.83,2206.77,1556.65,2389.71,2170.77
hsa-let-7i-3p,0.0,3.56,0.0,8.75,6.24,6.16,6.97,6.61,7.8,7.99,15.0,7.09,8.08,2.31,2.27
hsa-let-7i-5p,652.71,444.91,445.46,5244.13,5665.14,5143.54,4336.72,4806.01,4314.16,6496.62,6126.9,6040.09,3392.16,4696.21,4539.98
hsa-miR-1-3p,0.0,3.56,3.09,4.86,2.23,4.62,1.0,2.2,2.23,3.99,1.32,2.48,3.37,3.47,1.51
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
hsa-miR-100-5p,7076.8,4199.92,2502.6,16.04,28.53,17.44,13.95,14.33,16.16,1701.19,1684.29,1617.33,4294.08,4882.3,4420.31
hsa-miR-101-3p,20.61,14.24,3.09,520.43,450.73,533.49,253.55,226.55,258.04,226.49,219.31,240.31,99.02,149.68,118.16
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.58,0.76
hsa-miR-10394-5p,0.0,0.0,0.0,0.49,0.45,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,2.43,4.46,3.59,7.97,1.1,1.11,5.81,6.18,10.28,0.0,0.0,2.27
hsa-miR-10395-5p,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.49,0.0,1.03,1.49,0.0,1.67,0.36,0.0,0.71,0.0,2.31,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1.16,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,2.43,0.0,1.54,1.49,2.2,1.67,10.89,10.15,6.73,68.71,76.86,58.32
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.35,0.0,1.16,1.51
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0
hsa-miR-103a-3p,3.44,14.24,0.0,959.71,32.55,615.56,1297.63,529.71,510.5,570.94,529.95,662.46,119.22,16.18,215.87
hsa-miR-10401-3p,6.87,0.0,0.0,7.29,5.8,11.29,4.98,5.51,7.8,7.62,6.18,10.63,61.3,24.27,17.42
hsa-miR-105-3p,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,8.26,7.13,8.72,0.5,0.0,0.0,59.53,41.92,54.94,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.67,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,2.23,0.0,1.0,0.55,0.0,0.73,0.0,0.35,1.35,1.73,2.27
hsa-miR-106a-3p,0.0,0.0,0.0,3.89,2.67,3.59,1.99,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,105.93,60.19,59.5,83.69,23.7,94.19,0.36,0.88,1.06,3.37,4.05,3.79
hsa-miR-106b-3p,10.31,0.0,9.28,215.27,193.94,207.75,228.14,229.85,234.63,256.61,238.28,224.36,204.77,224.81,245.4
hsa-miR-106b-5p,0.0,0.0,3.09,139.95,172.09,151.84,135.49,75.52,172.77,65.33,71.48,72.31,34.35,41.61,57.56
hsa-miR-107,3.44,0.0,0.0,48.59,22.29,13.34,106.6,60.08,81.93,19.6,63.1,24.1,22.9,23.12,18.94
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.45,0.51,0.5,0.0,1.11,5.08,4.41,3.54,2.02,1.73,3.03
hsa-miR-10a-5p,6.87,3.56,3.09,18.95,21.85,23.6,14.94,14.33,14.49,325.94,294.76,307.3,140.1,167.02,165.12
hsa-miR-10b-3p,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.56,0.36,0.0,0.0,0.0,0.58,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,39.36,43.69,38.99,31.38,40.24,30.09,98.0,81.63,82.59,72.07,101.71,56.05
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.45,0.0,0.5,0.0,0.0,0.36,0.0,1.06,0.0,0.0,0.0
hsa-miR-1178-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,37.79,0.0,9.28,85.04,64.65,73.35,101.12,79.37,94.19,169.14,173.86,164.46,181.87,139.86,162.09
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.56,0.0,0.0,0.0,1.35,0.58,1.51
hsa-miR-1185-2-3p,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.58,1.51
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.56,0.0,0.44,0.0,0.67,0.0,0.76
hsa-miR-1197,0.0,0.0,0.0,0.49,0.45,0.0,0.0,0.0,0.0,0.36,0.44,0.71,1.35,1.73,0.0
hsa-miR-12113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
hsa-miR-12125,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12128,0.0,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
