miRNA,SRR23448779,SRR23448780,SRR23448781,SRR23448782,SRR23448783,SRR23448784,SRR23448785,SRR23448786,SRR23448787
hsa-let-7a-3p,12.19,11.54,15.69,55.5,33.87,47.45,23.96,29.47,36.59
hsa-let-7a-5p,6181.31,13140.08,9040.0,12837.39,14146.25,14707.4,11219.02,10932.84,30392.33
hsa-let-7b-3p,21.2,32.97,31.04,44.19,37.39,9.2,11.42,21.14,2.16
hsa-let-7b-5p,6163.08,10211.27,8947.42,10024.85,8489.51,11030.28,8969.44,7980.76,4507.16
hsa-let-7c-3p,0.0,0.0,7.76,0.0,0.0,0.0,0.0,0.0,0.28
hsa-let-7c-5p,325.09,742.59,483.54,392.25,482.83,316.09,381.37,239.86,214.35
hsa-let-7d-3p,110.0,196.81,256.76,143.71,164.16,168.47,112.98,225.38,400.48
hsa-let-7d-5p,530.46,1316.88,863.39,1276.86,1201.93,1411.72,1256.41,976.47,4951.47
hsa-let-7e-3p,4.92,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,286.38,581.54,418.82,663.65,746.7,563.7,604.41,451.91,334.74
hsa-let-7f-1-3p,0.1,7.09,6.35,1.83,10.82,7.22,5.6,0.26,3.39
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.19
hsa-let-7f-5p,5885.3,14497.18,7703.66,25253.49,25560.01,24357.73,22158.56,22214.45,29725.86
hsa-let-7g-5p,1083.55,2654.52,1646.36,3323.24,2730.07,3923.42,2641.7,2766.56,11451.92
hsa-let-7i-3p,22.02,10.88,7.76,25.61,28.07,20.85,0.67,19.48,10.16
hsa-let-7i-5p,1082.83,2176.33,1373.73,4213.42,4138.96,4147.22,3554.36,3181.05,10305.5
hsa-miR-1-3p,23.56,22.42,11.64,8.01,7.29,3.45,5.71,17.3,78.16
hsa-miR-100-5p,571.94,928.52,1061.78,818.29,1011.12,633.57,612.92,661.4,88.41
hsa-miR-101-2-5p,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
