miRNA,ERR12138325,ERR12138326,ERR12138327,ERR12138328,ERR12138329,ERR12138330,ERR12138331,ERR12138332,ERR12138333,ERR12138334,ERR12138336,ERR12138338,ERR12138339
hsa-miR-516b-5p,0.0,0.0,0.0,25.42,48.52,22.09,34.22,0.0,0.0,0.0,95.67,46.65,99.68
hsa-miR-517-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.99
hsa-miR-517a-3p,0.0,0.0,0.0,203.4,24.26,30.38,461.91,0.0,0.0,5.36,1026.32,598.18,15.95
hsa-miR-517b-3p,0.0,0.0,0.0,19.07,273.77,248.54,14.26,1.83,2.58,0.0,95.67,30.18,749.57
hsa-miR-517c-3p,0.0,0.0,0.0,6.36,20.79,2.76,25.66,0.0,0.0,0.0,23.19,13.72,55.82
hsa-miR-5189-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0
hsa-miR-518a-3p,0.0,0.0,0.0,15.89,10.4,13.81,5.7,0.0,0.0,0.0,14.5,46.65,15.95
hsa-miR-518b,0.0,0.0,0.0,31.78,34.65,24.85,17.11,0.0,0.0,0.0,86.98,46.65,99.68
hsa-miR-518c-3p,0.0,0.0,0.0,3.18,13.86,13.81,8.55,0.0,0.0,0.0,14.5,5.49,7.97
hsa-miR-518c-5p,0.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0
hsa-miR-518e-3p,0.0,0.0,0.0,0.0,3.47,0.0,2.85,0.0,0.0,0.0,8.7,2.74,0.0
hsa-miR-518e-5p,0.0,0.0,0.0,0.0,0.0,2.76,2.85,0.0,0.0,0.0,14.5,30.18,0.0
hsa-miR-518f-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,11.6,2.74,7.97
hsa-miR-518f-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,3.99
hsa-miR-5193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0
hsa-miR-5195-5p,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519a-2-5p,0.0,0.0,0.0,3.18,0.0,5.52,0.0,0.0,0.0,0.0,2.9,5.49,3.99
hsa-miR-519a-3p,0.0,0.0,0.0,0.0,3.47,0.0,2.85,0.0,0.0,0.0,0.0,2.74,3.99
hsa-miR-519a-5p,0.0,0.0,0.0,6.36,10.4,16.57,8.55,0.0,0.0,0.0,11.6,10.98,3.99
hsa-miR-519b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,7.97
hsa-miR-519b-5p,0.0,0.0,0.0,0.0,6.93,16.57,0.0,0.0,0.0,0.0,8.7,5.49,0.0
hsa-miR-519c-3p,0.0,0.0,0.0,3.18,3.47,0.0,2.85,0.0,0.0,0.0,2.9,2.74,0.0
hsa-miR-519c-5p,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,2.9,5.49,11.96
hsa-miR-519d-3p,0.0,0.0,0.0,9.53,10.4,8.28,17.11,0.0,0.0,0.0,31.89,46.65,31.9
hsa-miR-519d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99
hsa-miR-520a-3p,0.0,0.0,0.0,12.71,0.0,8.28,2.85,0.0,0.0,0.0,26.09,2.74,3.99
hsa-miR-520a-5p,0.0,0.0,0.0,15.89,10.4,11.05,11.41,0.0,0.0,0.0,17.4,0.0,15.95
hsa-miR-520b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23,0.0
