miRNA,SRR18672397,SRR18672408,SRR18672419,SRR18672431,SRR18672432,SRR18672433,SRR18672434,SRR18672435,SRR18672436,SRR18672437,SRR18672438,SRR18672439,SRR18672440,SRR18672441,SRR18672442,SRR18672443,SRR18672444,SRR18672445,SRR18672446,SRR18672447,SRR18672448,SRR18672449,SRR18672450,SRR18672451,SRR18672452,SRR18672453,SRR18672454,SRR18672455,SRR18672456,SRR18672457,SRR18672458,SRR18672459,SRR18672460,SRR18672461,SRR18672462,SRR18672463,SRR18672464,SRR18672465,SRR18672466,SRR18672467,SRR18672468,SRR18672478,SRR18672489,SRR18672499,SRR18672500
hsa-miR-17-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-17-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,0.0
hsa-miR-181a-2-3p,1.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,3.0,12.0,2.0,17.0,6.0,44.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,32.0,0.0
hsa-miR-181a-3p,0.0,1.0,17.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,0.0,24.0,14.0,38.0,10.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
hsa-miR-181a-5p,1589.0,952.0,2702.0,141.0,33.0,268.0,342.0,449.0,336.0,184.0,234.0,249.0,80.0,97.0,75.0,2.0,55.0,1084.0,838.0,2834.0,199.0,3038.0,2990.0,16269.0,2596.0,796.0,72.0,263.0,264.0,16.0,135.0,20.0,750.0,1700.0,1824.0,376.0,2146.0,46.0,68.0,372.0,152.0,116.0,884.0,7289.0,13.0
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hsa-miR-181b-5p,389.0,171.0,598.0,58.0,11.0,111.0,73.0,136.0,88.0,36.0,65.0,62.0,9.0,23.0,19.0,0.0,9.0,402.0,191.0,484.0,35.0,551.0,560.0,5094.0,562.0,84.0,12.0,23.0,68.0,3.0,21.0,2.0,255.0,297.0,614.0,76.0,857.0,6.0,13.0,85.0,15.0,24.0,177.0,1637.0,1.0
hsa-miR-181c-3p,0.0,2.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,6.0,5.0,8.0,13.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0
hsa-miR-181c-5p,14.0,11.0,52.0,0.0,1.0,1.0,4.0,2.0,1.0,6.0,3.0,10.0,3.0,2.0,3.0,0.0,3.0,19.0,18.0,95.0,9.0,76.0,94.0,167.0,89.0,34.0,0.0,5.0,19.0,0.0,3.0,2.0,7.0,47.0,30.0,13.0,26.0,1.0,3.0,30.0,5.0,9.0,37.0,265.0,0.0
