miRNA,ERR1736309,ERR1736310,ERR1736311,ERR1736312,ERR1736313,ERR1736314,ERR1736315,ERR1736316,ERR1736317,ERR1736318,ERR1736319,ERR1736320,ERR1736321,ERR1736322,ERR1736323,ERR1736324,ERR1736325,ERR1736326,ERR1736327,ERR1736328,ERR1736329,ERR1736330,ERR1736331,ERR1736332,ERR1736333,ERR1736334,ERR1736335,ERR1736336,ERR1736337,ERR1736338,ERR1736339
hsa-miR-330-3p,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-330-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-331-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-331-5p,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
hsa-miR-335-3p,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0
hsa-miR-335-5p,14.0,9.0,12.0,3.0,0.0,1.0,2.0,2.0,8.0,1.0,30.0,43.0,40.0,2.0,5.0,9.0,2.0,9.0,0.0,6.0,16.0,30.0,15.0,22.0,5.0,4.0,2.0,2.0,6.0,8.0,210.0
hsa-miR-337-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
hsa-miR-337-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-338-3p,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,54.0
hsa-miR-338-5p,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
hsa-miR-339-3p,14.0,21.0,22.0,9.0,1.0,0.0,4.0,4.0,16.0,4.0,20.0,42.0,21.0,3.0,1.0,5.0,2.0,10.0,5.0,5.0,21.0,9.0,29.0,20.0,12.0,1.0,5.0,8.0,6.0,6.0,24.0
hsa-miR-339-5p,3.0,6.0,4.0,4.0,0.0,1.0,2.0,0.0,7.0,1.0,7.0,6.0,4.0,2.0,1.0,5.0,2.0,4.0,0.0,5.0,7.0,3.0,5.0,12.0,0.0,1.0,4.0,2.0,2.0,4.0,75.0
hsa-miR-33a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-33a-5p,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
hsa-miR-33b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-33b-5p,8.0,15.0,9.0,2.0,0.0,1.0,1.0,0.0,8.0,0.0,9.0,7.0,15.0,0.0,0.0,4.0,1.0,2.0,2.0,9.0,3.0,5.0,14.0,21.0,2.0,2.0,1.0,3.0,1.0,1.0,43.0
hsa-miR-340-3p,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
