miRNA,SRR5760160,SRR5760161,SRR5760162,SRR5760163,SRR5760164,SRR5760165,SRR5760166,SRR5760167,SRR5760168,SRR5760169,SRR5760170,SRR5760171,SRR5760172,SRR5760173,SRR5760174,SRR5760175,SRR5760176,SRR5760177
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,3.88,0.78,11.24,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,14020.49,22237.83,7714.06,12183.45,14657.47,42191.42,12849.57,7858.64,14590.14,32407.28,17366.21,22831.39,21145.63,10360.41,45638.25,17624.17,41749.21,20926.04
hsa-let-7b-3p,0.92,0.14,0.15,0.0,0.0,0.0,0.0,2.18,2.51,4.15,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,275.27,458.37,556.59,719.49,477.51,962.32,730.51,397.6,645.85,653.56,1125.35,1556.08,1065.85,1715.23,1478.32,980.02,2408.25,1239.62
hsa-let-7c-5p,19.27,127.62,14.05,84.28,68.48,152.03,64.34,47.16,40.28,190.57,77.46,179.89,56.7,64.24,136.06,105.94,72.94,124.77
hsa-let-7d-3p,61.8,77.97,80.89,79.89,66.02,557.37,130.53,74.02,294.75,145.14,60.2,105.14,53.6,91.54,74.05,28.12,9.2,60.66
hsa-let-7d-5p,143.03,171.94,151.87,94.15,81.37,468.28,168.93,262.89,513.97,208.3,253.15,304.47,289.86,147.75,243.56,175.47,123.53,171.99
hsa-let-7e-5p,49.63,92.74,149.5,36.19,27.36,217.29,56.53,146.73,358.75,164.12,255.7,298.39,279.89,53.4,359.99,191.38,101.19,20.73
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,41847.4,55385.15,30467.2,29473.37,37685.77,98430.18,36396.23,34835.69,61351.77,73243.13,43774.87,45750.9,45428.75,20642.54,89003.71,38013.13,67492.9,38786.63
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,3811.33,7170.18,1297.43,11190.29,11005.66,29593.08,22478.44,3653.99,3723.39,15362.07,4589.65,5587.74,4773.61,3006.46,19392.99,3874.51,21322.75,10052.05
hsa-let-7i-3p,4.78,1.5,4.14,11.91,0.0,0.0,11.65,13.1,6.52,1.38,14.12,13.07,8.41,0.0,16.51,15.69,0.0,8.83
hsa-let-7i-5p,6399.99,7125.18,4038.1,13303.5,9791.48,22214.81,17171.46,6170.4,10203.34,7973.89,10477.61,15971.06,8347.51,10512.18,8135.21,8290.03,10320.34,10547.67
hsa-miR-1-3p,0.15,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,21.75,0.0,0.0,0.0,0.0,0.38
hsa-miR-100-3p,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,1.7,4.92,5.32,86.16,120.46,70.88,2.25,4.59,2.13,13.99,6.86,12.76,22.4,42.56,0.89,19.62,0.0,26.11
hsa-miR-101-2-5p,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1702.45,1130.4,296.04,1344.53,1036.67,2775.42,3674.26,1699.37,3334.77,1444.92,1160.65,1011.87,713.33,421.58,1122.79,492.62,473.77,310.58
hsa-miR-101-5p,1.08,0.0,2.07,0.0,0.0,0.0,6.09,0.0,4.89,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10226,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,7.05,0.0,0.0,1.19,0.0,4.39,2.22,4.51,0.0,0.0,20.08,0.0,7.85,0.0,0.0
hsa-miR-10394-3p,1.23,0.0,3.25,0.0,0.0,0.0,0.0,5.9,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,2.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,1.57,7.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,9.4,4.1,0.0,7.36,8.25,0.0,10.99,1.75,8.91,4.71,12.75,7.9,3.37,13.25,0.0,0.0,0.0,13.05
hsa-miR-10399-5p,0.0,0.0,0.0,3.92,0.0,6.78,2.12,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,382.69,1042.31,231.12,1573.24,40.25,3128.67,291.12,652.19,4357.57,833.88,959.66,671.54,879.95,399.9,0.0,609.24,69.65,9.21
hsa-miR-10401-3p,0.0,0.41,0.0,1.72,0.0,0.0,1.32,8.52,1.76,2.63,5.88,0.0,2.2,0.0,0.0,1.31,0.0,0.0
hsa-miR-10527-5p,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,2.87,0.0,2.04,4.2,0.0,7.28,0.87,4.02,1.11,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,274.8,214.75,137.23,374.39,221.96,293.4,354.4,309.83,293.5,170.21,487.67,471.9,198.98,413.55,133.82,310.83,128.13,105.57
hsa-miR-106b-5p,23.89,30.78,22.62,53.73,29.25,42.03,71.62,51.75,80.06,56.92,31.77,26.13,40.0,28.11,0.0,14.39,27.6,24.57
hsa-miR-107,19.73,25.99,257.3,221.5,0.14,44.16,22.64,135.81,46.3,98.89,17.06,385.91,212.32,16.06,0.45,0.0,0.66,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,5.16,0.0,2.51,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,1291.87,952.44,351.2,3519.45,3601.71,13411.15,11366.18,6236.78,5355.14,9953.13,1420.47,1836.25,3893.8,1365.92,1595.19,549.52,2574.5,800.82
hsa-miR-10b-5p,75.21,229.66,375.3,1760.43,3152.15,6813.93,1158.91,164.19,447.34,625.86,670.82,734.44,951.93,2121.95,1652.74,1141.54,514.51,1982.46
hsa-miR-11400,9.25,3.42,0.0,0.0,0.0,0.19,0.26,0.0,0.25,2.91,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.92,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,1.23,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.42,0.0,0.0,0.0,13.65,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.54,1.66,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,2.51,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0
hsa-miR-12132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,3.49,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,0.0,1.37,0.0,0.0,0.0,22.85,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,19.11,34.61,29.28,37.75,83.54,944.7,467.46,11.14,19.95,123.12,84.71,158.62,76.25,144.14,630.76,251.76,471.79,448.78
hsa-miR-1248,1.54,0.0,4.44,0.0,0.0,0.0,0.0,3.06,0.0,0.0,4.51,0.3,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,7.15,5.54,1.76,0.0,2.85,12.85,0.0,0.0,0.0,0.0
hsa-miR-1255a,6.16,0.0,0.0,0.0,0.0,9.1,0.0,1.53,8.66,0.0,3.33,0.0,3.37,0.0,19.18,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1256,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,0.0,0.0,0.0,2.04,0.0,0.0,2.52,3.28,6.27,3.19,3.14,0.0,0.0,0.0,0.45,8.5,0.0,0.0
hsa-miR-125a-5p,99.41,157.17,174.49,455.54,514.72,945.48,1468.3,464.2,726.03,848.84,1007.5,1550.92,1159.84,419.57,634.78,313.45,659.07,123.62
hsa-miR-125b-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19,0.0,0.0
hsa-miR-125b-5p,2.93,1.37,10.35,45.9,22.01,25.37,59.84,28.17,9.66,9.69,20.0,23.09,4.79,43.76,0.0,21.58,0.0,6.14
