miRNA,DRR213885,DRR213886
hsa-miR-222-5p,0.41,0.49
hsa-miR-223-5p,0.0,0.12
hsa-miR-224-5p,12.51,8.99
hsa-miR-23a-3p,13.47,11.18
hsa-miR-23b-3p,0.27,1.21
hsa-miR-23b-5p,0.27,0.0
hsa-miR-24-2-5p,1.22,1.21
hsa-miR-24-3p,0.41,27.09
hsa-miR-25-3p,43.8,43.74
hsa-miR-25-5p,0.14,0.12
hsa-miR-2682-5p,2.18,2.67
hsa-miR-26a-5p,209.22,180.67
hsa-miR-26b-3p,0.0,0.12
hsa-miR-26b-5p,2.99,2.67
hsa-miR-27a-3p,86.65,98.53
hsa-miR-27a-5p,1.9,0.73
hsa-miR-27b-3p,79.99,35.96
hsa-miR-28-3p,12.38,11.42
hsa-miR-28-5p,1.09,0.97
hsa-miR-296-3p,0.68,0.12
hsa-miR-299-3p,0.82,0.36
hsa-miR-299-5p,0.41,0.24
hsa-miR-29a-3p,58.09,49.94
hsa-miR-29b-1-5p,0.14,0.0
hsa-miR-29b-3p,1.36,0.73
hsa-miR-29c-3p,0.82,0.12
hsa-miR-29c-5p,0.14,0.12
hsa-miR-301b-3p,0.14,0.0
hsa-miR-30a-3p,4.49,4.01
hsa-miR-30a-5p,16.6,17.25
hsa-miR-30b-5p,0.14,0.36
hsa-miR-30c-2-3p,0.14,0.12
hsa-miR-30c-5p,5.03,6.07
hsa-miR-30d-5p,36.86,44.59
hsa-miR-30e-3p,1.77,0.97
hsa-miR-30e-5p,6.39,7.53
hsa-miR-31-3p,0.14,0.24
hsa-miR-31-5p,1.5,2.43
hsa-miR-3150a-5p,0.0,0.24
hsa-miR-3152-5p,0.14,0.24
hsa-miR-3158-3p,0.54,0.0
hsa-miR-3170,0.14,0.0
hsa-miR-3173-3p,0.0,0.12
hsa-miR-3177-3p,0.14,0.0
hsa-miR-3178,0.41,0.24
hsa-miR-3180-3p,0.27,0.0
hsa-miR-3182,0.82,0.49
hsa-miR-3187-3p,0.14,0.0
hsa-miR-3195,11.56,1.34
hsa-miR-32-3p,0.0,0.12
hsa-miR-32-5p,0.14,0.85
hsa-miR-3200-3p,0.0,0.12
hsa-miR-320a-3p,56.05,55.16
hsa-miR-320b,12.51,5.47
hsa-miR-320c,2.72,2.07
hsa-miR-320d,1.9,2.55
hsa-miR-320e,0.14,0.36
hsa-miR-323a-3p,3.4,3.04
hsa-miR-323b-3p,1.36,0.24
hsa-miR-328-3p,1.63,0.97
hsa-miR-329-3p,1.9,2.43
hsa-miR-330-3p,0.14,0.36
hsa-miR-330-5p,0.54,0.24
hsa-miR-331-3p,0.14,0.0
hsa-miR-331-5p,0.0,0.24
hsa-miR-335-3p,0.0,0.24
hsa-miR-337-3p,1.09,1.09
hsa-miR-337-5p,0.14,0.12
hsa-miR-339-3p,0.68,0.73
hsa-miR-339-5p,0.82,0.49
hsa-miR-33b-3p,0.14,0.0
hsa-miR-340-3p,0.27,0.24
hsa-miR-340-5p,1.09,0.97
hsa-miR-342-3p,0.82,1.34
hsa-miR-342-5p,0.27,0.0
hsa-miR-345-5p,0.68,0.73
hsa-miR-34a-5p,1.22,1.21
hsa-miR-34b-3p,0.14,0.24
hsa-miR-34c-5p,0.68,0.49
hsa-miR-3605-3p,0.14,0.0
hsa-miR-3605-5p,0.0,0.24
hsa-miR-3609,0.0,0.12
hsa-miR-361-3p,2.45,3.89
hsa-miR-361-5p,0.14,0.24
hsa-miR-3613-5p,0.27,0.24
hsa-miR-3615,3.81,3.52
hsa-miR-362-5p,0.27,0.0
hsa-miR-363-3p,0.27,0.12
hsa-miR-3648,0.14,0.0
hsa-miR-3655,0.27,0.0
hsa-miR-365a-3p,0.41,1.58
hsa-miR-365a-5p,0.27,0.24
hsa-miR-365b-3p,0.14,0.0
hsa-miR-365b-5p,0.68,0.24
hsa-miR-3664-3p,0.0,0.12
hsa-miR-3665,0.14,0.12
hsa-miR-3679-5p,0.14,0.0
hsa-miR-3684,0.14,0.0
hsa-miR-369-3p,0.41,0.36
hsa-miR-369-5p,0.68,1.09
hsa-miR-3691-3p,0.0,0.12
hsa-miR-3691-5p,0.14,0.0
hsa-miR-370-3p,30.06,22.36
hsa-miR-370-5p,0.14,0.0
hsa-miR-372-3p,0.41,0.61
hsa-miR-374a-3p,0.41,0.36
hsa-miR-374a-5p,0.14,0.49
hsa-miR-374b-5p,0.95,0.61
hsa-miR-375-3p,0.14,0.12
hsa-miR-376a-3p,0.54,0.24
hsa-miR-376a-5p,0.0,0.12
hsa-miR-376c-3p,0.14,0.24
hsa-miR-377-3p,0.14,0.12
hsa-miR-377-5p,0.14,0.0
hsa-miR-378a-3p,22.04,23.69
hsa-miR-378c,1.63,0.24
hsa-miR-378d,0.14,0.24
hsa-miR-378e,0.14,0.0
hsa-miR-379-3p,0.27,0.24
hsa-miR-379-5p,30.06,21.38
hsa-miR-380-5p,0.14,0.0
hsa-miR-381-3p,137.53,114.94
hsa-miR-382-3p,1.36,0.85
hsa-miR-382-5p,6.26,7.17
hsa-miR-3909,0.14,0.0
hsa-miR-3929,0.14,0.0
hsa-miR-3934-5p,0.14,0.36
hsa-miR-3939,0.0,0.12
hsa-miR-3960,0.27,0.24
hsa-miR-409-3p,89.65,61.6
hsa-miR-409-5p,0.27,0.61
hsa-miR-410-3p,0.27,0.36
hsa-miR-411-3p,0.95,1.46
hsa-miR-411-5p,4.76,4.86
hsa-miR-412-5p,1.22,0.85
hsa-miR-421,0.41,0.61
hsa-miR-423-3p,42.99,9.72
hsa-miR-423-5p,26.8,0.12
hsa-miR-424-3p,10.75,8.02
hsa-miR-424-5p,0.41,0.24
hsa-miR-425-3p,0.0,0.12
hsa-miR-425-5p,2.04,2.55
hsa-miR-429,0.0,0.12
hsa-miR-431-3p,0.54,0.73
hsa-miR-431-5p,0.82,0.61
hsa-miR-432-5p,3.54,2.79
hsa-miR-4326,0.41,0.36
hsa-miR-433-3p,1.63,1.09
hsa-miR-4443,0.27,0.0
hsa-miR-4449,0.14,0.0
hsa-miR-4466,0.14,0.0
hsa-miR-4473,0.0,0.24
hsa-miR-4474-3p,0.0,0.12
hsa-miR-4485-3p,0.14,0.24
hsa-miR-4485-5p,0.0,0.12
hsa-miR-4488,3.67,1.46
hsa-miR-4492,0.27,0.49
hsa-miR-4497,1.22,0.73
hsa-miR-4508,2.99,1.58
hsa-miR-450a-2-3p,0.0,0.12
hsa-miR-450a-5p,1.9,1.58
hsa-miR-450b-5p,1.09,1.21
hsa-miR-451a,0.0,4.5
hsa-miR-452-3p,0.0,0.12
hsa-miR-452-5p,0.54,0.0
hsa-miR-455-3p,0.54,0.73
hsa-miR-455-5p,9.25,8.14
hsa-miR-4659a-3p,0.0,0.12
hsa-miR-4676-3p,0.0,0.12
hsa-miR-4677-3p,0.54,0.12
hsa-miR-4677-5p,0.0,0.12
hsa-miR-4746-5p,0.0,0.12
hsa-miR-4758-5p,0.14,0.0
hsa-miR-4775,0.0,0.36
hsa-miR-4791,0.14,0.24
hsa-miR-4797-5p,0.0,0.12
hsa-miR-484,2.18,2.07
hsa-miR-485-3p,0.82,0.24
hsa-miR-485-5p,2.45,3.89
hsa-miR-486-5p,0.0,2.31
hsa-miR-487a-5p,0.14,0.12
hsa-miR-487b-3p,0.95,1.09
hsa-miR-493-3p,22.72,21.75
hsa-miR-493-5p,31.29,26.36
hsa-miR-494-3p,4.76,7.17
hsa-miR-494-5p,0.27,0.0
hsa-miR-495-3p,11.7,8.02
hsa-miR-5000-3p,0.0,0.12
hsa-miR-5009-5p,0.14,0.0
hsa-miR-500a-3p,0.41,0.61
hsa-miR-501-3p,0.95,0.49
hsa-miR-501-5p,0.0,0.12
hsa-miR-5010-5p,0.14,0.0
hsa-miR-502-3p,0.27,0.24
hsa-miR-503-3p,0.0,0.12
hsa-miR-503-5p,13.88,9.84
hsa-miR-505-3p,0.68,0.73
hsa-miR-505-5p,0.14,0.12
hsa-miR-509-3-5p,0.27,0.12
hsa-miR-509-5p,0.0,0.24
hsa-miR-511-5p,0.14,0.12
hsa-miR-514a-5p,0.0,0.12
hsa-miR-516a-5p,0.0,0.12
hsa-miR-516b-5p,0.54,0.49
hsa-miR-518a-3p,0.0,0.12
hsa-miR-519d-3p,0.0,0.12
hsa-miR-520a-3p,0.14,0.0
hsa-miR-523-3p,0.14,0.0
hsa-miR-532-3p,0.0,0.12
hsa-miR-532-5p,15.92,15.67
hsa-miR-539-3p,0.68,0.0
hsa-miR-539-5p,0.0,0.24
hsa-miR-542-3p,0.27,0.36
hsa-miR-543,34.69,29.04
hsa-miR-548ab,0.0,0.12
hsa-miR-548ar-3p,0.0,0.12
hsa-miR-548bc,0.27,0.0
hsa-miR-548l,0.14,0.0
hsa-miR-548o-3p,0.54,0.61
hsa-miR-548u,0.14,0.0
hsa-miR-552-3p,0.14,0.0
hsa-miR-5699-3p,0.14,0.0
hsa-miR-574-3p,2.86,2.55
hsa-miR-574-5p,1.09,1.46
hsa-miR-576-3p,0.82,0.49
hsa-miR-576-5p,0.54,0.61
hsa-miR-579-5p,0.14,0.0
hsa-miR-581,0.0,0.24
hsa-miR-582-3p,0.27,0.36
hsa-miR-584-5p,0.14,0.12
hsa-miR-589-5p,0.95,0.97
hsa-miR-598-3p,0.0,0.12
hsa-miR-612,0.0,0.12
hsa-miR-6132,0.14,0.0
hsa-miR-615-3p,17.82,10.93
hsa-miR-618,0.14,0.12
hsa-miR-619-5p,0.0,0.24
hsa-miR-625-3p,0.27,0.12
hsa-miR-625-5p,0.14,0.0
hsa-miR-629-5p,3.94,2.79
hsa-miR-632,0.0,0.12
hsa-miR-641,1.09,0.61
hsa-miR-6501-5p,0.14,0.0
hsa-miR-6505-3p,0.0,0.12
hsa-miR-654-3p,16.73,13.12
hsa-miR-654-5p,2.58,2.55
hsa-miR-655-3p,0.14,0.0
hsa-miR-656-3p,1.22,0.61
hsa-miR-658,0.27,0.12
hsa-miR-659-5p,0.14,0.12
hsa-miR-660-5p,0.27,0.36
hsa-miR-663a,0.27,0.0
hsa-miR-664a-3p,0.14,0.0
hsa-miR-664a-5p,0.14,0.24
hsa-miR-665,1.63,2.55
hsa-miR-668-3p,0.27,0.12
hsa-miR-671-3p,0.95,0.49
hsa-miR-671-5p,0.27,0.49
hsa-miR-6757-5p,0.0,0.12
hsa-miR-6818-3p,0.14,0.0
hsa-miR-6852-5p,0.0,0.12
hsa-miR-6873-3p,0.14,0.0
hsa-miR-6883-3p,0.14,0.0
hsa-miR-6886-3p,0.14,0.0
hsa-miR-7-5p,15.1,47.87
hsa-miR-708-3p,12.92,8.38
hsa-miR-708-5p,0.82,0.61
hsa-miR-7110-3p,0.14,0.0
hsa-miR-7111-3p,0.0,0.12
hsa-miR-744-5p,2.58,2.79
hsa-miR-758-3p,0.14,0.24
hsa-miR-760,0.0,0.24
hsa-miR-769-3p,0.14,0.0
hsa-miR-769-5p,0.54,0.73
hsa-miR-7704,10.2,4.13
hsa-miR-7706,0.54,1.46
hsa-miR-874-3p,0.14,0.24
hsa-miR-877-5p,0.14,0.0
hsa-miR-887-5p,0.0,0.12
hsa-miR-889-3p,2.86,1.46
hsa-miR-9-5p,0.14,0.24
hsa-miR-92a-3p,60.26,44.1
hsa-miR-92b-3p,3.4,3.52
hsa-miR-92b-5p,0.54,0.24
hsa-miR-93-5p,1.77,2.31
hsa-miR-935,0.0,0.12
hsa-miR-941,4.08,3.16
hsa-miR-942-5p,0.14,0.0
hsa-miR-95-3p,1.22,1.09
hsa-miR-98-5p,6.67,6.44
hsa-miR-9901,2.31,0.97
hsa-miR-9985,0.14,0.24
hsa-miR-99a-5p,236.02,179.45
hsa-miR-99b-3p,1.9,2.43
hsa-miR-99b-5p,18.36,18.35
hsa-mir-12136-5p,0.41,0.0
hsa-mir-1245a-3p,0.14,0.24
hsa-mir-1255a-5p,0.14,0.24
hsa-mir-1273c-5p,0.14,0.12
hsa-mir-3159-5p,0.14,0.61
hsa-mir-3648-1-5p,0.0,0.49
hsa-mir-3648-2-5p,0.41,0.0
hsa-mir-3657-3p,0.0,0.12
hsa-mir-3941-3p,0.0,0.12
hsa-mir-3960-3p,0.0,0.12
hsa-mir-4430-5p,0.0,0.12
hsa-mir-591-5p,0.14,0.0
hsa-mir-621-3p,0.14,0.0
hsa-mir-663a-5p,0.14,0.24
hsa-mir-8086-5p,0.27,0.24
