miRNA,SRR6502956,SRR6502957,SRR6502958,SRR6502959,SRR6502960,SRR6502961,SRR6502962,SRR6502963,SRR6502964,SRR6502965,SRR6502966,SRR6502967
hsa-miR-10a-5p,9084.54,8177.65,15843.42,7799.48,8864.19,12782.22,1932.02,12095.71,14543.11,3187.76,5067.21,8813.14
hsa-miR-10b-3p,0.0,9.18,5.56,0.0,1.04,4.52,0.0,4.8,8.73,0.0,2.32,0.0
hsa-miR-10b-5p,1699.3,3418.36,4115.67,1783.16,528.34,2551.67,823.68,3555.87,4705.51,599.68,1182.01,2166.96
hsa-miR-1180-3p,43.73,52.25,66.7,16.05,79.04,138.03,4.85,82.54,173.47,52.6,90.39,146.24
hsa-miR-1185-1-3p,0.0,0.0,0.0,1.46,1.04,0.0,0.0,0.96,0.0,0.0,0.77,0.0
hsa-miR-12121,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,2.82,1.11,0.0,0.0,1.29,0.0,0.96,0.0,0.0,3.86,2.85
hsa-miR-122-5p,0.0,2.12,1.11,0.0,5.2,2.58,2.42,62.38,934.99,7.89,0.77,14.24
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,1.04,0.65,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0
hsa-miR-1226-3p,3.02,4.94,3.34,0.0,9.36,5.81,0.0,1.92,2.18,2.63,0.77,0.95
hsa-miR-1226-5p,0.0,0.71,1.11,0.0,2.08,0.0,1.21,0.96,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.71,1.11,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0
hsa-miR-1233-3p,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,1.51,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,2.63,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-124-5p,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-1246,0.0,28.25,12.23,0.0,67.6,25.16,56.93,523.06,1441.22,163.07,1722.03,831.84
hsa-miR-1247-3p,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0
hsa-miR-1247-5p,0.0,6.36,11.12,0.0,0.0,5.16,1.21,7.68,5.46,2.63,2.32,5.7
hsa-miR-1248,12.06,14.12,7.78,5.84,7.28,10.97,0.0,1.92,0.0,0.0,0.77,0.95
hsa-miR-1249-3p,0.0,0.0,0.0,1.46,1.04,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,6.03,1.41,2.22,0.0,4.16,5.16,0.0,1.92,7.64,0.0,1.55,0.95
hsa-miR-1252-5p,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,3.02,0.0,0.0,0.0,1.04,1.29,0.0,0.96,1.09,0.0,0.77,3.8
hsa-miR-1255b-5p,0.0,0.71,0.0,0.0,0.0,0.65,0.0,1.92,1.09,0.0,0.77,0.0
hsa-miR-1257,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,10.55,18.36,4.45,5.84,9.36,16.77,2.42,26.87,51.28,55.23,24.72,23.74
hsa-miR-125a-5p,220.14,4350.44,1089.51,121.11,2381.67,2237.55,13.32,1187.21,480.04,220.93,405.59,393.13
hsa-miR-125b-1-3p,191.49,61.43,83.38,78.8,238.17,238.65,32.71,311.92,485.5,120.99,218.63,399.78
hsa-miR-125b-2-3p,1.51,4.94,4.45,0.0,0.0,2.58,2.42,6.72,9.82,0.0,1.55,1.9
hsa-miR-125b-5p,686.05,6963.82,1852.16,363.34,4998.39,4469.94,26.65,1738.1,1003.73,483.95,1239.96,1319.93
hsa-miR-126-3p,328.7,504.88,81.16,118.2,149.76,162.54,27.86,155.48,64.37,107.84,54.08,45.58
hsa-miR-126-5p,16.59,25.42,35.58,7.3,24.96,26.45,0.0,27.83,36.0,10.52,14.68,29.44
hsa-miR-1260a,0.0,1.41,1.11,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,52.77,5.65,10.01,18.97,3.12,5.16,1.21,1.92,0.0,7.89,3.86,2.85
hsa-miR-1261,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,1.41,0.0,1.46,0.0,0.0,0.0,0.0,1.09,2.63,0.0,0.95
hsa-miR-1266-5p,4.52,1.41,0.0,2.92,3.12,2.58,2.42,1.92,1.09,2.63,0.77,0.95
hsa-miR-1268a,25.63,0.0,3.34,14.59,0.0,0.65,9.69,0.96,1.09,31.56,0.0,0.0
hsa-miR-1268b,7.54,4.94,6.67,0.0,2.08,0.0,1.21,1.92,1.09,15.78,0.0,0.0
hsa-miR-1269a,25.63,51.55,22.23,67.12,47.84,51.6,37.55,26.87,32.73,34.19,17.77,29.44
hsa-miR-127-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,5.26,0.0,0.95
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,1.09,2.63,1.55,3.8
hsa-miR-1271-5p,0.0,0.71,0.0,0.0,1.04,1.29,0.0,0.0,0.0,0.0,0.77,0.0
hsa-miR-1272,1.51,3.53,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273c,1.51,0.71,0.0,0.0,1.04,0.65,0.0,0.96,1.09,0.0,1.55,0.0
hsa-miR-1273h-5p,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1275,19.6,104.51,11.12,14.59,12.48,39.35,0.0,3.84,0.0,0.0,2.32,0.95
hsa-miR-1276,0.0,0.0,1.11,0.0,0.0,0.65,1.21,0.0,2.18,0.0,1.55,0.0
hsa-miR-1277-3p,3.02,1.41,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,2.85
hsa-miR-1278,0.0,4.24,6.67,0.0,10.4,13.55,1.21,5.76,8.73,0.0,3.86,4.75
hsa-miR-128-1-5p,4.52,2.12,0.0,2.92,0.0,2.58,1.21,0.0,0.0,2.63,0.77,1.9
hsa-miR-128-3p,91.98,858.65,1165.1,53.99,1639.09,3050.91,0.0,1002.94,2514.77,123.62,1555.93,1744.4
hsa-miR-1283,1.51,2.12,7.78,0.0,0.0,4.52,0.0,2.88,1.09,2.63,0.0,0.95
