miRNA,SRR12933396,SRR12933397
hsa-let-7a-3p,28.03,25.31
hsa-let-7a-5p,13559.55,10209.59
hsa-let-7b-3p,39.66,42.93
hsa-let-7b-5p,17979.64,14951.17
hsa-let-7c-3p,0.0,1.65
hsa-let-7c-5p,876.19,605.91
hsa-let-7d-3p,237.95,211.32
hsa-let-7d-5p,1336.23,1091.84
hsa-let-7e-3p,24.32,30.27
hsa-let-7e-5p,3646.48,2285.49
hsa-let-7f-1-3p,6.87,7.7
hsa-let-7f-2-3p,5.29,2.2
hsa-let-7f-5p,8867.14,6073.91
hsa-let-7g-3p,7.93,4.4
hsa-let-7g-5p,8193.47,6269.28
hsa-let-7i-3p,7.4,8.81
hsa-let-7i-5p,1964.42,1492.48
hsa-miR-1-3p,74.56,47.33
hsa-miR-100-5p,40.72,37.42
hsa-miR-101-3p,4757.98,4284.81
hsa-miR-101-5p,42.3,35.77
hsa-miR-10395-3p,2.64,0.55
hsa-miR-10399-3p,0.53,0.0
hsa-miR-103a-1-5p,1.59,1.1
hsa-miR-103a-2-5p,0.53,1.65
hsa-miR-103a-3p,1309.26,1547.51
hsa-miR-10401-3p,0.53,0.0
hsa-miR-106a-5p,11.1,9.91
hsa-miR-106b-3p,67.16,33.02
hsa-miR-106b-5p,581.13,612.51
hsa-miR-107,124.26,47.33
hsa-miR-10a-3p,4.76,1.65
hsa-miR-10a-5p,416.68,500.79
hsa-miR-10b-3p,1.59,2.2
hsa-miR-10b-5p,301.41,357.16
hsa-miR-11400,0.0,1.1
hsa-miR-1179,437.83,262.5
hsa-miR-1180-3p,547.29,308.18
hsa-miR-1180-5p,0.0,0.55
hsa-miR-1185-1-3p,20.09,15.41
hsa-miR-1185-2-3p,12.69,8.81
hsa-miR-1185-5p,29.61,43.48
hsa-miR-1197,13.22,19.81
hsa-miR-12136,13.75,7.7
hsa-miR-122-5p,1.06,0.0
hsa-miR-1224-3p,19.04,12.11
hsa-miR-1224-5p,6.87,0.0
hsa-miR-1226-3p,3.17,1.1
hsa-miR-1229-3p,3.7,1.1
hsa-miR-122b-3p,13.75,9.91
hsa-miR-124-3p,3.17,1.1
hsa-miR-1246,7.93,8.25
hsa-miR-1247-5p,0.53,3.85
hsa-miR-1248,1.06,2.2
hsa-miR-1250-3p,1.06,0.55
hsa-miR-1250-5p,4.76,4.4
hsa-miR-1251-5p,2.12,0.55
hsa-miR-125a-3p,45.48,30.82
hsa-miR-125a-5p,16717.97,8707.21
hsa-miR-125b-1-3p,8.46,6.05
hsa-miR-125b-2-3p,2.12,5.5
hsa-miR-125b-5p,14707.54,9676.33
hsa-miR-126-3p,3004.54,3490.7
hsa-miR-126-5p,2927.34,2509.47
hsa-miR-1260b,2.12,0.0
hsa-miR-1262,1.06,0.55
hsa-miR-1268a,0.53,0.55
hsa-miR-1268b,0.0,0.55
hsa-miR-127-3p,810.62,629.57
hsa-miR-127-5p,19.04,26.97
hsa-miR-1270,3.7,2.75
hsa-miR-1271-3p,0.0,2.2
hsa-miR-1271-5p,0.53,0.0
hsa-miR-1273c,1.06,0.55
hsa-miR-1273h-3p,0.53,0.0
hsa-miR-1275,7.4,6.6
hsa-miR-1277-3p,3.7,0.55
hsa-miR-128-1-5p,1.06,1.65
hsa-miR-128-3p,611.8,556.93
hsa-miR-1285-3p,12.69,6.05
hsa-miR-1285-5p,2.12,1.1
hsa-miR-1287-3p,1.06,1.1
hsa-miR-1287-5p,14.81,13.76
hsa-miR-129-1-3p,216.8,141.98
hsa-miR-129-2-3p,530.9,347.8
hsa-miR-129-5p,529.84,250.95
hsa-miR-1291,1.06,1.1
hsa-miR-1292-5p,5.82,4.95
hsa-miR-1295a,0.0,1.1
hsa-miR-1296-3p,1.59,0.55
hsa-miR-1296-5p,6.87,2.75
hsa-miR-1297,0.53,0.0
hsa-miR-1299,23.27,11.56
hsa-miR-1301-3p,232.14,171.15
hsa-miR-1301-5p,0.53,1.1
hsa-miR-1303,5.82,8.81
hsa-miR-1304-5p,1.06,0.0
hsa-miR-1306-3p,0.0,1.1
hsa-miR-1306-5p,19.04,9.91
hsa-miR-1307-3p,109.46,91.35
hsa-miR-1307-5p,70.86,83.65
hsa-miR-130a-3p,405.58,288.37
hsa-miR-130a-5p,0.53,1.1
hsa-miR-130b-3p,101.0,79.8
hsa-miR-130b-5p,32.78,30.27
hsa-miR-132-3p,1239.46,854.65
hsa-miR-132-5p,190.89,201.42
hsa-miR-1323,1.59,0.0
hsa-miR-133a-3p,20.09,13.21
hsa-miR-133a-5p,0.53,0.0
hsa-miR-134-3p,2.12,0.55
hsa-miR-134-5p,694.29,361.56
hsa-miR-1343-3p,2.64,0.0
hsa-miR-135a-2-3p,16.39,14.86
hsa-miR-135a-5p,1159.62,775.96
hsa-miR-135b-5p,3.17,0.55
hsa-miR-136-3p,180.84,184.36
hsa-miR-136-5p,2751.25,1806.71
hsa-miR-137-3p,90.95,71.54
hsa-miR-137-5p,0.53,0.0
hsa-miR-138-2-3p,0.53,0.0
hsa-miR-138-5p,5.82,6.6
hsa-miR-139-3p,5.29,2.75
hsa-miR-139-5p,370.15,381.37
hsa-miR-140-3p,456.34,404.49
hsa-miR-140-5p,41.24,31.92
hsa-miR-141-3p,3048.43,3478.04
hsa-miR-141-5p,23.8,24.21
hsa-miR-142-3p,13.22,5.5
hsa-miR-142-5p,2.12,0.0
hsa-miR-143-3p,159.69,124.37
hsa-miR-143-5p,2.12,0.55
hsa-miR-144-3p,0.0,0.55
hsa-miR-145-3p,4.23,1.65
hsa-miR-145-5p,1084.53,1084.14
hsa-miR-1468-3p,7.93,2.75
hsa-miR-1468-5p,67.16,59.43
hsa-miR-146a-5p,133.78,163.45
hsa-miR-146b-5p,160.75,123.27
hsa-miR-147b-3p,6.87,8.81
hsa-miR-147b-5p,1.06,2.75
hsa-miR-148a-3p,10043.15,12771.34
hsa-miR-148a-5p,22.74,39.62
hsa-miR-148b-3p,776.78,704.96
hsa-miR-148b-5p,23.8,18.16
hsa-miR-149-5p,84.08,46.23
hsa-miR-150-5p,87.25,104.56
hsa-miR-151a-3p,333.66,209.67
hsa-miR-151a-5p,6383.98,5824.62
hsa-miR-151b,427.78,77.6
hsa-miR-152-3p,242.18,170.05
hsa-miR-153-3p,325.2,233.34
hsa-miR-153-5p,4.76,1.1
hsa-miR-1537-3p,1.59,0.55
hsa-miR-154-3p,31.73,30.82
hsa-miR-154-5p,463.21,431.45
hsa-miR-155-5p,10.58,18.71
hsa-miR-15a-3p,0.53,1.1
hsa-miR-15a-5p,2956.42,2795.64
hsa-miR-15b-3p,12.16,3.85
hsa-miR-15b-5p,162.86,304.33
hsa-miR-16-1-3p,2.64,1.65
hsa-miR-16-2-3p,16.39,11.01
hsa-miR-16-5p,16330.37,11921.65
hsa-miR-17-3p,185.07,128.23
hsa-miR-17-5p,319.38,286.72
hsa-miR-181a-2-3p,5.82,3.85
hsa-miR-181a-3p,2.12,2.75
hsa-miR-181a-5p,524.55,575.64
hsa-miR-181b-2-3p,0.0,0.55
hsa-miR-181b-5p,128.49,121.62
hsa-miR-181c-3p,41.24,28.62
hsa-miR-181c-5p,206.22,217.38
hsa-miR-181d-5p,17.98,9.36
hsa-miR-182-3p,12.16,19.81
hsa-miR-182-5p,468.5,345.6
hsa-miR-183-3p,16.39,15.96
hsa-miR-183-5p,647.76,440.26
hsa-miR-184,216.8,134.28
hsa-miR-1843,11.63,9.91
hsa-miR-185-3p,3.7,1.65
hsa-miR-185-5p,1309.26,1214.56
hsa-miR-186-3p,1.59,1.65
hsa-miR-186-5p,689.53,583.89
hsa-miR-187-3p,7.4,8.25
hsa-miR-188-3p,1.06,4.95
hsa-miR-188-5p,18.51,9.36
hsa-miR-18a-3p,0.53,0.0
hsa-miR-18a-5p,115.27,90.25
hsa-miR-18b-5p,9.52,1.1
hsa-miR-1908-5p,11.63,4.95
hsa-miR-190a-3p,1.59,1.65
hsa-miR-190a-5p,5.29,4.4
hsa-miR-190b-3p,1.06,0.55
hsa-miR-190b-5p,43.36,23.66
hsa-miR-191-3p,0.0,1.1
hsa-miR-191-5p,2483.16,1890.36
