miRNA,SRR27272399,SRR27272400,SRR27272401,SRR27272403,SRR27272404,SRR27272398,SRR27272402,SRR27272405,SRR27272406,SRR27272407
hsa-let-7a-5p,130111.0,40176.0,2010690.0,221099.0,772733.0,69089.0,730624.0,1291105.0,1018360.0,511147.0
hsa-let-7b-5p,156742.0,77009.0,882747.0,88270.0,320754.0,55827.0,252347.0,614555.0,321429.0,171290.0
hsa-let-7c-5p,1083.0,635.0,21517.0,1660.0,6104.0,403.0,9199.0,13514.0,3993.0,3784.0
hsa-let-7d-3p,0.0,546.0,5620.0,934.0,2393.0,0.0,654.0,1556.0,5371.0,1632.0
hsa-let-7d-5p,1.0,3558.0,97737.0,9450.0,36925.0,3941.0,15598.0,43427.0,49833.0,19185.0
hsa-let-7e-5p,4176.0,3364.0,89902.0,3924.0,15500.0,3372.0,23946.0,59417.0,27809.0,13962.0
hsa-let-7f-5p,45716.0,45517.0,1899746.0,204543.0,689385.0,66413.0,722234.0,1070480.0,1105894.0,508662.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0
hsa-let-7g-5p,6704.0,1970.0,96001.0,17195.0,49628.0,1710.0,42993.0,73356.0,76025.0,27732.0
hsa-let-7i-3p,0.0,0.0,189.0,0.0,0.0,422.0,0.0,0.0,0.0,666.0
hsa-let-7i-5p,90013.0,93419.0,1619167.0,199621.0,541463.0,113124.0,659756.0,927256.0,958514.0,316203.0
hsa-miR-1-3p,0.0,0.0,1499.0,0.0,0.0,0.0,0.0,932.0,1171.0,2057.0
hsa-miR-100-5p,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1.0,1854.0,1894.0,3380.0,6530.0,6887.0,13208.0,6344.0,31706.0,13415.0
hsa-miR-10399-3p,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,484.0,96.0
hsa-miR-103a-3p,1367.0,20072.0,440275.0,10990.0,88550.0,45186.0,883.0,66833.0,58920.0,73985.0
hsa-miR-10401-3p,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,3.0,0.0,6.0,1.0,8.0,2.0,6.0,3.0,367.0,6.0
hsa-miR-106b-3p,581.0,1703.0,14164.0,283.0,1052.0,431.0,964.0,1332.0,3553.0,0.0
hsa-miR-106b-5p,0.0,0.0,48.0,124.0,1033.0,0.0,0.0,897.0,889.0,0.0
hsa-miR-107,1.0,512.0,3116.0,431.0,758.0,20.0,2545.0,649.0,2488.0,29.0
hsa-miR-10a-3p,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
