miRNA,SRR18210521,SRR18210522,SRR18210523,SRR18210524,SRR18210525,SRR18210526,SRR18210527,SRR18210528
hsa-let-7a-2-3p,0.91,0.85,0.75,0.31,0.64,1.51,3.5,1.59
hsa-let-7a-3p,1.65,1.27,2.56,1.56,2.94,4.65,4.23,4.13
hsa-let-7a-5p,659.47,619.54,593.23,779.12,602.36,673.4,1367.67,766.29
hsa-let-7b-3p,1.46,0.42,0.9,0.31,0.32,0.22,0.72,0.79
hsa-let-7b-5p,464.08,446.92,412.89,568.87,573.2,661.41,742.71,685.4
hsa-let-7c-3p,0.18,0.21,0.0,0.0,0.45,0.43,0.85,0.32
hsa-let-7c-5p,184.43,118.61,118.68,164.53,245.8,380.94,473.52,274.92
hsa-let-7d-3p,11.88,8.26,14.14,18.97,7.1,12.75,26.69,17.48
hsa-let-7d-5p,16.27,17.16,11.73,20.22,21.81,32.95,64.73,25.11
hsa-let-7e-3p,0.73,0.21,0.0,0.93,0.96,1.51,1.21,2.07
hsa-let-7e-5p,24.68,30.5,26.47,16.8,18.48,16.53,38.65,23.04
hsa-let-7f-1-3p,0.18,0.85,0.0,0.0,0.64,0.65,0.97,1.59
hsa-let-7f-2-3p,0.0,0.0,0.0,0.31,0.19,0.0,0.36,0.79
hsa-let-7f-5p,472.12,294.41,263.98,602.46,484.96,641.1,1182.54,645.99
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.43,0.12,0.0
hsa-let-7g-5p,454.58,231.72,160.34,466.85,838.45,1067.31,2032.73,1026.11
hsa-let-7i-3p,0.37,0.0,0.3,0.31,0.83,1.51,2.42,2.22
hsa-let-7i-5p,4495.13,3782.49,2657.52,4496.5,6060.58,7167.56,13827.55,7570.06
hsa-miR-1-3p,0.37,0.0,0.15,0.0,0.0,0.22,0.36,0.48
hsa-miR-100-3p,0.0,0.0,0.3,0.0,0.0,0.0,0.36,0.16
hsa-miR-100-5p,7108.9,7183.93,5317.3,9350.07,8243.98,9135.26,17741.57,10379.51
hsa-miR-101-3p,229.21,79.43,45.27,166.09,175.85,278.95,227.64,389.98
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.32
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.22,0.12,0.0
hsa-miR-10395-3p,0.73,0.0,0.0,0.31,2.94,4.11,3.14,1.91
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.65,0.24,0.0
hsa-miR-10399-3p,0.37,0.0,0.0,0.0,0.19,0.43,0.12,0.95
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
hsa-miR-103a-3p,21.02,12.07,0.75,2.8,57.17,70.87,162.55,18.59
hsa-miR-10401-3p,0.55,2.54,1.5,0.0,0.7,2.81,2.05,0.79
hsa-miR-105-5p,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.38,0.65,0.24,0.0
hsa-miR-10527-5p,0.18,0.0,0.0,0.0,0.13,0.0,0.12,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.16
hsa-miR-106b-3p,44.6,36.43,22.56,54.74,85.69,110.74,100.24,87.72
hsa-miR-106b-5p,5.12,1.91,1.35,1.87,7.35,11.67,14.97,9.85
hsa-miR-107,0.0,0.0,0.75,0.0,6.01,2.16,2.78,0.79
hsa-miR-10a-3p,11.33,3.18,4.36,13.69,12.28,15.23,8.21,18.59
hsa-miR-10a-5p,2244.92,909.72,955.13,2583.69,956.04,1075.41,865.89,2829.32
hsa-miR-10b-3p,8.77,6.78,5.11,8.09,14.13,13.18,5.19,17.96
hsa-miR-10b-5p,3595.67,1646.39,1810.99,4140.69,2143.88,2450.3,1817.28,4099.68
hsa-miR-11399,0.0,0.0,0.0,0.0,0.13,0.0,0.36,0.0
hsa-miR-11400,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.22,0.12,0.0
hsa-miR-1180-3p,8.96,9.11,13.54,8.71,15.67,18.04,20.05,11.92
hsa-miR-1183,1.46,0.0,0.45,0.0,0.13,0.0,0.48,0.48
hsa-miR-1185-1-3p,2.92,4.45,6.32,0.31,1.98,2.48,2.54,4.13
hsa-miR-1185-2-3p,0.37,0.42,0.75,0.0,0.13,0.11,0.36,0.16
hsa-miR-1185-5p,0.0,0.0,0.0,0.62,0.0,0.54,0.12,0.0
hsa-miR-1193,0.0,0.85,0.0,0.0,0.26,0.0,0.0,0.0
hsa-miR-1197,0.73,1.27,0.0,0.93,1.21,0.76,0.36,1.91
hsa-miR-12136,0.37,4.24,0.6,0.31,1.09,2.7,4.95,0.64
hsa-miR-122-5p,34.91,26.48,15.79,1322.17,6.33,0.65,657.93,31.15
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.06,0.32,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,0.13,0.22,0.6,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
hsa-miR-1231,0.18,0.0,0.0,0.0,0.06,0.11,0.0,0.32
hsa-miR-1236-5p,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
hsa-miR-1246,7.31,14.19,8.57,13.06,8.57,14.8,5.19,16.05
hsa-miR-1248,0.91,1.48,0.3,0.0,0.51,0.22,0.12,0.0
hsa-miR-1249-3p,0.0,0.21,0.0,0.0,0.0,0.0,0.36,0.0
hsa-miR-1250-5p,0.55,0.21,0.0,0.0,0.77,0.54,0.24,1.27
hsa-miR-1252-3p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0
hsa-miR-1252-5p,0.0,0.0,0.0,0.62,0.19,0.22,0.0,1.11
hsa-miR-1255a,0.0,0.21,0.3,1.24,0.0,1.4,0.72,0.32
hsa-miR-1255b-5p,0.0,0.0,0.0,0.31,0.0,0.11,0.36,0.0
hsa-miR-1256,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-125a-3p,2.74,3.81,1.8,3.73,7.03,9.83,5.8,5.88
