miRNA,SRR10500680,SRR10500682,SRR10500683,SRR10500684,SRR10500686,SRR10500688,SRR10500690,SRR10500691,SRR10500692,SRR10500694,SRR10500695,SRR10500696,SRR10500697,SRR10500698,SRR10500699,SRR10500700,SRR10500702,SRR10500703,SRR10500704,SRR10500707,SRR10500708,SRR10500710,SRR10500711,SRR10500713,SRR10500714,SRR10500715,SRR10500717,SRR10500718,SRR10500719,SRR10500721,SRR10500722,SRR10500723,SRR10500724,SRR10500726,SRR10500727,SRR10500728,SRR10500730,SRR10500731,SRR10500732,SRR10500733,SRR10500735,SRR10500736,SRR10500737,SRR10500739,SRR10500741,SRR10500742,SRR10500743,SRR10500746,SRR10500747,SRR10500748,SRR10500750,SRR10500751,SRR10500752,SRR10500754,SRR10500755,SRR10500756,SRR10500758,SRR10500760,SRR10500762,SRR10500763,SRR10500764,SRR10500765,SRR10500766,SRR10500768,SRR10500770,SRR10500771,SRR10500772,SRR10500774,SRR10500775,SRR10500778,SRR10500779,SRR10500781,SRR10500782,SRR10500784,SRR10500785,SRR10500787,SRR10500788,SRR10500789,SRR10500791,SRR10500792,SRR10500794,SRR10500795,SRR10500798,SRR10500799,SRR10500800,SRR10500801,SRR10500802,SRR10500803,SRR10500805,SRR10500806,SRR10500808,SRR10500809,SRR10500810,SRR10500812,SRR10500813,SRR10500814,SRR10500816,SRR10500817,SRR10500818,SRR10500819,SRR10500821,SRR10500822
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,754.0,0.0,616.0,852.0,407.0,540.0,0.0,472.0,363.0,646.0,236.0,352.0,478.0,563.0,41.0,58.0,2.0,0.0,0.0,0.0,0.0,153.0,903.0,18.0,264.0,438.0,0.0,127.0,460.0,0.0,224.0,315.0,609.0,120.0,11.0,79.0,72.0,1.0,0.0,3748.0,55.0,149.0,310.0,789.0,216.0,180.0,510.0,29.0,132.0,868.0,708.0,126.0,306.0,1074.0,109.0,662.0,55.0,0.0,40.0,1062.0,170.0,420.0,927.0,805.0,1.0,54.0,1129.0,309.0,0.0,80.0,404.0,182.0,989.0,70.0,900.0,47.0,515.0,9.0,535.0,2.0,3.0,3.0,129.0,2959.0,163.0,77.0,134.0,167.0,445.0,771.0,7.0,84.0,88.0,0.0,244.0,282.0,0.0,3.0,0.0,967.0,0.0,0.0
hsa-miR-29a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29b-1-5p,56.0,0.0,0.0,0.0,24.0,47.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0
hsa-miR-29b-2-5p,0.0,0.0,30.0,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,41.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,140.0,1.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
hsa-miR-29b-3p,156.0,0.0,74.0,101.0,155.0,230.0,0.0,136.0,121.0,92.0,77.0,15.0,36.0,12.0,0.0,0.0,0.0,0.0,1.0,131.0,455.0,9.0,279.0,5.0,151.0,279.0,0.0,63.0,164.0,0.0,72.0,102.0,274.0,0.0,3.0,6.0,3.0,0.0,0.0,330.0,14.0,0.0,0.0,31.0,19.0,54.0,110.0,0.0,0.0,0.0,37.0,198.0,655.0,111.0,131.0,44.0,9.0,0.0,0.0,61.0,29.0,173.0,65.0,119.0,0.0,1.0,188.0,3.0,0.0,0.0,0.0,6.0,152.0,28.0,456.0,6.0,0.0,1.0,47.0,0.0,1.0,0.0,14.0,309.0,13.0,23.0,22.0,18.0,266.0,414.0,2.0,0.0,0.0,0.0,75.0,38.0,0.0,0.0,1.0,242.0,0.0,0.0
hsa-miR-29c-3p,761.0,0.0,270.0,299.0,160.0,215.0,320.0,399.0,309.0,46.0,204.0,83.0,98.0,370.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,788.0,18.0,151.0,431.0,0.0,87.0,312.0,0.0,138.0,212.0,483.0,277.0,0.0,1.0,63.0,1.0,0.0,1300.0,88.0,14.0,29.0,356.0,109.0,66.0,177.0,208.0,8.0,48.0,458.0,214.0,551.0,374.0,16.0,430.0,33.0,0.0,0.0,695.0,103.0,417.0,986.0,762.0,2.0,156.0,407.0,67.0,0.0,42.0,882.0,119.0,650.0,51.0,1537.0,40.0,55.0,326.0,468.0,0.0,156.0,9.0,29.0,1408.0,64.0,40.0,71.0,147.0,272.0,299.0,1.0,62.0,77.0,0.0,180.0,300.0,0.0,0.0,0.0,542.0,0.0,0.0
hsa-miR-29c-5p,60.0,0.0,24.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,13.0,40.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,17.0,0.0,0.0,90.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
hsa-miR-301a-3p,300.0,5958.0,28.0,52.0,35.0,47.0,1052.0,0.0,1.0,2136.0,1.0,0.0,1.0,2517.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,310.0,0.0,89.0,0.0,0.0,2.0,0.0,0.0,3445.0,0.0,1.0,0.0,46.0,0.0,0.0,623.0,46.0,131.0,0.0,0.0,902.0,1024.0,22.0,934.0,53.0,152.0,1405.0,78.0,1003.0,4191.0,0.0,0.0,4704.0,216.0,58.0,614.0,1.0,178.0,123.0,749.0,78.0,0.0,334.0,0.0,573.0,120.0,0.0,1.0,28.0,0.0,1061.0,93.0,62.0,1.0,318.0,185.0,0.0,3174.0,0.0,332.0,0.0,103.0,332.0,521.0,20.0,525.0,0.0,0.0,0.0,16.0,0.0,0.0,2243.0,160.0,316.0,3.0,0.0,1.0,96.0,11918.0,0.0
hsa-miR-301a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
