miRNA,SRR17622163,SRR17622164,SRR17622165,SRR17622166,SRR17622167,SRR17622168,SRR17622169,SRR17622170,SRR17622171,SRR17622172,SRR17622173,SRR17622174,SRR17622175,SRR17622176,SRR17622177,SRR17622178,SRR17622179,SRR17622180,SRR17622181
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,4.63,0.0,0.99,1.33,1.34,0.37,1.26,1.42,0.37,0.32,1.58,0.29,1.73,0.27,0.0,0.0,0.69,0.21,1.41
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3.86,4.55,56.18,144.15,14.24,52.87,269.44,82.37,218.77,55.55,33.81,24.56,39.67,26.71,16.84,50.57,67.96,60.8,4.4
hsa-miR-10400-5p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
hsa-miR-10401-3p,0.26,0.83,0.0,0.0,0.67,0.75,0.0,0.28,0.19,0.0,0.0,0.0,0.22,0.13,0.0,0.0,0.34,0.42,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.77,0.0,0.0,0.0,2.01,4.69,7.71,0.57,0.93,0.32,0.0,0.0,0.65,0.13,0.0,0.0,0.0,0.21,0.35
