miRNA,SRR17237638,SRR17237639,SRR17237640,SRR17237641,SRR17237642,SRR17237643,SRR17237644,SRR17237645,SRR17237646,SRR17237647,SRR17237648,SRR17237649,SRR17237650,SRR17237651,SRR17237652,SRR17237653,SRR17237654,SRR17237655,SRR17237656,SRR17237657,SRR17237658,SRR17237659,SRR17237660,SRR17237661,SRR17237662,SRR17237663,SRR17237664,SRR17237665
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-let-7a-3p,0.36,0.0,0.32,0.17,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.19,0.0,0.13,0.0,0.0,0.0,0.0,0.2
hsa-let-7a-5p,264.07,190.77,420.97,218.21,142.92,16.31,133.55,75.94,88.95,293.86,126.66,106.04,80.52,114.61,147.46,25.3,201.43,134.4,106.35,93.61,122.75,80.09,33.62,37.62,34.47,80.83,64.44,151.98
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-let-7b-5p,21.96,27.94,95.06,29.78,26.93,24.82,45.05,14.87,8.86,32.84,10.61,19.53,9.36,10.89,15.39,3.81,22.66,21.57,10.6,11.6,13.51,12.61,2.37,2.62,1.33,6.96,8.05,4.88
hsa-let-7c-5p,10.0,4.39,15.09,9.76,3.09,1.28,4.2,2.15,2.68,4.83,0.65,1.09,2.06,1.42,5.36,0.19,10.99,1.78,1.41,1.2,3.0,1.99,0.13,0.0,0.19,2.11,0.6,4.88
hsa-let-7d-3p,0.36,0.44,1.14,0.34,0.0,0.0,0.58,0.0,0.33,1.17,0.33,0.31,0.14,0.16,0.0,0.0,0.34,0.36,0.53,0.4,0.38,0.88,0.0,0.2,0.19,0.42,0.2,0.39
hsa-let-7d-5p,16.6,8.78,19.79,14.64,8.98,1.28,8.84,3.29,4.35,20.33,6.04,8.22,5.37,2.53,8.13,1.14,14.21,5.88,2.65,3.4,5.63,2.43,1.19,2.62,0.57,4.01,4.43,3.32
hsa-let-7e-3p,0.54,0.0,0.16,0.17,0.0,0.0,0.14,0.0,0.0,0.17,0.0,0.0,0.28,0.16,0.17,0.0,0.34,0.0,0.0,0.0,0.38,0.22,0.0,0.2,0.0,0.21,0.4,0.39
hsa-let-7e-5p,28.03,29.7,42.34,16.32,9.26,10.07,21.73,11.3,38.46,35.5,36.89,15.04,21.75,25.26,65.17,13.13,41.77,24.6,16.25,43.4,54.81,37.17,36.78,33.79,58.53,85.89,62.22,132.45
hsa-let-7f-5p,242.29,167.22,379.28,200.88,173.22,6.1,123.85,56.49,98.65,336.19,103.32,76.74,97.45,53.99,126.54,19.22,217.16,137.79,81.44,59.0,124.25,53.98,43.24,34.6,36.75,75.34,66.25,74.62
hsa-let-7g-5p,116.59,58.52,155.41,104.98,76.3,4.54,73.73,26.74,45.65,147.68,44.56,26.67,35.1,20.68,67.77,6.66,100.97,73.26,31.8,22.2,53.12,25.66,11.21,11.87,12.31,33.56,35.84,27.35
hsa-let-7i-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,112.84,56.32,184.28,80.25,75.04,16.45,89.23,28.17,22.07,138.51,32.16,35.66,37.16,14.84,75.89,8.56,117.54,57.57,28.44,32.4,59.69,22.79,10.02,10.46,7.39,30.18,37.05,21.49
hsa-miR-1-3p,0.89,0.29,1.46,0.67,0.28,0.0,0.29,0.14,0.0,0.67,0.0,0.0,0.28,0.16,0.17,0.0,1.86,0.36,0.53,0.2,0.38,0.0,0.13,0.2,0.0,0.42,0.6,0.39
hsa-miR-100-3p,0.18,0.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.33,0.16,0.0,0.0,0.0,0.69,0.0,0.17,0.0,0.0,0.4,0.19,0.0,0.0,0.2,0.19,0.0,0.4,0.0
hsa-miR-100-5p,10833.64,7918.98,9485.96,3350.43,1606.66,5504.49,10033.23,1949.73,2773.37,5971.29,5280.53,2192.43,4924.91,3371.49,11218.91,1811.47,10219.62,3242.72,2263.48,4714.4,12746.52,3233.69,1219.57,3062.03,3123.87,7246.82,4130.16,9989.55
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,129.8,62.91,81.6,44.42,23.7,14.32,89.52,20.16,35.95,67.67,77.86,26.04,37.99,35.21,176.51,24.35,106.21,27.63,24.91,36.4,108.67,29.2,25.58,39.83,82.59,207.46,143.17,228.95
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.13,0.0,0.19,0.0,0.0,0.0
hsa-miR-10393-3p,0.18,0.0,0.16,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-10395-3p,0.0,0.0,0.0,0.17,0.0,0.85,0.43,0.57,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.22,0.13,0.2,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,1.25,1.17,1.3,1.35,0.14,1.13,0.87,1.29,0.17,0.17,0.16,0.16,0.83,0.16,0.17,0.19,0.0,0.0,0.18,0.2,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
