miRNA,SRR22728237,SRR22728238,SRR22728239,SRR22728240,SRR22728241,SRR22728242,SRR22728243,SRR22728244,SRR22728245,SRR22728247,SRR22728248,SRR22728249,SRR22728250,SRR22728251,SRR22728252
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,1.18,0.12,0.0,0.0,0.0,0.0
hsa-let-7a-3p,3.66,0.0,6.76,7.87,21.6,9.56,2.71,6.93,10.77,12.97,19.47,29.18,5.74,7.9,4.21
hsa-let-7a-5p,28064.82,1483.62,35539.92,8888.14,32872.44,116766.37,25453.84,6297.77,3587.91,3362.29,62933.27,119955.79,51799.75,18331.75,40757.53
hsa-let-7b-3p,19.95,0.0,2.71,7.87,5.18,17.04,62.22,0.0,0.0,2.36,7.96,36.22,23.67,0.0,2.34
hsa-let-7b-5p,23286.48,828.41,57534.58,3452.56,8668.83,70490.96,23099.07,1850.43,1007.34,1956.52,11787.42,45413.46,14716.01,5675.11,16873.1
hsa-let-7c-3p,0.0,0.0,1.35,0.0,0.0,0.6,0.39,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.0
hsa-let-7c-5p,55.2,88.88,670.97,661.0,1097.97,160.81,143.38,541.57,137.58,1635.74,36.43,119.83,207.29,77.91,124.32
hsa-let-7d-3p,244.74,15.95,228.62,97.38,116.62,382.0,444.06,28.5,13.16,45.99,567.48,1113.43,95.4,19.2,190.22
hsa-let-7d-5p,4429.19,136.74,3767.46,1255.12,3953.88,10063.73,4021.63,1077.75,272.77,750.06,4753.68,11906.94,4977.78,1735.5,5715.81
hsa-let-7e-3p,0.33,0.0,2.71,3.93,6.91,0.3,0.0,6.16,0.0,4.72,0.0,0.16,0.0,0.0,0.0
hsa-let-7e-5p,19.95,0.0,25.7,53.12,90.71,50.51,16.23,54.7,2.39,113.22,10.42,43.98,16.5,9.03,19.63
hsa-let-7f-1-3p,0.0,0.0,0.0,4.92,11.23,8.07,54.49,2.31,1.2,0.0,14.5,28.15,0.0,0.0,12.15
hsa-let-7f-2-3p,0.0,0.0,0.0,0.98,0.86,0.0,0.0,0.77,0.0,0.0,1.01,0.0,0.0,0.0,0.0
hsa-let-7f-5p,9860.26,531.01,9240.76,3714.21,17877.57,30654.19,9097.56,3149.27,1665.34,2026.1,26689.93,54376.61,17286.67,5126.34,15544.39
hsa-let-7g-3p,1.0,0.0,0.0,0.98,0.86,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.0
hsa-let-7g-5p,8858.04,512.77,7813.59,2631.23,8430.4,16982.72,8652.34,2650.84,1024.09,1441.15,22862.59,30821.03,12336.86,4147.37,11620.44
hsa-let-7i-3p,3.33,1.14,0.0,7.87,5.18,2.69,1.55,7.7,0.0,5.9,3.63,13.19,0.0,0.0,1.87
hsa-let-7i-5p,9797.08,283.73,6754.37,1574.8,4714.94,11214.5,6716.89,1420.56,588.61,1129.81,16605.24,10969.74,7030.58,2026.82,7912.41
hsa-miR-1-3p,1.66,2.28,0.0,77.71,3.46,0.9,19.71,82.43,1.2,3.54,0.12,7.66,328.5,2.26,0.47
hsa-miR-1-5p,0.0,0.0,0.0,0.98,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,69.5,10.26,390.95,273.45,215.96,23.02,25.12,487.64,133.99,917.53,67.64,55.21,68.14,10.16,43.46
hsa-miR-101-3p,7.98,0.0,1.35,19.67,6.05,0.3,1.16,16.18,0.0,12.97,6.14,34.2,4.3,0.0,10.28
hsa-miR-101-5p,10.97,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.73,12.52,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
hsa-miR-10395-3p,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,1.35,3.93,5.18,5.98,0.0,0.0,0.0,0.0,8.8,5.38,0.0,0.0,25.7
hsa-miR-103a-1-5p,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.05,0.0,0.0,0.0
hsa-miR-103a-3p,11.97,0.0,1.35,41.31,0.0,115.08,0.0,41.6,1.2,2.36,16.48,78.65,235.98,0.0,169.18
hsa-miR-10401-3p,41.57,0.0,0.0,5.9,0.0,16.74,0.0,1.54,0.0,0.0,3.67,2.79,10.04,0.0,3.74
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,5.54,0.0,0.0,0.93
