miRNA,SRR10446207,SRR10446208,SRR10446209,SRR10446210,SRR10446211,SRR10446212
hsa-let-7a-2-3p,1.04,0.98,0.37,0.49,0.26,0.0
hsa-let-7a-3p,190.52,164.49,114.8,204.11,33.55,41.76
hsa-let-7a-5p,36032.64,29102.83,27351.34,25393.08,34192.49,32381.1
hsa-let-7b-3p,8.17,9.04,14.26,11.72,4.19,7.32
hsa-let-7b-5p,11600.18,12423.13,11861.72,5687.61,28114.13,13169.35
hsa-let-7c-3p,7.13,4.89,4.39,3.42,0.52,1.22
hsa-let-7c-5p,9119.38,6523.81,7343.19,2855.77,5310.93,7914.9
hsa-let-7d-3p,13.22,15.15,25.96,16.11,62.64,53.04
hsa-let-7d-5p,1606.0,1583.84,1587.09,2055.95,1872.44,1225.37
hsa-let-7e-3p,8.91,15.89,11.7,3.17,11.27,1.52
hsa-let-7e-5p,781.84,1015.56,858.44,239.99,2236.76,370.35
hsa-let-7f-1-3p,2.08,0.73,0.37,10.74,0.0,0.0
hsa-let-7f-2-3p,10.99,4.89,4.75,13.92,1.05,4.57
hsa-let-7f-5p,29919.88,21273.32,23746.1,35639.86,12450.53,28590.08
hsa-let-7g-3p,2.67,2.2,2.92,3.42,0.0,0.91
hsa-let-7g-5p,15149.57,12135.44,13902.89,14707.81,5516.15,10429.95
hsa-let-7i-3p,1.04,2.69,3.66,7.32,1.05,0.61
hsa-let-7i-5p,1608.82,2941.1,3492.27,2877.25,3836.88,4300.37
hsa-miR-1-3p,69.79,181.36,61.79,13.92,84.4,5.49
hsa-miR-100-3p,9.21,6.84,4.02,8.79,2.36,3.35
hsa-miR-100-5p,1342.72,1366.8,1248.18,2225.63,760.09,648.96
hsa-miR-101-2-5p,4.45,7.58,5.85,2.44,0.0,0.0
hsa-miR-101-3p,1486.16,1678.92,1655.1,2702.69,160.67,555.68
hsa-miR-101-5p,5.64,13.2,4.75,10.01,1.31,0.61
hsa-miR-10393-3p,0.15,0.0,0.0,0.73,0.0,0.61
hsa-miR-10393-5p,0.0,0.0,0.37,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.24,0.0,0.3
hsa-miR-10395-3p,9.36,8.07,13.16,7.32,69.72,59.44
hsa-miR-10395-5p,0.45,0.73,0.37,0.98,8.13,3.35
hsa-miR-10396a-3p,0.15,0.24,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.49,1.1,0.24,0.26,0.3
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.52,0.3
hsa-miR-10399-3p,0.74,1.22,1.46,1.22,4.46,3.05
hsa-miR-10399-5p,0.15,0.0,0.0,0.98,0.0,0.3
hsa-miR-103a-1-5p,0.0,0.24,0.0,0.49,0.0,0.0
hsa-miR-103a-2-5p,0.45,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3829.9,590.76,3857.14,3282.05,1475.62,146.62
hsa-miR-10401-3p,0.15,0.0,1.1,0.49,1.31,2.13
hsa-miR-10401-5p,0.0,0.0,0.37,0.49,1.57,0.61
hsa-miR-10527-5p,0.3,0.0,0.0,0.0,0.52,0.0
hsa-miR-106a-3p,0.3,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,21.24,33.24,7.31,24.66,0.52,0.91
hsa-miR-106b-3p,100.98,114.88,165.99,153.08,220.69,231.97
hsa-miR-106b-5p,135.88,191.38,82.26,446.3,14.68,24.39
hsa-miR-107,1356.97,909.98,802.14,904.31,222.0,621.83
hsa-miR-10a-3p,28.07,46.68,32.54,7.08,37.48,7.32
hsa-miR-10a-5p,2577.77,3010.27,1608.3,713.64,5140.3,572.45
hsa-miR-10b-3p,0.0,0.24,0.0,0.98,0.52,3.35
hsa-miR-10b-5p,226.46,450.22,103.83,2352.83,2388.25,3452.98
hsa-miR-11401,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,1.34,1.47,0.73,1.46,1.57,2.13
hsa-miR-1180-3p,5.2,6.35,14.62,16.36,37.22,26.21
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.3
hsa-miR-1183,0.0,0.0,0.0,0.0,0.0,0.61
hsa-miR-1185-1-3p,0.45,1.47,4.02,0.24,1.57,0.61
hsa-miR-1185-2-3p,0.45,0.49,1.1,0.0,0.79,0.61
hsa-miR-1185-5p,0.45,0.98,1.1,0.24,0.0,0.0
hsa-miR-1197,0.3,0.24,0.37,0.0,0.0,0.3
hsa-miR-12114,0.0,0.0,0.0,0.24,0.0,0.0
hsa-miR-12125,0.0,0.24,0.0,0.0,0.0,0.0
hsa-miR-12135,0.0,0.0,0.0,0.49,0.0,0.0
hsa-miR-12136,0.15,0.49,2.56,1.71,0.79,1.22
hsa-miR-122-3p,853.86,703.93,25.23,931.9,2.62,15.24
hsa-miR-122-5p,4741.97,121860.64,1874.83,189283.53,5635.93,185141.78
hsa-miR-1226-3p,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.73,0.98,0.0,0.3
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.0,0.61
hsa-miR-1229-3p,0.0,0.0,0.73,0.0,0.0,0.0
