miRNA,SRR7669367
hsa-miR-30d-5p,1855.68
hsa-miR-148a-3p,1382.51
hsa-miR-200a-3p,637.07
hsa-miR-200c-3p,526.04
hsa-let-7a-5p,589.48
hsa-miR-200b-3p,436.17
hsa-let-7f-5p,378.01
hsa-miR-99b-5p,208.83
hsa-miR-532-5p,129.53
hsa-miR-148a-5p,137.46
hsa-miR-146b-5p,261.7
hsa-miR-26a-5p,116.31
hsa-miR-100-5p,132.17
hsa-let-7g-5p,288.13
hsa-miR-21-5p,272.27
hsa-miR-101-3p,375.37
hsa-miR-375-3p,216.76
hsa-miR-378a-3p,137.46
hsa-miR-30a-5p,306.64
hsa-miR-99a-5p,198.26
hsa-miR-576-3p,134.81
hsa-let-7b-5p,306.64
hsa-miR-370-3p,84.59
hsa-miR-143-3p,89.88
hsa-miR-191-5p,134.81
hsa-miR-378c,100.45
hsa-miR-184,79.3
hsa-miR-6852-5p,76.66
hsa-miR-615-3p,74.02
hsa-miR-192-5p,81.95
hsa-miR-3929,76.66
hsa-miR-629-5p,74.02
hsa-miR-22-3p,155.96
hsa-miR-589-5p,76.66
hsa-miR-151a-3p,76.66
hsa-miR-223-5p,76.66
hsa-miR-140-3p,74.02
hsa-miR-411-5p,68.73
hsa-miR-485-5p,66.09
hsa-miR-7974,66.09
hsa-miR-10a-5p,84.59
hsa-miR-183-5p,81.95
hsa-miR-490-3p,66.09
hsa-miR-378e,74.02
hsa-miR-340-5p,81.95
hsa-miR-1307-3p,66.09
hsa-miR-10b-5p,60.8
hsa-miR-92a-3p,71.37
hsa-miR-363-3p,63.44
hsa-miR-224-5p,58.16
hsa-miR-129-5p,55.51
hsa-miR-409-3p,60.8
hsa-miR-139-3p,58.16
hsa-miR-501-3p,44.94
hsa-miR-130b-5p,44.94
hsa-miR-182-5p,84.59
hsa-miR-20a-5p,42.29
hsa-miR-3178,39.65
hsa-miR-320a-3p,100.45
hsa-miR-128-3p,42.29
hsa-miR-486-3p,44.94
hsa-miR-181a-5p,113.67
hsa-miR-424-3p,55.51
hsa-miR-92b-3p,42.29
hsa-miR-499b-3p,44.94
hsa-miR-433-3p,47.58
hsa-miR-3615,34.36
hsa-miR-323a-3p,34.36
hsa-miR-584-5p,39.65
hsa-miR-148b-3p,76.66
hsa-miR-429,50.23
hsa-miR-511-5p,44.94
hsa-miR-543,37.01
hsa-miR-27b-3p,74.02
hsa-let-7i-5p,44.94
hsa-miR-186-5p,44.94
hsa-miR-941,44.94
hsa-miR-185-3p,31.72
hsa-miR-30e-5p,55.51
hsa-miR-485-3p,37.01
hsa-miR-502-3p,29.08
hsa-miR-136-3p,31.72
hsa-miR-181b-5p,42.29
hsa-miR-4488,42.29
hsa-miR-103a-3p,29.08
hsa-miR-500a-3p,31.72
hsa-miR-664a-5p,31.72
hsa-miR-126-3p,26.43
hsa-miR-30e-3p,39.65
hsa-miR-1-3p,31.72
hsa-miR-26b-5p,39.65
hsa-miR-127-3p,42.29
hsa-miR-378d,26.43
hsa-miR-1246,31.72
hsa-miR-30c-5p,50.23
hsa-miR-9-5p,26.43
hsa-miR-605-3p,26.43
hsa-miR-340-3p,29.08
hsa-miR-29a-3p,87.23
hsa-miR-766-5p,23.79
hsa-miR-769-5p,26.43
hsa-miR-25-3p,26.43
hsa-miR-4732-5p,26.43
hsa-miR-140-5p,21.15
hsa-miR-215-5p,18.5
hsa-miR-125b-5p,60.8
hsa-miR-152-3p,34.36
hsa-miR-320b,44.94
hsa-miR-330-3p,21.15
hsa-miR-744-5p,21.15
hsa-miR-133a-5p,21.15
hsa-miR-20b-5p,15.86
hsa-miR-125a-5p,52.87
hsa-miR-361-3p,37.01
hsa-miR-199a-3p,15.86
hsa-miR-34c-5p,15.86
hsa-miR-145-3p,18.5
hsa-miR-122b-3p,15.86
hsa-miR-2355-3p,15.86
hsa-miR-450b-5p,18.5
hsa-miR-141-3p,44.94
hsa-miR-204-3p,13.22
hsa-miR-1180-3p,18.5
hsa-miR-4326,13.22
hsa-let-7c-5p,29.08
hsa-miR-7704,15.86
hsa-miR-28-5p,15.86
hsa-miR-369-5p,18.5
hsa-miR-7706,13.22
hsa-miR-421,13.22
hsa-miR-342-5p,15.86
hsa-miR-146a-5p,15.86
hsa-miR-574-3p,13.22
hsa-miR-193b-5p,10.57
hsa-miR-185-5p,13.22
hsa-let-7e-5p,26.43
hsa-miR-132-3p,10.57
hsa-miR-323b-3p,10.57
hsa-let-7d-5p,39.65
hsa-miR-139-5p,10.57
hsa-miR-132-5p,13.22
hsa-miR-484,10.57
hsa-miR-1908-5p,13.22
hsa-miR-222-3p,10.57
hsa-miR-134-5p,10.57
hsa-miR-511-3p,13.22
hsa-miR-1301-3p,10.57
hsa-miR-483-5p,15.86
hsa-miR-4433a-5p,10.57
hsa-miR-28-3p,21.15
hsa-miR-654-3p,13.22
hsa-miR-660-5p,10.57
hsa-miR-144-5p,7.93
hsa-miR-218-5p,7.93
hsa-miR-195-5p,10.57
hsa-miR-378b,13.22
hsa-miR-423-5p,18.5
hsa-miR-193b-3p,7.93
hsa-miR-3184-5p,7.93
hsa-miR-4440,10.57
hsa-miR-326,10.57
hsa-miR-188-5p,7.93
hsa-miR-124-3p,7.93
hsa-miR-155-5p,7.93
hsa-miR-24-3p,13.22
hsa-miR-199b-5p,13.22
hsa-let-7d-3p,10.57
hsa-miR-346,7.93
hsa-miR-30b-5p,18.5
hsa-miR-339-5p,10.57
hsa-miR-942-5p,7.93
hsa-miR-98-5p,7.93
hsa-let-7a-3p,10.57
hsa-miR-32-5p,5.29
hsa-miR-93-3p,10.57
hsa-miR-2110,5.29
hsa-miR-320d,10.57
hsa-miR-3182,5.29
hsa-miR-196b-5p,7.93
hsa-miR-335-5p,13.22
hsa-miR-449a,5.29
hsa-miR-223-3p,5.29
hsa-miR-30a-3p,13.22
hsa-miR-200a-5p,10.57
hsa-miR-27a-3p,5.29
hsa-miR-885-5p,5.29
hsa-miR-425-5p,5.29
hsa-miR-449b-5p,5.29
hsa-miR-96-5p,7.93
hsa-miR-18a-3p,5.29
hsa-miR-23a-3p,10.57
hsa-miR-197-3p,5.29
hsa-miR-17-5p,5.29
hsa-miR-376a-3p,5.29
hsa-miR-425-3p,7.93
hsa-miR-495-3p,7.93
hsa-mir-760-3p,2.64
hsa-miR-195-3p,2.64
hsa-miR-512-3p,2.64
hsa-miR-652-3p,5.29
hsa-miR-320a-5p,2.64
hsa-miR-142-5p,5.29
hsa-miR-126-5p,5.29
hsa-miR-373-3p,2.64
hsa-miR-150-5p,2.64
hsa-miR-187-3p,2.64
hsa-miR-369-3p,2.64
hsa-miR-200b-5p,10.57
hsa-miR-151a-5p,2.64
hsa-miR-92a-1-5p,2.64
hsa-miR-874-3p,2.64
hsa-miR-302c-3p,2.64
hsa-miR-29c-3p,5.29
hsa-miR-29b-3p,5.29
hsa-miR-16-5p,2.64
hsa-miR-335-3p,5.29
hsa-miR-338-5p,2.64
hsa-miR-365a-3p,2.64
hsa-miR-1306-5p,2.64
hsa-miR-193a-5p,10.57
hsa-miR-211-5p,2.64
hsa-miR-766-3p,2.64
hsa-miR-299-3p,5.29
hsa-miR-500b-5p,2.64
hsa-mir-2110-5p,5.29
hsa-let-7i-3p,2.64
hsa-miR-1307-5p,5.29
hsa-miR-3960,2.64
hsa-miR-362-5p,2.64
hsa-miR-296-5p,2.64
hsa-miR-205-5p,5.29
hsa-miR-345-5p,7.93
hsa-miR-376b-3p,2.64
hsa-miR-93-5p,2.64
hsa-miR-196a-5p,2.64
hsa-miR-30d-3p,2.64
hsa-miR-203a-3p,2.64
hsa-miR-106b-5p,2.64
hsa-miR-4521,2.64
hsa-miR-146b-3p,2.64
hsa-miR-3654,2.64
hsa-miR-133a-3p,2.64
hsa-miR-15b-3p,2.64
hsa-miR-374b-5p,2.64
hsa-miR-423-3p,2.64
hsa-mir-1234-3p,2.64
hsa-miR-450a-5p,5.29
hsa-miR-16-2-3p,2.64
hsa-miR-1287-5p,2.64
hsa-miR-18b-5p,2.64
hsa-miR-181a-2-3p,2.64
hsa-miR-324-5p,2.64
hsa-miR-551b-3p,2.64
hsa-miR-3064-5p,2.64
hsa-miR-144-3p,2.64
hsa-miR-4497,2.64
hsa-miR-4516,2.64
hsa-miR-486-5p,2.64
