miRNA,SRR17804000,SRR17804001
hsa-miR-380-5p,13.47,0.0
hsa-miR-381-3p,20.51,0.0
hsa-miR-382-5p,79.57,0.0
hsa-miR-409-3p,47.03,0.0
hsa-miR-421,0.0,0.1
hsa-miR-422a,0.0,0.1
hsa-miR-423-3p,14.5,0.69
hsa-miR-423-5p,31.49,738.78
hsa-miR-424-5p,0.21,0.2
hsa-miR-425-3p,0.62,0.2
hsa-miR-425-5p,1.66,0.49
hsa-miR-429,0.0,0.2
hsa-miR-432-5p,16.37,0.0
hsa-miR-4324,0.0,0.1
hsa-miR-4326,0.0,2014.78
hsa-miR-4429,0.21,0.0
hsa-miR-4443,13.68,0.3
hsa-miR-4466,0.0,325.18
hsa-miR-4508,0.21,0.0
hsa-miR-450a-5p,0.83,0.0
hsa-miR-450b-5p,1.04,0.1
hsa-miR-4516,5.8,16.22
hsa-miR-451a,136.75,4.15
hsa-miR-454-3p,0.21,0.1
hsa-miR-4664-3p,0.21,0.0
hsa-miR-4763-3p,0.0,0.1
hsa-miR-484,0.41,0.0
hsa-miR-485-5p,36.26,558.88
hsa-miR-486-3p,0.21,956.46
hsa-miR-486-5p,18.23,10.09
hsa-miR-493-5p,18.44,0.0
hsa-miR-502-3p,0.21,0.0
hsa-miR-503-5p,0.0,0.1
hsa-miR-505-3p,0.62,0.1
hsa-miR-5196-5p,0.41,0.0
hsa-miR-532-3p,0.0,0.1
hsa-miR-532-5p,0.21,0.2
hsa-miR-542-3p,0.0,0.3
hsa-miR-548az-5p,0.21,0.0
hsa-miR-574-3p,0.83,0.1
hsa-miR-574-5p,45.38,720.29
hsa-miR-584-5p,11.19,0.0
hsa-miR-590-3p,0.62,0.1
hsa-miR-618,0.0,0.1
hsa-miR-623,0.0,0.1
hsa-miR-629-5p,31.29,0.0
hsa-miR-6507-5p,0.21,0.0
hsa-miR-652-3p,1.24,0.1
hsa-miR-652-5p,0.21,0.0
hsa-miR-658,1.66,0.0
hsa-miR-659-5p,0.0,0.1
hsa-miR-660-5p,0.21,0.1
hsa-miR-6729-3p,0.41,0.0
hsa-miR-6785-5p,0.0,0.1
hsa-miR-6893-5p,0.41,0.0
hsa-miR-7-5p,9.95,2829.32
hsa-miR-708-3p,22.79,0.0
hsa-miR-7110-3p,0.21,0.0
hsa-miR-744-3p,0.0,0.1
hsa-miR-744-5p,0.21,0.0
hsa-miR-769-5p,0.21,0.1
hsa-miR-7706,15.54,0.0
hsa-miR-877-5p,0.62,0.0
hsa-miR-887-3p,0.21,0.0
hsa-miR-9-5p,0.0,0.1
hsa-miR-92a-3p,60.71,8.41
hsa-miR-92b-3p,0.21,673.51
hsa-miR-93-5p,14.92,2.77
hsa-miR-941,0.0,0.2
hsa-miR-95-3p,0.0,0.1
hsa-miR-96-5p,18.44,0.1
hsa-miR-98-5p,2.69,1.48
hsa-miR-99a-5p,54.29,1980.17
hsa-miR-99b-3p,0.0,0.2
hsa-miR-99b-5p,53.46,0.49
hsa-mir-1234-3p,0.21,0.0
hsa-mir-639-3p,0.21,0.0
