miRNA,SRR16828727,SRR16828728,SRR16828729,SRR16828730,SRR16828731,SRR16828732,SRR16828733,SRR16828734,SRR16828735,SRR16828736,SRR16828737,SRR16828738,SRR16828739,SRR16828740,SRR16828741
hsa-let-7a-2-3p,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-let-7a-3p,2.08,2.13,5.57,6.15,3.4,0.19,8.65,2.17,7.69,0.09,0.88,0.24,1.51,0.28,2.7
hsa-let-7a-5p,151.36,1667.34,1601.24,1347.4,334.97,505.35,7599.38,3177.32,9452.62,634.95,1970.19,916.57,560.38,135.46,985.75
hsa-let-7b-3p,0.73,3.08,12.41,3.46,3.96,6.48,0.16,6.23,45.03,6.21,3.43,0.0,5.3,3.4,4.69
hsa-let-7b-5p,953.14,5438.87,6856.51,1541.45,1429.41,1076.86,13284.43,10350.78,20477.83,3850.98,2551.83,2572.09,1600.61,3387.23,961.57
hsa-let-7c-3p,0.11,0.21,0.25,0.21,0.06,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7c-5p,29.89,214.49,427.12,216.38,60.87,98.25,1101.97,1596.48,895.13,301.72,409.34,252.06,37.4,58.95,148.91
hsa-let-7d-3p,31.52,324.45,451.44,151.45,144.44,65.97,376.14,272.16,2745.81,122.91,210.51,230.69,165.61,295.29,166.97
hsa-let-7d-5p,59.22,464.5,405.85,220.67,100.04,117.4,802.07,421.21,475.14,135.52,173.44,160.52,83.13,70.14,250.03
hsa-let-7e-3p,0.17,1.17,5.19,2.84,0.31,0.19,0.0,2.61,0.44,2.22,0.62,0.36,0.0,0.0,0.43
hsa-let-7e-5p,3.43,36.05,37.23,27.52,4.84,2.53,0.65,0.43,24.6,10.29,4.57,9.74,8.11,2.83,21.19
hsa-let-7f-1-3p,0.11,0.0,1.52,0.48,0.25,0.0,0.0,4.2,0.0,0.09,0.09,0.36,0.11,1.56,8.11
