miRNA,SRR18686072,SRR18686073,SRR18686074,SRR18686075,SRR18686076,SRR18686077,SRR18686078,SRR18686079,SRR18686080,SRR18686081,SRR18686082,SRR18686083,SRR18686084,SRR18686085,SRR18686086,SRR18686087,SRR18686088,SRR18686089,SRR18686090,SRR18686091,SRR18686092,SRR18686093,SRR18686094,SRR18686095,SRR18686096,SRR18686097,SRR18686098,SRR18686099,SRR18686100,SRR18686101,SRR18686102,SRR18686103
hsa-let-7a-3p,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,2815.26,1874.31,1439.11,1408.0,1121.29,1992.8,2606.42,1491.19,3047.44,1464.57,501.1,592.01,540.74,406.86,278.89,409.26,192.73,468.39,257.18,505.51,465.55,836.22,2663.8,1969.45,6194.0,1450.17,1061.96,1506.68,2106.76,1420.9,610.24,3919.34
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,2869.2,1908.89,1144.18,2056.78,696.31,1127.55,1461.13,1072.73,1303.23,1093.1,510.21,665.39,454.22,518.75,699.95,419.89,188.03,318.77,160.74,366.63,665.79,883.85,3858.64,2408.19,18635.19,3247.3,2730.75,2171.97,3702.94,2276.8,1086.01,6033.02
hsa-let-7c-5p,468.65,79.54,216.75,55.22,65.38,33.16,63.8,46.5,46.07,170.51,9.11,4.89,27.04,74.59,5.47,5.32,0.0,0.0,5.36,5.56,15.02,15.88,49.2,39.0,1347.87,397.63,298.0,9.78,64.4,39.16,10.34,79.66
hsa-let-7d-3p,23.6,0.0,3.55,48.31,6.54,6.03,3.19,16.61,15.36,6.09,4.56,9.79,10.81,10.17,0.0,5.32,0.0,6.51,0.0,5.56,5.01,21.17,77.31,29.25,616.3,38.98,37.93,53.81,202.4,151.04,51.71,185.88
hsa-let-7d-5p,60.69,20.75,24.87,44.86,52.31,63.31,47.85,16.61,98.73,82.21,41.0,29.36,0.0,20.34,10.94,21.26,18.8,26.02,16.07,27.78,30.04,15.88,168.68,63.37,394.61,77.97,21.67,102.73,73.6,44.75,31.03,164.63
hsa-let-7e-5p,107.89,69.16,31.98,27.61,32.69,33.16,54.23,43.17,43.88,18.27,13.67,0.0,27.04,13.56,5.47,0.0,9.4,6.51,5.36,0.0,15.02,5.29,56.23,9.75,57.64,97.46,81.27,78.27,92.0,5.59,10.34,122.15
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,2511.82,1621.87,1222.35,890.35,794.39,1368.73,1700.39,926.6,2264.19,1224.02,482.87,381.62,292.0,366.17,229.67,558.09,178.63,429.36,176.81,372.19,350.41,688.03,1827.41,1803.71,5489.02,1337.12,980.68,944.12,1453.58,1281.05,801.58,2480.12
hsa-let-7g-5p,593.4,397.69,355.34,241.57,199.41,340.68,459.39,312.19,743.76,356.25,100.22,220.17,113.56,159.35,158.58,217.92,65.81,97.58,48.22,161.1,95.11,216.99,759.08,667.86,2895.26,358.65,292.58,273.94,464.59,374.8,103.43,881.59
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,3469.34,1791.32,1549.26,2101.65,1140.91,1537.56,1796.1,1258.71,2018.46,1842.13,733.42,802.39,286.59,589.95,393.72,813.21,183.33,409.84,225.03,677.71,525.62,852.1,3668.87,2110.83,12658.45,2483.23,1522.5,1227.85,2465.56,1521.59,1075.67,3940.58
hsa-miR-1-3p,26.97,0.0,24.87,27.61,173.26,6.03,6.38,26.57,1050.92,6.09,4.56,14.68,5.41,3.39,82.03,26.58,18.8,0.0,0.0,16.67,5.01,10.59,70.28,39.0,44.34,89.66,21.67,4.89,27.6,67.13,20.69,15.93
hsa-miR-100-5p,43.83,24.21,24.87,31.06,101.34,21.1,76.57,33.21,822.74,70.03,4.56,29.36,0.0,3.39,142.18,5.32,0.0,6.51,10.72,0.0,0.0,10.59,56.23,9.75,39.9,31.19,70.44,48.92,23.0,503.47,10.34,10.62
hsa-miR-101-3p,323.67,162.53,85.28,131.14,88.27,120.59,197.79,92.99,228.17,188.78,72.89,53.82,37.85,74.59,49.22,69.1,18.8,58.55,42.86,55.55,65.08,63.51,513.08,292.49,1272.5,179.32,65.02,39.13,197.8,173.42,82.74,377.06
