miRNA,SRR5087322,SRR5087323,SRR5087324,SRR5087325,SRR5087326,SRR5087327
hsa-let-7a-2-3p,0.0,18.64,17.09,20.08,6.65,6.16
hsa-let-7a-3p,0.0,74.55,58.75,69.63,24.93,26.05
hsa-let-7a-5p,0.0,17815.08,15957.86,12793.38,13216.24,13961.0
hsa-let-7b-3p,0.0,9.07,7.72,8.54,4.15,8.68
hsa-let-7b-5p,0.0,1608.84,1680.82,1307.1,2093.07,1935.16
hsa-let-7c-3p,0.0,2.52,3.28,2.99,0.0,0.0
hsa-let-7c-5p,0.0,222.64,240.85,584.35,555.6,210.94
hsa-let-7d-3p,0.0,230.7,208.08,250.74,138.21,122.7
hsa-let-7d-5p,0.0,1530.76,1683.63,1174.26,1192.36,1259.76
hsa-let-7e-3p,0.0,9.57,10.53,7.69,3.32,4.48
hsa-let-7e-5p,0.0,1156.51,1234.69,790.24,1631.64,1532.05
hsa-let-7f-1-3p,0.0,3.02,4.68,6.41,5.26,5.04
hsa-let-7f-2-3p,0.0,3.02,2.57,2.99,4.99,4.2
hsa-let-7f-5p,0.0,28825.6,25060.42,22076.8,27319.34,30172.31
hsa-let-7g-3p,0.0,1.51,0.0,0.43,0.28,0.84
hsa-let-7g-5p,0.0,13441.91,14450.72,11607.16,16447.94,15759.74
hsa-let-7i-3p,0.0,28.71,27.85,26.91,39.61,27.17
hsa-let-7i-5p,0.0,19560.93,22680.21,20271.2,23387.73,21199.64
hsa-miR-1-3p,0.0,17.63,9.36,8.54,4.99,12.33
hsa-miR-100-3p,0.0,2.01,2.81,1.71,0.55,0.0
hsa-miR-100-5p,2.17,132080.85,119105.01,155834.02,98621.43,88634.99
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.28,0.0
hsa-miR-101-3p,2.17,1532.27,1128.19,1560.41,1409.51,1288.33
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.55,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.43,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.23,0.43,0.55,1.68
hsa-miR-10394-3p,8.67,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,2.17,0.0,0.0,0.0,0.28,0.0
hsa-miR-10395-3p,0.0,20.15,39.32,15.8,39.05,29.41
hsa-miR-10395-5p,0.0,0.5,0.23,0.0,0.28,0.56
hsa-miR-10396a-3p,0.0,0.0,0.0,0.85,0.0,0.28
hsa-miR-10396b-3p,0.0,0.0,0.23,0.43,0.28,0.0
hsa-miR-10399-3p,0.0,33.24,39.32,55.53,24.1,28.85
hsa-miR-10399-5p,0.0,1.51,0.23,0.85,0.0,0.28
hsa-miR-103a-2-5p,0.0,0.5,0.0,1.28,1.11,0.56
hsa-miR-103a-3p,0.0,152.62,49.62,51.69,1309.24,1652.51
hsa-miR-10401-3p,4.33,3.53,3.51,1.28,3.32,2.8
hsa-miR-10401-5p,2.17,0.5,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.5,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.5,0.0,0.0,1.94,1.68
hsa-miR-10527-5p,0.0,0.0,0.23,0.43,0.0,0.84
hsa-miR-106a-5p,0.0,1.01,1.4,2.14,0.28,1.12
