miRNA,SRR16775346,SRR16775347,SRR16775348,SRR16775349,SRR16775350,SRR16775351,SRR16775352,SRR16775353,SRR16775354,SRR16775355,SRR16775356,SRR16775357,SRR16775358,SRR16775359,SRR16775360,SRR16775361,SRR16775362,SRR16775363,SRR16775364,SRR16775365,SRR16775366,SRR16775367,SRR16775368,SRR16775369,SRR16775370,SRR16775371,SRR16775372
hsa-miR-33b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.24,1.0,0.84,0.82,1.1,1.23,1.25,1.27,1.91,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-340-3p,0.7,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.45,0.47,5.69,5.04,5.31,1.41,4.23,2.36,4.09,3.18,3.62,0.0,0.0,0.19,0.0,0.0,0.0,0.24,0.0
hsa-miR-340-5p,0.46,1.72,1.06,1.61,2.69,3.01,1.73,4.43,3.34,2.36,35.49,32.52,32.84,4.87,5.32,4.99,4.23,3.61,5.73,0.0,0.0,0.19,0.16,0.0,0.0,0.0,0.0
hsa-miR-342-3p,0.23,0.22,0.18,0.0,0.27,0.43,1.15,0.0,0.0,0.47,5.19,5.04,3.68,0.0,0.0,0.14,0.28,0.11,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-342-5p,0.7,0.65,0.35,0.18,0.54,0.64,0.29,0.74,0.67,0.71,0.17,0.24,0.14,0.0,0.0,0.14,0.28,0.21,0.0,0.39,0.0,0.57,0.16,0.44,0.38,0.24,0.0
hsa-miR-345-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.14,0.0,0.14,0.14,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-345-5p,0.23,1.29,0.53,0.72,2.42,1.72,0.72,0.74,1.56,2.6,16.91,14.4,16.76,6.59,8.45,9.56,9.44,13.06,8.44,0.0,0.23,0.19,0.0,0.44,0.57,0.0,0.42
hsa-miR-346,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.84,0.72,0.41,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-34a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-34a-5p,0.0,0.22,0.0,0.18,0.0,0.0,0.14,0.37,0.22,0.47,3.52,3.48,3.41,1.57,0.95,0.69,1.27,1.8,0.75,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0
hsa-miR-34b-5p,0.23,0.22,0.0,0.0,0.27,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.0
hsa-miR-34c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3605-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.17,0.0,0.27,0.0,0.27,0.28,0.14,0.42,0.45,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0
hsa-miR-3605-5p,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.14,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.46,0.43,0.0,0.36,1.08,2.36,1.44,2.58,0.67,2.6,18.08,17.4,15.26,10.05,8.86,9.15,12.68,10.4,11.61,0.0,0.23,0.0,0.16,0.44,0.38,0.24,0.0
