miRNA,SRR18439762
hsa-let-7b-3p,155
hsa-let-7e-3p,161
hsa-miR-195-5p,184
hsa-miR-1287-5p,150
hsa-miR-99a-5p,214
hsa-miR-652-3p,178
hsa-miR-421,149
hsa-miR-548ah-3p,123
hsa-miR-125a-3p,291
hsa-miR-1304-3p,385
hsa-miR-194-5p,348
hsa-miR-193b-5p,170
hsa-miR-4664-3p,189
hsa-miR-185-3p,164
hsa-miR-30c-1-3p,167
hsa-miR-671-5p,158
hsa-miR-16-2-3p,230
hsa-miR-196a-5p,155
hsa-miR-1275,242
hsa-miR-548u,113
hsa-miR-548bc,242
hsa-miR-3909,128
hsa-miR-935,155
hsa-miR-625-3p,117
hsa-miR-19a-3p,163
hsa-miR-556-3p,101
hsa-miR-4286,117
hsa-miR-320b,153
hsa-miR-181b-3p,332
hsa-miR-215-5p,113
hsa-miR-548j-3p,90
hsa-miR-3940-3p,107
hsa-miR-33b-5p,86
hsa-miR-3934-5p,175
hsa-miR-1306-5p,85
hsa-let-7a-2-3p,93
hsa-miR-26a-2-3p,87
hsa-miR-100-3p,82
hsa-miR-28-5p,181
hsa-miR-1249-3p,182
hsa-miR-3681-5p,96
hsa-miR-33a-3p,147
hsa-miR-148a-5p,76
hsa-miR-92b-5p,128
hsa-miR-331-3p,99
hsa-miR-192-3p,75
hsa-miR-210-5p,114
hsa-miR-93-3p,121
hsa-miR-497-5p,95
hsa-miR-365b-3p,104
hsa-miR-190a-5p,116
hsa-miR-33b-3p,65
hsa-miR-874-3p,128
hsa-miR-29a-5p,88
hsa-miR-493-3p,61
hsa-miR-3074-5p,66
hsa-miR-501-5p,85
hsa-miR-128-1-5p,122
hsa-miR-625-5p,77
hsa-let-7a-3p,149
hsa-miR-155-5p,91
hsa-miR-181c-3p,80
hsa-miR-532-3p,75
hsa-miR-378d,60
hsa-miR-7706,106
hsa-miR-652-5p,114
hsa-miR-548k,61
hsa-miR-199a-5p,58
hsa-miR-505-3p,141
hsa-miR-1288-3p,51
hsa-miR-1283,60
hsa-miR-30b-3p,74
hsa-miR-16-1-3p,50
hsa-miR-548n,70
hsa-miR-23a-5p,77
hsa-miR-375-3p,78
hsa-miR-4443,54
