miRNA,SRR22954880,SRR22954881,SRR22954882,SRR22954883,SRR22954884,SRR22954885,SRR22954886,SRR22954887,SRR22954888,SRR22954889,SRR22954890,SRR22954891,SRR22954892,SRR22954893,SRR22954894,SRR22954895,SRR22954896,SRR22954897,SRR22954898,SRR22954899
hsa-let-7a-2-3p,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,17.83,18.35,14.82,36.89,53.08,26.25,10.18,29.29,20.72,21.49,30.91,18.76,15.35,20.28,12.79,31.24,38.9,41.38,18.39,21.96
hsa-let-7a-5p,15153.48,10465.27,8565.15,9750.79,16862.26,9560.02,5721.61,12934.22,7023.0,8660.05,10939.05,7697.35,7369.07,5421.24,5862.75,8374.75,9714.18,17780.03,6097.8,5231.16
hsa-let-7b-3p,33.52,11.87,17.2,24.78,22.75,14.73,8.48,23.01,14.35,13.53,39.5,22.58,16.31,7.85,8.36,11.07,24.31,44.21,21.83,4.52
hsa-let-7b-5p,10296.04,5021.11,4985.27,6210.81,9636.12,7066.13,3983.64,6826.18,5213.05,5191.42,6337.61,4494.23,4176.83,2480.02,3349.44,4830.31,5194.33,8330.83,3511.71,2743.14
hsa-let-7c-3p,0.0,1.08,2.96,5.19,11.85,1.28,1.13,12.55,0.0,0.0,6.87,1.91,0.0,2.62,1.48,0.0,2.08,10.61,2.3,3.23
hsa-let-7c-5p,2998.04,2145.5,1518.06,2181.51,6372.58,2386.32,1627.72,3441.07,2008.17,2507.38,3770.71,2550.85,1287.84,1129.78,997.95,2108.32,2069.26,4869.97,1580.61,1367.37
hsa-let-7d-3p,212.17,210.45,171.37,187.32,301.9,171.6,157.74,247.92,166.86,195.75,163.57,151.58,108.92,131.49,107.71,149.07,191.71,349.09,115.49,83.32
hsa-let-7d-5p,1421.53,1332.85,1283.82,1228.79,1902.86,1189.0,956.62,1354.15,1110.63,1396.53,1417.18,1198.11,963.0,808.57,933.02,1242.37,1065.54,1853.69,916.42,765.39
hsa-let-7e-3p,12.91,0.0,0.0,7.49,16.59,5.76,2.26,6.28,1.06,3.18,11.16,0.0,0.0,0.65,1.48,7.91,11.81,4.6,2.87,5.17
