miRNA,SRR24831285
hsa-miR-541-3p,0.4
hsa-miR-550a-3p,0.4
hsa-miR-377-3p,0.4
hsa-miR-200c-3p,0.53
hsa-let-7d-3p,0.93
hsa-miR-15b-3p,0.53
hsa-miR-320d,0.53
hsa-miR-138-5p,0.53
hsa-miR-4746-5p,0.53
hsa-miR-154-3p,0.4
hsa-miR-584-5p,0.4
hsa-miR-92b-5p,0.4
hsa-miR-548e-3p,0.4
hsa-mir-3159-5p,0.93
hsa-miR-365a-5p,0.27
hsa-miR-196b-5p,0.27
hsa-miR-181b-3p,0.27
hsa-miR-516b-5p,0.27
hsa-miR-668-3p,0.27
hsa-miR-708-5p,0.66
hsa-miR-1307-5p,0.27
hsa-miR-107,0.27
hsa-miR-4497,0.66
hsa-miR-152-5p,0.27
hsa-miR-4473,0.27
hsa-miR-3152-5p,0.4
hsa-miR-365b-5p,0.53
hsa-miR-1197,0.27
hsa-miR-1285-5p,0.53
hsa-miR-132-5p,0.66
hsa-miR-200a-3p,0.4
hsa-miR-27a-5p,0.4
hsa-miR-328-3p,0.27
hsa-miR-6793-5p,0.27
hsa-miR-4488,0.53
hsa-miR-1278,0.27
hsa-miR-485-3p,0.27
hsa-miR-1-3p,0.4
hsa-miR-3613-5p,0.27
hsa-miR-486-5p,0.4
hsa-miR-4423-3p,0.27
hsa-miR-1843,0.27
hsa-miR-548o-3p,0.27
hsa-miR-671-5p,0.27
hsa-miR-1193,0.27
hsa-miR-651-5p,0.27
hsa-miR-181d-5p,0.27
hsa-miR-483-5p,0.27
hsa-miR-370-5p,0.4
hsa-miR-103a-3p,0.4
hsa-miR-224-3p,0.27
hsa-miR-16-2-3p,0.27
hsa-miR-501-3p,0.4
hsa-miR-10395-3p,0.53
hsa-miR-376c-3p,0.27
hsa-miR-17-3p,0.27
hsa-miR-9-5p,0.53
hsa-miR-16-5p,0.4
hsa-miR-148a-5p,0.27
hsa-miR-218-1-3p,0.27
hsa-miR-23b-5p,0.27
hsa-miR-1303,0.53
hsa-miR-4326,0.4
hsa-miR-125b-2-3p,0.27
hsa-miR-652-3p,0.27
hsa-miR-4433b-3p,0.27
hsa-miR-508-3p,0.27
hsa-miR-942-5p,0.27
hsa-miR-1248,0.53
hsa-miR-29b-3p,0.13
hsa-miR-212-5p,0.13
hsa-miR-203a-3p,0.13
hsa-miR-6515-5p,0.27
hsa-miR-376a-5p,0.13
hsa-miR-6511b-3p,0.13
hsa-miR-5683,0.13
hsa-miR-935,0.13
hsa-miR-548j-5p,0.13
hsa-mir-12121-5p,0.13
hsa-miR-3150b-3p,0.13
hsa-miR-605-3p,0.13
hsa-miR-30c-2-3p,0.13
hsa-mir-1268b-5p,0.13
hsa-miR-200a-5p,0.13
hsa-miR-2110,0.13
hsa-miR-9-3p,0.13
hsa-miR-874-3p,0.27
hsa-miR-296-3p,0.13
hsa-mir-1273c-5p,0.13
hsa-miR-2682-3p,0.13
hsa-miR-506-3p,0.13
hsa-miR-215-5p,0.13
hsa-miR-5000-5p,0.13
hsa-miR-505-3p,0.13
hsa-miR-331-5p,0.13
hsa-miR-452-3p,0.13
hsa-miR-429,0.4
hsa-miR-641,0.13
hsa-miR-323a-5p,0.13
hsa-miR-222-5p,0.27
hsa-miR-1293,0.13
hsa-miR-149-5p,0.4
hsa-let-7b-3p,0.13
hsa-miR-378c,0.27
hsa-miR-193b-5p,0.27
hsa-miR-339-3p,0.13
hsa-miR-3665,0.13
hsa-miR-765,0.13
hsa-miR-183-5p,0.27
hsa-miR-16-1-3p,0.13
hsa-miR-21-3p,0.27
hsa-miR-146b-3p,0.13
hsa-miR-148b-5p,0.27
hsa-miR-7-1-3p,0.27
hsa-miR-30a-3p,0.13
hsa-miR-194-5p,0.13
hsa-miR-3916,0.13
hsa-miR-1307-3p,0.27
hsa-miR-4496,0.13
hsa-miR-1299,0.13
hsa-miR-132-3p,0.13
hsa-miR-664a-5p,0.13
hsa-miR-19b-3p,0.13
hsa-miR-2277-5p,0.13
hsa-miR-380-5p,0.13
hsa-miR-28-5p,0.4
hsa-miR-7704,0.13
hsa-miR-509-3-5p,0.13
hsa-miR-6881-3p,0.13
hsa-miR-7706,0.13
hsa-miR-487a-3p,0.13
hsa-miR-299-3p,0.27
hsa-miR-301b-3p,0.13
hsa-mir-1291-5p,0.13
hsa-miR-3176,0.13
hsa-miR-1301-3p,0.13
hsa-let-7a-3p,0.13
hsa-miR-431-3p,0.13
hsa-miR-182-5p,0.13
hsa-miR-301a-5p,0.13
hsa-miR-1245a,0.13
hsa-miR-345-5p,0.13
hsa-miR-142-5p,0.13
hsa-miR-25-5p,0.13
hsa-miR-126-3p,0.27
hsa-miR-361-5p,0.13
hsa-miR-2355-5p,0.13
