miRNA,SRR27277256,SRR27277257,SRR27277258,SRR27277259,SRR27277260,SRR27277261,SRR27277262,SRR27277263
hsa-miR-126-5p,0.0,69.15,81.99,26.72,5.42,816.14,41.39,35.4
hsa-miR-1260b,0.0,25.3,5.75,0.0,0.68,1.43,0.38,5.06
hsa-miR-1262,0.0,0.0,0.0,0.6,0.0,120.19,0.0,0.0
hsa-miR-1268a,0.0,0.0,4.32,0.0,0.0,0.0,2.63,1.44
hsa-miR-1268b,0.0,0.0,7.19,1.5,0.0,0.0,0.38,0.0
hsa-miR-1269a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
hsa-miR-127-3p,5.18,133.25,64.73,26.72,14.91,417.57,24.83,18.42
hsa-miR-127-5p,0.0,38.79,0.0,0.0,0.0,0.0,1.51,0.0
hsa-miR-1271-5p,0.0,0.0,0.0,0.3,0.0,0.0,1.88,4.33
hsa-miR-1273c,0.0,0.0,5.75,0.0,0.0,0.0,0.38,0.0
hsa-miR-1273h-3p,0.0,0.0,40.28,13.21,0.0,0.0,10.91,36.85
hsa-miR-1273h-5p,0.0,0.0,1.44,9.01,1.36,0.48,8.65,16.98
hsa-miR-1275,0.0,0.0,1.44,0.0,1.36,0.0,0.0,0.0
hsa-miR-1276,0.0,0.0,0.0,0.3,0.0,0.0,0.75,0.0
hsa-miR-1278,0.0,0.0,5.75,1.2,0.0,0.0,3.39,5.42
hsa-miR-128-1-5p,0.0,0.0,0.0,0.6,0.0,0.95,0.75,5.06
hsa-miR-128-3p,14.23,107.95,1372.31,1076.92,78.61,362.94,1004.24,2069.2
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.48,1.88,3.61
hsa-miR-1284,0.0,0.0,0.0,0.6,0.0,0.0,0.38,0.0
hsa-miR-1285-3p,0.0,33.73,12.95,9.31,0.0,0.48,10.16,4.7
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72
hsa-miR-1287-5p,0.0,0.0,5.75,0.0,0.0,0.48,5.64,3.61
hsa-miR-1288-3p,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.53
hsa-miR-1289,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0
hsa-miR-129-5p,0.0,0.0,10.07,2.4,0.68,0.48,0.38,2.17
hsa-miR-1291,0.0,0.0,2.88,0.0,0.0,0.0,0.75,0.72
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.63,2.53
hsa-miR-1293,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,15.82,7.81,0.0,0.0,7.9,10.48
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44
hsa-miR-1296-5p,0.0,0.0,2.88,0.0,0.0,0.48,0.0,1.08
hsa-miR-1298-5p,0.0,0.0,0.0,2.4,0.68,15.68,0.38,0.0
hsa-miR-1299,0.0,0.0,12.95,50.14,0.0,0.0,0.38,7.59
hsa-miR-1301-3p,0.0,0.0,24.45,25.82,10.17,0.95,56.06,119.57
hsa-miR-1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44
hsa-miR-1303,0.0,0.0,0.0,0.6,0.0,1.43,0.38,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,71.26,3.76,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,4.8,0.0,0.0,1.88,17.34
hsa-miR-1306-3p,0.0,0.0,1.44,1.5,0.0,0.0,2.26,1.08
hsa-miR-1306-5p,0.0,0.0,4.32,1.5,0.0,0.0,0.0,1.44
hsa-miR-1307-3p,9.06,114.69,476.14,226.37,53.54,405.22,176.84,503.57
hsa-miR-1307-5p,0.0,0.0,2.88,3.9,0.0,0.48,5.64,9.39
hsa-miR-130a-3p,0.0,30.36,8.63,8.71,2.71,5.7,7.15,5.78
