miRNA,SRR8992368,SRR8992369,SRR8992370,SRR8992371,SRR8992378,SRR8992379,SRR8992380,SRR8992381,SRR8992382,SRR8992383,SRR8992384,SRR8992385,SRR8992387,SRR8992388,SRR8992389,SRR8992390,SRR8992391
hsa-miR-218-2-3p,2.0,1.0,7.0,0.0,0.0,1.0,4.0,2.0,5.0,2.0,3.0,7.0,7.0,4.0,6.0,2.0,7.0
hsa-miR-218-5p,13676.0,11551.0,26653.0,7516.0,7678.0,18766.0,19647.0,31456.0,18392.0,36776.0,12382.0,24804.0,17612.0,18918.0,36378.0,7574.0,23215.0
hsa-miR-219a-2-3p,429.0,4423.0,12570.0,1468.0,1466.0,799.0,577.0,2383.0,7601.0,12277.0,6097.0,3921.0,4687.0,3595.0,10572.0,870.0,7801.0
hsa-miR-219a-5p,27.0,86.0,163.0,65.0,10.0,70.0,52.0,67.0,33.0,133.0,27.0,92.0,85.0,102.0,179.0,61.0,170.0
hsa-miR-219b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-22-3p,10304.0,10812.0,24523.0,8305.0,7018.0,9538.0,14627.0,17515.0,20087.0,27169.0,13132.0,21440.0,14710.0,17975.0,21427.0,8013.0,21705.0
hsa-miR-22-5p,397.0,433.0,1021.0,318.0,264.0,366.0,539.0,504.0,614.0,943.0,484.0,788.0,549.0,569.0,664.0,302.0,905.0
hsa-miR-221-3p,2663.0,7848.0,15177.0,5731.0,4925.0,2450.0,11513.0,5729.0,4207.0,7419.0,6971.0,11846.0,7788.0,9696.0,12939.0,3984.0,5966.0
hsa-miR-221-5p,73.0,106.0,248.0,82.0,79.0,102.0,216.0,176.0,106.0,212.0,131.0,248.0,171.0,165.0,271.0,81.0,92.0
hsa-miR-222-3p,2360.0,2858.0,8662.0,2362.0,2533.0,1842.0,4239.0,4652.0,4542.0,6065.0,3632.0,5491.0,4087.0,3431.0,4963.0,2045.0,2905.0
hsa-miR-222-5p,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-223-3p,11.0,16.0,16.0,12.0,29.0,21.0,33.0,61.0,17.0,41.0,61.0,32.0,46.0,61.0,44.0,20.0,91.0
hsa-miR-223-5p,20.0,29.0,67.0,30.0,89.0,29.0,49.0,35.0,43.0,67.0,66.0,51.0,126.0,89.0,42.0,34.0,196.0
hsa-miR-224-3p,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-224-5p,15.0,2.0,21.0,8.0,14.0,10.0,14.0,18.0,10.0,15.0,8.0,17.0,21.0,16.0,11.0,7.0,17.0
hsa-miR-2276-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
