miRNA,ERR1682041,ERR1682042,ERR1682043,ERR1682044,ERR1682045,ERR1682046,ERR1682047,ERR1682048,ERR1682049,ERR1682050,ERR1682051,ERR1682052,ERR1682053,ERR1682054,ERR1682055,ERR1682056,ERR1682057,ERR1682058,ERR1682059,ERR1682060,ERR1682061,ERR1682062,ERR1682063,ERR1682064,ERR1682065
hsa-miR-509-3p,0.0,0.0,4.64,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,10.47,0.0,0.0,0.0,0.0,18.87,0.0,0.0,0.0,0.0
hsa-miR-509-5p,0.0,3.26,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.73,0.0,0.0,0.0,0.0
hsa-miR-510-5p,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-513a-5p,10.66,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.41,0.0,10.47,0.0,10.1,0.0,25.14,18.87,0.0,0.0,0.0,0.0
hsa-miR-513b-5p,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-513c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38,0.0
hsa-miR-513c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,8.29,10.1,0.0,0.0,0.0,24.39,0.0,0.0,0.0
hsa-miR-514a-3p,10.66,16.29,4.64,0.0,33.99,20.88,0.0,0.0,0.0,0.0,4.38,0.0,0.0,33.2,12.67,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-514a-5p,10.66,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48,16.6,0.0,6.98,0.0,20.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-514b-5p,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,4.38,0.0,0.0,16.6,25.33,3.49,0.0,10.1,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-515-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5187-5p,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-518a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.87,0.0,0.0,0.0,0.0
hsa-miR-522-3p,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-524-5p,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-532-3p,42.64,68.41,143.95,15.3,0.0,76.58,32.45,20.05,47.77,108.28,50.34,39.0,37.44,49.81,25.33,45.37,66.32,20.19,25.71,175.99,132.06,73.17,0.0,83.8,0.0
hsa-miR-532-5p,10.66,19.55,55.72,0.0,33.99,13.92,0.0,3.34,23.88,43.31,30.64,39.0,37.44,49.81,0.0,31.41,24.87,20.19,25.71,75.42,75.46,73.17,0.0,108.94,0.0
hsa-miR-539-5p,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-542-3p,10.66,39.09,13.93,0.0,0.0,3.48,10.82,0.0,5.97,32.48,6.57,13.0,12.48,49.81,0.0,13.96,33.16,10.1,0.0,50.28,0.0,48.78,0.0,0.0,0.0
hsa-miR-542-5p,0.0,0.0,23.22,0.0,0.0,0.0,0.0,3.34,0.0,0.0,8.76,13.0,12.48,0.0,0.0,10.47,8.29,10.1,8.57,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.39,0.0,0.0,0.0
hsa-miR-545-3p,21.32,16.29,9.29,0.0,0.0,10.44,0.0,0.0,0.0,0.0,8.76,13.0,0.0,0.0,12.67,0.0,8.29,10.1,0.0,0.0,0.0,24.39,0.0,0.0,0.0
hsa-miR-545-5p,0.0,9.77,9.29,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,10.1,0.0,25.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ae-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.29,0.0,0.0,25.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ai,0.0,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,0.0,0.0,0.0,0.0,0.0
