miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-miR-382-3p,0.12,1.35,1.34,5.66,1.15,0.49,0.0,0.0,0.49,0.0
hsa-miR-382-5p,5.13,40.15,29.74,41.02,31.53,69.03,24.86,9.81,111.26,14.87
hsa-miR-383-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
hsa-miR-3909,0.0,1.35,2.79,0.0,3.35,2.57,0.0,0.0,0.0,0.87
hsa-miR-3911,0.24,0.12,0.0,0.0,0.0,0.37,0.22,0.46,0.0,0.0
hsa-miR-3912-3p,0.0,0.49,0.24,0.0,0.52,0.0,0.0,0.0,0.0,0.0
hsa-miR-3913-5p,0.37,0.0,3.52,2.88,2.62,1.47,3.0,11.54,1.59,6.32
hsa-miR-3916,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3917,0.0,0.0,0.0,0.0,0.1,0.98,0.0,0.0,0.0,0.0
hsa-miR-3918,0.0,0.37,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3920,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0
hsa-miR-3922-3p,0.0,0.12,1.09,0.0,1.36,0.49,1.66,3.23,1.47,1.49
hsa-miR-3928-3p,0.73,1.47,12.5,4.06,8.69,5.39,3.88,5.08,13.57,0.87
hsa-miR-3929,0.0,0.25,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3934-5p,0.0,0.98,0.97,0.0,0.1,0.37,0.0,0.0,0.24,0.0
hsa-miR-3938,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3939,0.12,0.12,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.5
hsa-miR-3940-3p,0.0,0.12,0.0,0.0,0.84,0.61,3.55,2.66,3.42,3.22
hsa-miR-3940-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-3942-5p,0.0,0.0,0.49,0.0,0.31,0.0,0.0,0.0,0.0,0.0
hsa-miR-3944-3p,0.0,0.0,0.36,0.0,0.1,0.37,0.22,0.0,0.0,0.0
hsa-miR-3944-5p,0.0,0.25,0.24,2.46,2.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-3960,0.0,0.12,0.36,0.32,0.1,0.12,0.67,0.58,0.0,0.12
hsa-miR-409-3p,15.87,112.11,110.94,61.32,71.55,152.01,178.46,108.16,285.13,218.9
hsa-miR-409-5p,0.12,0.49,0.36,0.0,0.52,0.98,0.55,0.0,3.42,0.5
hsa-miR-410-3p,0.0,0.74,0.49,0.0,0.1,0.0,0.44,0.0,0.0,0.0
hsa-miR-411-3p,0.0,0.25,0.0,0.0,0.52,0.24,0.33,0.0,0.0,1.36
hsa-miR-411-5p,0.12,0.61,0.61,1.6,2.72,1.71,1.89,1.04,0.12,2.85
hsa-miR-412-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-412-5p,0.0,1.11,4.49,0.0,0.94,0.98,0.0,2.77,0.0,1.12
hsa-miR-421,1.95,8.35,3.76,7.16,5.87,3.92,1.44,0.0,4.03,1.24
hsa-miR-422a,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-423-3p,375.32,96.88,232.32,232.03,416.41,438.05,224.97,381.74,231.33,848.34
hsa-miR-423-5p,460.54,764.12,943.34,814.45,1763.91,2712.15,658.36,7988.57,19621.12,2611.71
hsa-miR-424-3p,5.13,21.73,49.52,113.45,20.85,59.36,58.82,11.54,45.12,78.21
hsa-miR-424-5p,0.49,2.33,4.86,1.5,1.99,1.22,0.89,0.0,0.0,1.12
hsa-miR-425-3p,3.78,13.02,13.11,14.85,28.6,49.08,16.2,43.52,47.93,10.66
