miRNA,GSM3165497,GSM3165508,GSM3165510,GSM3165511
hsa-miR-25-5p,18.77,0.0,0.0,0.0
hsa-miR-26a-5p,1332.91,6885.01,729.25,1022.4
hsa-miR-26b-5p,131.41,1222.57,59.77,60.14
hsa-miR-27a-3p,187.73,257.38,239.1,300.71
hsa-miR-27a-5p,0.0,0.0,11.95,0.0
hsa-miR-27b-3p,919.89,5276.37,561.88,1022.4
hsa-miR-28-3p,225.28,321.73,59.77,90.21
hsa-miR-28-5p,9.39,64.35,0.0,0.0
hsa-miR-29a-3p,65.71,579.11,35.86,30.07
hsa-miR-29b-3p,9.39,64.35,0.0,0.0
hsa-miR-29c-3p,0.0,128.69,11.95,0.0
hsa-miR-301b-3p,9.39,0.0,0.0,0.0
hsa-miR-30a-3p,0.0,64.35,0.0,0.0
hsa-miR-30a-5p,112.64,514.77,71.73,240.57
hsa-miR-30b-5p,56.32,386.08,0.0,90.21
hsa-miR-30c-5p,131.41,257.38,0.0,30.07
hsa-miR-30d-3p,9.39,0.0,0.0,0.0
hsa-miR-30d-5p,459.95,1222.57,191.28,150.35
hsa-miR-30e-3p,18.77,64.35,0.0,0.0
hsa-miR-30e-5p,197.12,514.77,143.46,90.21
hsa-miR-31-5p,0.0,0.0,35.86,0.0
hsa-miR-3173-5p,9.39,0.0,0.0,0.0
hsa-miR-32-3p,0.0,64.35,0.0,0.0
hsa-miR-320a-3p,56.32,64.35,11.95,60.14
hsa-miR-320b,0.0,0.0,83.68,90.21
hsa-miR-323b-3p,9.39,0.0,0.0,0.0
hsa-miR-324-3p,0.0,64.35,0.0,0.0
hsa-miR-328-3p,0.0,0.0,11.95,0.0
hsa-miR-335-3p,9.39,0.0,0.0,0.0
hsa-miR-335-5p,18.77,64.35,11.95,30.07
hsa-miR-338-3p,0.0,0.0,23.91,0.0
hsa-miR-339-3p,9.39,0.0,11.95,0.0
hsa-miR-340-5p,9.39,193.04,11.95,0.0
hsa-miR-342-3p,28.16,193.04,0.0,0.0
hsa-miR-342-5p,9.39,0.0,0.0,0.0
hsa-miR-345-5p,9.39,0.0,0.0,0.0
hsa-miR-34a-5p,9.39,0.0,0.0,0.0
hsa-miR-361-3p,18.77,0.0,0.0,0.0
