miRNA,SRR18284361,SRR18284362,SRR18284363,SRR18284364,SRR18284365,SRR18284366,SRR18284367,SRR18284368,SRR18284369,SRR18284370,SRR18284371,SRR18284372,SRR18284373,SRR18284374,SRR18284375,SRR18284376,SRR18284377,SRR18284378,SRR18284379,SRR18284380,SRR18284381,SRR18284382,SRR18284383,SRR18284384,SRR18284385,SRR18284386,SRR18284387,SRR18284388,SRR18284389,SRR18284390
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.04,1.68,4.46,2.27,0.75,0.41,3.26,6.66,1.88,11.05,20.06,1.79,0.34,0.0,2.07,2.95,46.65,11.82,5.21,6.78,2.59,1.54,0.45,11.87,3.76,1.66,2.37,5.05,1.97,23.06
hsa-let-7a-5p,736.51,1305.45,8404.88,11683.34,1201.09,3854.77,6525.95,9164.1,1601.16,9458.51,27060.76,10854.19,988.06,1127.61,3587.58,5182.3,14758.89,7543.75,8618.72,5022.13,2141.91,4826.32,1296.02,4032.07,5069.7,2668.42,5786.11,6959.46,1503.49,17772.08
hsa-let-7b-3p,0.38,0.1,4.08,2.54,2.54,0.95,0.58,3.83,1.13,27.23,28.6,1.32,0.11,1.54,2.42,0.72,39.79,6.6,1.8,4.8,0.9,2.27,1.5,27.45,3.95,2.17,1.38,8.58,1.64,75.89
hsa-let-7b-5p,2885.03,3336.77,3606.99,6863.16,2451.56,2563.65,3417.75,7159.91,2448.86,8245.45,14885.13,3247.64,1851.02,1805.31,6130.91,2557.54,36670.08,4864.53,4494.53,6883.43,2140.9,3243.67,2278.39,15334.39,5461.36,2922.45,8069.64,8884.84,2367.5,13479.08
hsa-let-7c-3p,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.19,0.0,0.0,0.0,0.0,0.63,0.0,0.0,1.25,0.0,0.0,0.0,1.21,0.58,0.38,0.0,0.0,0.0,0.0
hsa-let-7c-5p,53.51,62.94,466.73,406.3,198.61,103.74,129.13,646.36,102.59,986.96,381.25,185.02,90.05,313.54,194.11,102.16,348.85,115.64,574.2,246.94,241.04,392.1,103.3,163.84,1363.0,1074.64,309.44,316.74,109.02,595.88
hsa-let-7d-3p,73.88,44.41,161.86,198.3,51.82,33.36,118.53,251.08,44.66,1183.6,1201.99,176.84,46.68,42.92,81.21,99.03,1874.94,392.01,107.46,185.1,51.76,70.83,49.4,1176.44,174.44,107.63,201.82,196.05,64.44,1397.76
hsa-let-7d-5p,62.04,95.72,1234.36,1223.33,81.88,363.02,643.69,770.24,118.67,1147.74,3268.95,1181.11,70.65,76.41,267.49,712.9,1234.02,806.39,988.21,539.34,228.21,368.04,84.68,314.7,430.11,308.86,409.37,340.02,131.43,1826.12
hsa-let-7e-3p,0.0,0.0,0.38,0.36,0.0,0.0,0.35,1.5,0.47,0.19,0.86,0.47,0.11,0.0,0.0,0.18,0.84,0.64,0.18,0.83,0.23,0.09,0.0,0.28,0.96,1.79,0.0,0.0,0.0,2.18
