miRNA,SRR22951306,SRR22951307,SRR22951308,SRR22951309,SRR22951310,SRR22951311,SRR22951312,SRR22951313,SRR22951314,SRR22951315,SRR22951316,SRR22951317,SRR22951318,SRR22951319,SRR22951320,SRR22951321,SRR22951322,SRR22951323,SRR22951324,SRR22951325
hsa-let-7a-3p,7.1,3.08,22.17,0.0,7.25,0.0,1.57,0.95,1.0,10.48,0.0,1.7,4.0,0.22,1.69,0.3,0.0,12.94,0.0,12.79
hsa-let-7a-5p,7532.83,4198.9,9369.46,2881.42,1826.05,3497.48,7121.11,2697.24,12155.66,3591.06,3745.15,7934.86,14736.43,2037.52,4661.11,1031.65,7519.4,8630.85,10548.13,7939.34
hsa-let-7b-3p,4.05,6.16,11.88,0.93,3.62,0.0,3.14,0.95,20.9,4.76,8.42,21.19,1.33,5.66,3.65,3.58,14.01,15.82,10.6,44.0
hsa-let-7b-5p,2423.76,3744.5,4444.0,2311.49,965.56,1724.69,7548.22,2624.11,11178.43,2585.45,2703.57,9635.94,14961.27,3016.03,4071.73,984.85,15875.01,6991.33,9969.06,6594.62
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.27,0.0,0.0,1.97,0.3,0.0,0.0,0.0,0.0
hsa-let-7c-5p,738.99,990.42,368.22,478.37,204.71,267.0,3223.73,724.64,3243.17,418.05,515.3,2390.76,4955.07,751.12,689.72,108.5,5825.98,2085.23,1413.99,542.63
hsa-let-7d-3p,94.27,89.34,842.55,99.04,85.14,42.09,227.69,73.13,570.22,574.23,157.12,218.31,373.61,90.52,177.63,36.37,152.41,157.19,823.56,1602.87
hsa-let-7d-5p,439.95,221.81,1068.24,90.63,72.46,138.31,131.9,101.62,279.63,320.92,169.57,206.01,411.64,64.62,215.85,35.47,51.39,237.71,267.96,769.0
hsa-let-7e-3p,0.0,0.0,0.0,3.74,0.0,0.0,0.0,2.85,2.99,0.95,0.73,0.0,0.0,0.0,0.28,0.89,0.0,0.0,5.3,1.32
hsa-let-7e-5p,50.69,53.91,98.19,32.7,9.06,6.01,89.5,38.94,82.6,29.52,46.51,155.57,276.88,40.91,118.33,18.18,95.77,111.19,189.24,60.35
hsa-let-7f-1-3p,3.04,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.67,0.0,1.69,0.3,0.0,1.92,0.0,8.46
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.38
hsa-let-7f-5p,3908.84,1848.38,2190.33,1080.07,1061.57,1302.54,2699.27,1456.89,4117.9,2635.92,1054.77,2005.44,6412.16,792.03,1851.07,438.77,3532.26,4112.94,2665.99,4034.54
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,2643.74,1759.04,4664.93,641.87,706.51,782.96,1083.48,727.49,2257.98,3463.45,802.43,1333.57,2315.74,352.93,1163.31,374.68,579.85,2240.98,1836.37,5562.96
hsa-let-7i-3p,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,1.69,0.0,0.0,2.88,0.0,6.39
hsa-let-7i-5p,1794.25,1230.71,3831.88,922.17,576.08,742.07,1887.45,1005.76,2769.48,3415.84,679.01,1068.21,3852.24,631.45,969.66,231.31,1588.32,1534.09,2360.18,4844.15
hsa-miR-1-3p,0.0,9.24,26.92,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.48,0.0,1.32
hsa-miR-100-5p,17.23,30.81,235.98,0.93,3.62,0.0,58.1,44.64,56.72,19.05,39.55,67.4,44.7,36.77,89.94,11.63,162.92,72.85,53.74,63.93
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
hsa-miR-101-3p,199.7,56.99,503.63,43.91,114.13,31.27,64.38,77.88,216.94,668.5,69.59,47.9,396.97,55.92,142.78,30.11,117.37,213.27,155.93,453.5
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.38
