miRNA,SRR11605206,SRR11605207,SRR11605208,SRR11605209,SRR11605210,SRR11605211,SRR11605212,SRR11605213,SRR11605214,SRR11605215,SRR11605216,SRR11605217,SRR11605218,SRR11605219,SRR11605220,SRR11605221
hsa-miR-125a-5p,79.0,51.0,21.0,30.0,25.0,31.0,75.0,74.0,358.0,134.0,87.0,136.0,63.0,7.0,31.0,11.0
hsa-miR-125b-1-3p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,43.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125b-5p,26.0,20.0,15.0,20.0,24.0,27.0,21.0,9.0,151.0,84.0,16.0,6.0,0.0,1.0,0.0,0.0
hsa-miR-126-3p,0.0,1.0,0.0,0.0,128.0,193.0,13.0,29.0,31.0,16.0,158.0,191.0,1.0,0.0,0.0,1.0
hsa-miR-126-5p,0.0,0.0,0.0,0.0,116.0,146.0,29.0,25.0,64.0,27.0,136.0,148.0,0.0,1.0,1.0,2.0
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,13.0
hsa-miR-1262,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0
hsa-miR-1269a,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,49.0,44.0,7.0,6.0,18.0,13.0,0.0,2.0,138.0,59.0,11.0,28.0,131.0,91.0,46.0,111.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,10.0,0.0,22.0,39.0,33.0,32.0
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-1275,0.0,0.0,0.0,1.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,30.0,46.0,65.0
hsa-miR-1276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0
hsa-miR-128-1-5p,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
hsa-miR-128-3p,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.0,4.0,1.0,9.0,20.0,0.0,20.0
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0
hsa-miR-1289,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0
hsa-miR-1294,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0
