miRNA,GSM2837756,GSM2837757,GSM2837760,GSM2837761,GSM2837764,GSM2837765,GSM2837768,GSM2837769,GSM2837772,GSM2837773,GSM2837776,GSM2837777
hsa-miR-18b-5p,0.06,0.47,0.0,0.59,0.0,0.0,0.0,2.27,0.0,0.0,1.35,0.0
hsa-miR-1908-3p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1908-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1909-5p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-3p,0.0,0.0,0.16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-190a-5p,0.46,1.42,0.41,1.18,1.39,0.0,1.13,0.0,0.0,0.0,1.35,0.84
hsa-miR-190b-5p,0.68,0.94,0.66,1.18,0.0,3.02,0.0,0.0,0.0,0.0,1.35,0.42
hsa-miR-191-3p,0.63,3.3,0.41,4.74,1.39,0.0,1.13,2.27,0.0,0.0,0.0,0.42
hsa-miR-191-5p,1357.65,2725.16,1114.76,2527.4,2062.04,6093.6,2035.07,3699.86,2896.68,926.16,2401.97,1085.87
hsa-miR-1910-3p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-1910-5p,0.57,4.25,0.25,2.96,1.39,6.04,4.53,13.64,0.0,3.6,5.41,3.8
hsa-miR-1914-3p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1914-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1915-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-192-3p,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-192-5p,745.13,1175.27,422.38,927.72,242.84,845.08,314.05,818.65,371.37,131.28,438.44,334.41
hsa-miR-193a-3p,0.68,1.42,0.25,1.18,20.81,54.33,9.07,25.01,24.76,7.19,1.35,8.01
hsa-miR-193a-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.13,2.27,0.0,0.0,1.35,0.0
hsa-miR-193b-3p,142.47,77.38,75.2,101.83,111.01,277.67,106.57,118.25,99.03,48.56,73.07,48.92
hsa-miR-193b-5p,1.83,3.3,2.05,5.33,5.55,15.09,2.27,11.37,24.76,5.4,0.0,2.95
hsa-miR-194-3p,0.4,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p,14.61,41.52,11.3,34.34,9.71,42.25,9.07,20.47,0.0,5.4,10.83,13.07
hsa-miR-195-3p,0.0,0.47,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.27
hsa-miR-195-5p,2.23,0.94,1.8,2.96,2.78,6.04,3.4,6.82,0.0,0.0,2.71,0.84
hsa-miR-196a-3p,4.85,5.66,3.28,5.33,0.0,3.02,0.0,11.37,0.0,0.0,0.0,0.42
hsa-miR-196a-5p,180.02,325.08,95.44,227.34,31.92,42.25,57.82,138.72,49.52,25.18,59.54,51.87
hsa-miR-196b-3p,0.29,0.47,0.08,1.18,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-196b-5p,79.6,165.6,56.28,133.21,13.88,18.11,18.14,29.56,0.0,0.0,8.12,13.07
hsa-miR-197-3p,30.87,16.04,19.09,18.95,11.1,30.18,26.08,9.1,24.76,8.99,12.18,17.71
hsa-miR-197-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p,9.64,17.93,0.33,1.18,84.65,298.79,544.2,720.87,148.55,10.79,580.53,195.67
hsa-miR-199a-5p,1.14,0.0,0.0,0.59,69.38,126.76,100.9,88.69,123.79,5.4,282.82,42.59
hsa-miR-199b-3p,3.42,8.96,1.23,0.0,453.76,1216.31,56.69,22.74,0.0,70.14,120.44,111.33
hsa-miR-199b-5p,2.51,3.3,0.33,0.59,11.1,21.13,7.94,0.0,24.76,0.0,39.24,2.11
hsa-miR-19a-3p,374.65,69.36,165.97,73.41,5.55,30.18,17.01,27.29,123.79,1.8,47.36,5.06
hsa-miR-19a-5p,1.08,0.94,0.9,1.78,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-1-5p,0.51,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19b-3p,791.17,152.39,356.43,190.64,30.53,57.34,49.88,63.67,173.31,12.59,74.43,20.66
hsa-miR-200a-3p,558.6,256.66,104.61,184.12,90.2,253.52,78.23,195.57,74.27,82.73,92.02,188.5
hsa-miR-200a-5p,16.09,53.79,6.96,23.09,11.1,15.09,14.74,36.38,49.52,8.99,12.18,20.66
hsa-miR-200b-3p,431.65,1327.67,366.02,857.27,248.39,772.64,223.35,948.27,346.61,258.97,274.7,423.38
hsa-miR-200b-5p,29.39,21.23,6.47,15.98,4.16,0.0,7.94,9.1,0.0,3.6,10.83,5.9
hsa-miR-200c-3p,211.52,343.48,128.04,183.53,84.65,223.34,122.44,338.83,247.58,95.31,221.93,187.65
hsa-miR-200c-5p,0.74,0.47,0.74,0.59,1.39,0.0,0.0,0.0,0.0,0.0,1.35,1.27
hsa-miR-203a-3p,312.91,400.09,102.56,328.58,1372.38,3709.28,1527.15,6071.69,940.8,803.87,2357.32,2454.27
hsa-miR-203a-5p,1.65,0.0,0.74,0.0,0.0,0.0,1.13,2.27,0.0,0.0,2.71,3.37
hsa-miR-203b-3p,1.6,1.42,0.66,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-203b-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-204-5p,0.17,0.0,0.0,0.0,0.0,0.0,1.13,9.1,0.0,0.0,0.0,0.84
hsa-miR-205-3p,9.99,28.31,10.24,46.18,0.0,3.02,5.67,4.55,0.0,3.6,2.71,2.11
hsa-miR-205-5p,13143.63,25464.86,7315.07,15941.77,3627.31,12537.31,5244.7,12727.8,5793.37,1690.47,1998.71,3343.21
hsa-miR-208b-3p,0.06,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0
hsa-miR-20a-3p,0.74,1.42,0.33,2.96,0.0,3.02,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-20a-5p,56.66,134.94,46.69,120.78,9.71,30.18,13.6,65.95,49.52,7.19,20.3,9.7
hsa-miR-21-3p,262.7,731.77,177.52,609.21,950.54,2483.92,616.76,1782.85,346.61,357.88,296.36,770.44
hsa-miR-21-5p,5002.14,13317.71,3773.04,9649.01,13895.9,41324.23,8382.9,23381.68,5422.0,4612.82,9415.73,12591.85
hsa-miR-210-3p,105.56,75.02,47.19,113.67,49.96,129.78,45.35,68.22,49.52,14.39,18.95,16.87
hsa-miR-210-5p,2.8,3.77,0.9,2.37,5.55,9.05,0.0,2.27,0.0,0.0,0.0,4.22
hsa-miR-211-5p,0.23,0.0,0.0,0.0,0.0,0.0,1.13,2.27,24.76,0.0,4.06,1.27
hsa-miR-2110,0.29,0.94,0.25,0.59,1.39,3.02,1.13,0.0,0.0,0.0,1.35,0.0
hsa-miR-2114-5p,0.06,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2115-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-2116-3p,0.34,3.3,0.25,1.18,1.39,3.02,1.13,4.55,0.0,0.0,0.0,1.27
hsa-miR-2116-5p,0.06,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-212-3p,0.57,3.3,0.49,1.18,4.16,6.04,3.4,11.37,0.0,1.8,4.06,0.84
hsa-miR-212-5p,0.29,0.47,0.66,1.18,1.39,3.02,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-214-3p,0.0,0.0,0.0,0.0,11.1,45.27,10.2,9.1,0.0,1.8,14.89,8.86
hsa-miR-214-5p,0.17,0.0,0.0,0.0,4.16,3.02,1.13,9.1,0.0,0.0,4.06,1.69
hsa-miR-215-5p,4.91,3.3,1.64,2.37,0.0,3.02,2.27,0.0,0.0,0.0,1.35,0.84
hsa-miR-218-1-3p,0.63,3.77,0.41,1.18,4.16,9.05,7.94,4.55,0.0,5.4,4.06,6.33
hsa-miR-218-5p,3.37,5.19,1.39,4.14,6.94,9.05,13.6,22.74,0.0,5.4,39.24,11.39
hsa-miR-219a-1-3p,0.51,2.36,0.41,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219a-5p,0.46,0.0,0.25,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219b-3p,0.11,2.36,0.16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219b-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-22-3p,5235.74,17527.17,6032.38,18902.54,16062.02,43008.35,12195.67,25478.34,7006.51,5788.95,6908.21,10991.94
hsa-miR-22-5p,31.27,5.66,5.9,9.47,1.39,18.11,2.27,11.37,0.0,0.0,2.71,1.69
hsa-miR-221-3p,1617.15,1271.99,829.52,1124.87,430.17,1961.78,1363.89,2938.06,495.16,359.67,1025.74,474.83
hsa-miR-221-5p,24.88,73.13,26.79,56.84,16.65,21.13,21.54,31.84,0.0,8.99,20.3,8.43
hsa-miR-222-3p,470.05,1741.91,394.44,1819.33,1221.13,2242.47,984.09,2178.53,668.47,437.0,446.56,537.66
hsa-miR-222-5p,10.21,119.84,10.32,90.58,33.3,81.49,49.88,72.77,0.0,7.19,12.18,22.35
hsa-miR-223-3p,0.0,1.89,0.16,1.18,0.0,3.02,2.27,0.0,0.0,0.0,0.0,1.69
hsa-miR-223-5p,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-224-3p,2.11,0.94,1.23,1.18,0.0,9.05,2.27,0.0,24.76,0.0,0.0,0.0
hsa-miR-224-5p,76.74,417.55,178.58,439.29,144.32,449.7,71.43,229.68,74.27,61.14,100.14,188.08
hsa-miR-2276-3p,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2277-3p,0.11,2.83,0.08,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37
hsa-miR-2277-5p,0.0,9.91,0.82,7.7,0.0,6.04,1.13,6.82,0.0,1.8,0.0,5.48
hsa-miR-2278,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2355-3p,0.17,0.0,0.57,0.59,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-2355-5p,2.23,5.66,0.9,2.96,5.55,15.09,0.0,6.82,0.0,1.8,4.06,3.8
hsa-miR-23a-3p,308.91,353.86,291.8,548.82,326.1,1321.94,323.12,493.47,321.85,183.43,320.71,263.98
hsa-miR-23a-5p,0.11,0.0,0.16,0.59,0.0,0.0,1.13,0.0,0.0,1.8,0.0,0.0
hsa-miR-23b-3p,171.52,167.02,109.44,156.3,56.89,111.67,47.62,113.7,123.79,62.94,81.19,166.15
hsa-miR-23b-5p,0.17,0.94,0.16,1.18,0.0,0.0,1.13,0.0,0.0,0.0,1.35,0.0
hsa-miR-23c,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-24-1-5p,0.29,0.47,0.25,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-24-2-5p,15.98,34.44,10.57,33.75,19.43,39.24,22.67,59.13,0.0,14.39,13.53,24.46
hsa-miR-24-3p,91.58,63.69,40.71,56.84,22.2,3.02,115.64,97.78,148.55,32.37,242.23,38.8
hsa-miR-2467-5p,0.91,1.42,0.57,0.59,0.0,9.05,0.0,2.27,0.0,0.0,1.35,1.69
hsa-miR-25-3p,587.25,1318.23,434.75,1066.85,231.74,630.79,323.12,795.91,396.13,95.31,377.55,290.97
hsa-miR-25-5p,3.02,8.49,3.52,18.35,1.39,6.04,1.13,4.55,0.0,0.0,2.71,0.0
hsa-miR-2682-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-2682-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-1-3p,1.6,1.42,0.98,0.59,0.0,0.0,1.13,0.0,0.0,0.0,1.35,0.42
hsa-miR-26a-2-3p,1.94,1.89,0.66,1.18,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.84
hsa-miR-26a-5p,2270.07,6777.04,2205.84,4980.8,3194.37,8625.82,2730.05,6769.82,2079.67,1436.9,2901.31,3589.48
hsa-miR-26b-3p,2.57,15.57,0.98,9.47,2.78,12.07,5.67,13.64,0.0,0.0,4.06,2.11
hsa-miR-26b-5p,366.77,778.01,197.59,410.28,126.28,310.87,159.86,384.31,99.03,48.56,154.27,127.77
hsa-miR-27a-3p,1459.33,1845.71,1757.17,2063.25,2435.32,6748.54,1835.53,4930.12,717.98,980.11,1443.89,2171.74
hsa-miR-27a-5p,11.18,56.15,6.06,56.84,13.88,54.33,35.15,54.58,0.0,3.6,12.18,13.49
hsa-miR-27b-3p,6038.32,11881.05,5116.35,9836.69,5198.13,14321.03,3957.9,9496.39,4530.71,3012.27,4502.18,5408.25
hsa-miR-27b-5p,12.55,65.11,11.8,67.49,9.71,33.2,9.07,27.29,0.0,0.0,2.71,6.75
hsa-miR-28-3p,172.03,731.77,166.21,590.85,432.95,1077.47,293.64,636.73,396.13,248.18,243.58,337.36
hsa-miR-28-5p,9.64,59.92,17.61,55.06,74.93,196.18,22.67,79.59,49.52,7.19,24.36,24.88
hsa-miR-296-3p,0.23,0.0,0.0,1.18,4.16,15.09,7.94,13.64,0.0,5.4,1.35,2.53
hsa-miR-296-5p,0.0,0.0,0.0,0.0,1.39,3.02,3.4,4.55,0.0,0.0,1.35,0.84
hsa-miR-299-3p,0.11,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,3.6,1.35,0.84
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.0,3.02,1.13,0.0,0.0,0.0,1.35,0.0
hsa-miR-29a-3p,306.97,325.08,242.65,374.17,305.28,920.53,323.12,666.29,272.34,75.53,269.29,314.16
hsa-miR-29a-5p,1.65,0.0,0.9,1.18,0.0,3.02,1.13,11.37,0.0,0.0,0.0,1.27
hsa-miR-29b-1-5p,0.06,0.47,0.08,0.59,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-29b-2-5p,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29b-3p,18.14,10.85,40.63,15.98,18.04,27.16,20.41,31.84,24.76,3.6,5.41,14.76
hsa-miR-29c-3p,32.87,19.34,14.99,18.35,6.94,39.24,6.8,20.47,0.0,7.19,17.59,13.92
hsa-miR-29c-5p,0.63,0.0,0.08,0.0,1.39,0.0,0.0,0.0,0.0,1.8,0.0,0.0
hsa-miR-301a-3p,27.27,89.64,20.73,53.28,12.49,57.34,19.27,50.03,24.76,14.39,13.53,18.55
hsa-miR-301a-5p,0.11,0.94,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-301b-3p,5.53,21.7,4.92,7.7,0.0,6.04,5.67,2.27,0.0,1.8,1.35,2.95
hsa-miR-3064-5p,0.11,0.0,0.0,0.59,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.42
hsa-miR-3065-3p,0.0,1.42,0.0,0.0,0.0,6.04,0.0,0.0,0.0,0.0,1.35,3.37
hsa-miR-3065-5p,0.0,0.47,0.33,0.0,0.0,6.04,1.13,11.37,0.0,0.0,1.35,4.22
hsa-miR-3074-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3074-5p,0.29,0.47,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-30a-3p,111.83,429.82,42.84,228.53,41.63,138.83,43.08,181.92,148.55,55.75,27.06,66.21
hsa-miR-30a-5p,2195.32,5967.42,1315.21,3906.85,1215.58,2915.51,965.95,2858.47,1906.37,1075.43,1056.87,1288.28
hsa-miR-30b-3p,0.51,0.0,0.16,0.59,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.42
hsa-miR-30b-5p,178.82,245.81,130.83,261.68,113.79,316.9,98.64,227.4,173.31,48.56,36.54,103.74
hsa-miR-30c-1-3p,6.11,20.29,4.18,8.88,0.0,12.07,4.53,9.1,0.0,0.0,1.35,3.8
hsa-miR-30c-2-3p,10.67,27.36,8.85,18.35,4.16,12.07,5.67,4.55,0.0,7.19,2.71,4.22
hsa-miR-30c-5p,363.29,1144.13,254.93,916.47,220.64,624.75,192.74,557.14,173.31,210.41,155.62,355.49
hsa-miR-30d-3p,7.65,18.87,4.51,9.47,6.94,12.07,3.4,36.38,0.0,5.4,2.71,8.43
hsa-miR-30d-5p,657.6,1996.22,432.53,1192.36,747.94,1946.69,925.13,2287.68,544.68,456.79,811.93,882.19
hsa-miR-30e-3p,46.45,218.92,31.62,114.26,24.98,75.45,45.35,159.18,24.76,30.57,47.36,65.78
hsa-miR-30e-5p,868.66,1824.95,652.49,1394.25,489.84,1192.16,596.35,1846.52,420.89,390.25,424.91,795.32
hsa-miR-31-3p,35.32,2.83,4.92,1.18,4.16,6.04,22.67,9.1,0.0,0.0,4.06,1.69
hsa-miR-31-5p,392.28,907.76,363.23,627.56,825.65,2055.35,1065.72,1976.14,371.37,199.62,522.34,419.17
hsa-miR-3121-3p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3124-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-3126-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3127-5p,0.0,0.0,0.16,0.59,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-3128,0.17,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3129-3p,0.06,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3130-3p,0.06,0.0,0.08,0.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-3130-5p,0.0,0.0,0.08,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3133,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3136-5p,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3138,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3143,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3144-3p,0.23,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3144-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3145-3p,0.06,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3145-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-3146,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150b-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.76,0.0,0.0,0.0
hsa-miR-3155a,0.06,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3157-3p,0.0,0.94,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3157-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3158-3p,0.57,2.36,0.08,2.37,4.16,0.0,2.27,0.0,0.0,0.0,1.35,0.0
hsa-miR-3158-5p,0.0,0.47,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3159,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3160-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3161,0.0,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-3165,0.0,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3166,0.06,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.42
hsa-miR-3173-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-5p,0.17,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3174,0.23,0.47,0.16,0.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-3175,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3176,1.14,1.89,0.9,1.18,1.39,0.0,2.27,4.55,0.0,0.0,2.71,0.0
hsa-miR-3177-3p,0.11,0.47,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3178,2.0,193.91,0.98,48.55,0.0,12.07,3.4,29.56,0.0,46.76,5.41,82.23
hsa-miR-3179,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
hsa-miR-3180-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-3181,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,19.11,3.77,13.19,2.96,12.49,57.34,5.67,4.55,0.0,1.8,6.77,0.42
hsa-miR-3187-3p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3188,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3192-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3195,0.68,5.19,0.41,1.18,0.0,0.0,0.0,2.27,0.0,1.8,0.0,2.11
hsa-miR-3196,0.51,28.31,0.0,11.84,1.39,6.04,0.0,11.37,0.0,3.6,1.35,11.81
hsa-miR-32-3p,0.91,3.77,0.82,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-32-5p,10.27,12.27,5.16,7.7,0.0,12.07,2.27,13.64,0.0,5.4,6.77,3.8
hsa-miR-3200-3p,0.29,0.47,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-3200-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,281.58,1296.53,216.27,1896.88,174.84,603.63,265.3,980.11,74.27,230.19,131.26,161.93
hsa-miR-320a-5p,1.03,2.36,0.57,1.78,0.0,0.0,0.0,4.55,24.76,3.6,1.35,2.53
hsa-miR-320b,85.99,146.26,116.82,19.54,4.16,108.65,32.88,104.61,0.0,16.19,21.65,28.25
hsa-miR-320c,10.44,6.13,12.21,37.89,1.39,12.07,1.13,0.0,0.0,0.0,2.71,0.0
hsa-miR-320d,16.09,10.85,16.3,7.1,1.39,0.0,2.27,0.0,0.0,1.8,0.0,0.84
hsa-miR-320e,0.51,0.94,9.01,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-323a-3p,0.06,0.47,0.0,0.0,0.0,3.02,1.13,2.27,0.0,0.0,0.0,0.84
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.35,0.0
hsa-miR-324-3p,3.25,5.66,2.46,8.88,4.16,3.02,0.0,9.1,0.0,1.8,0.0,5.06
hsa-miR-324-5p,10.96,3.77,5.82,2.37,4.16,3.02,7.94,4.55,0.0,3.6,2.71,0.84
hsa-miR-326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-328-3p,1.37,1.89,1.31,0.59,6.94,12.07,10.2,2.27,0.0,1.8,6.77,3.37
hsa-miR-330-3p,1.88,4.25,0.82,2.96,1.39,0.0,3.4,2.27,24.76,0.0,0.0,0.42
hsa-miR-330-5p,5.93,11.8,3.69,6.51,4.16,6.04,4.53,13.64,0.0,0.0,2.71,4.22
hsa-miR-331-3p,10.61,4.72,3.19,2.96,1.39,3.02,11.34,4.55,24.76,5.4,6.77,1.69
hsa-miR-331-5p,1.31,2.36,1.23,5.92,6.94,3.02,5.67,13.64,0.0,1.8,5.41,2.11
hsa-miR-335-3p,2.23,3.3,1.56,7.1,1.39,3.02,0.0,6.82,0.0,0.0,0.0,0.42
hsa-miR-335-5p,0.86,6.61,3.19,7.7,0.0,9.05,1.13,4.55,0.0,0.0,2.71,1.27
hsa-miR-337-3p,0.0,0.0,0.16,0.0,0.0,3.02,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-337-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-338-3p,0.06,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-339-3p,13.07,41.05,14.42,50.92,9.71,15.09,3.4,13.64,0.0,5.4,1.35,8.01
hsa-miR-339-5p,43.65,41.52,22.61,69.27,4.16,0.0,6.8,20.47,0.0,0.0,12.18,5.06
hsa-miR-33a-3p,1.48,0.0,0.41,1.18,0.0,3.02,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-33a-5p,9.07,8.49,4.42,6.51,1.39,9.05,0.0,11.37,0.0,3.6,2.71,3.37
hsa-miR-33b-3p,1.14,7.08,0.41,4.14,0.0,0.0,3.4,4.55,0.0,0.0,1.35,0.84
hsa-miR-33b-5p,36.0,41.99,26.38,38.48,12.49,12.07,6.8,15.92,49.52,19.78,2.71,15.18
hsa-miR-340-3p,0.0,0.0,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.27
hsa-miR-340-5p,3.65,11.32,4.83,12.43,15.26,42.25,7.94,29.56,24.76,10.79,5.41,21.93
hsa-miR-342-3p,0.34,1.42,0.08,0.0,24.98,42.25,17.01,25.01,0.0,10.79,17.59,15.6
