miRNA,SRR10078125,SRR10078126,SRR10078127,SRR10078128,SRR10078129,SRR10078130,SRR10078131,SRR10078132,SRR10078133,SRR10078134,SRR10078135,SRR10078136
hsa-let-7a-3p,0.12,0.0,0.0,5.64,0.0,0.0,0.0,0.0,3.23,5.48,1.15,12.49
hsa-let-7a-5p,2566.09,3861.56,1995.38,2380.83,2774.73,1369.74,1617.18,2734.74,2794.03,2624.03,2500.07,2905.34
hsa-let-7b-3p,1.25,2.54,0.0,24.6,5.98,0.0,2.7,15.59,8.4,9.44,6.79,13.17
hsa-let-7b-5p,1082.46,1160.45,698.75,735.53,1246.79,497.53,635.99,725.97,1226.48,784.72,786.66,426.85
hsa-let-7c-5p,42.06,41.81,17.1,40.27,27.84,38.33,20.46,33.92,50.4,123.48,100.4,40.41
hsa-let-7d-3p,95.11,101.04,89.51,276.41,82.29,112.27,52.67,80.25,92.31,61.38,97.67,96.95
hsa-let-7d-5p,42.19,54.87,31.59,21.94,54.64,16.61,34.74,19.05,48.55,95.62,36.23,47.91
hsa-let-7e-3p,0.0,2.81,0.0,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,62.66,107.47,86.64,217.34,64.45,92.55,64.73,156.02,60.92,80.16,103.14,247.03
hsa-let-7f-1-3p,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0
hsa-let-7f-5p,5126.44,8966.29,4471.65,4702.59,5641.09,3787.47,3606.85,4619.38,5451.26,5977.24,6027.27,6130.14
hsa-let-7g-5p,562.95,697.54,317.1,331.88,595.09,325.12,299.2,447.71,745.84,714.62,441.55,425.49
hsa-let-7i-3p,3.12,6.71,0.0,0.0,0.56,0.0,0.0,4.33,5.17,2.07,1.41,0.0
hsa-let-7i-5p,1675.36,2186.04,1378.02,1096.87,1782.94,1246.06,1202.02,2549.28,1904.56,2146.12,2018.32,1615.69
hsa-miR-1-3p,2.62,4.44,0.0,1.72,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,13.86,21.04,15.48,28.83,48.29,60.42,38.87,9.53,63.32,27.14,71.93,41.32
hsa-miR-101-3p,645.95,853.54,401.87,1162.52,816.28,1002.0,877.44,2233.2,1224.54,1836.97,1686.52,2711.66
hsa-miR-101-5p,0.0,7.8,0.0,0.0,0.84,0.0,0.0,0.0,4.62,0.0,0.0,0.0
hsa-miR-10226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,0.0,0.0
hsa-miR-10399-3p,0.0,2.81,0.0,2.98,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0
