miRNA,SRR15744311,SRR15744312,SRR15744313
hsa-let-7a-2-3p,16.56,7.84,15.9
hsa-let-7a-3p,178.76,169.17,180.22
hsa-let-7a-5p,26763.34,16427.86,26650.46
hsa-let-7b-3p,26.37,35.53,37.08
hsa-let-7b-5p,6586.25,6457.84,7285.21
hsa-let-7c-3p,9.1,5.75,8.93
hsa-let-7c-5p,1597.32,511.69,1805.67
hsa-let-7d-3p,79.33,69.5,97.72
hsa-let-7d-5p,659.1,490.92,748.57
hsa-let-7e-3p,30.35,24.62,31.16
hsa-let-7e-5p,2722.97,1771.66,2600.56
hsa-let-7f-1-3p,5.45,5.88,7.66
hsa-let-7f-2-3p,4.3,4.31,3.75
hsa-let-7f-5p,26783.67,12782.7,25901.36
hsa-let-7g-3p,0.05,0.52,0.53
hsa-let-7g-5p,16893.58,10281.58,16585.05
hsa-let-7i-3p,24.74,41.61,30.79
hsa-let-7i-5p,71326.56,84269.15,81816.37
hsa-miR-1-3p,1.36,0.33,1.16
hsa-miR-100-3p,2.34,3.4,3.06
hsa-miR-100-5p,62925.65,24788.13,60812.79
hsa-miR-101-3p,859.28,986.68,780.05
hsa-miR-101-5p,0.16,0.2,0.11
hsa-miR-10392-5p,0.05,0.13,0.11
hsa-miR-10393-3p,0.0,0.13,0.0
hsa-miR-10394-3p,0.0,0.0,0.05
hsa-miR-10395-3p,1.91,0.78,3.01
hsa-miR-10395-5p,0.11,0.07,0.0
hsa-miR-10396a-3p,0.16,0.59,0.48
hsa-miR-10396a-5p,0.22,0.07,0.05
hsa-miR-10396b-3p,0.22,0.65,0.63
hsa-miR-10396b-5p,0.16,0.07,0.05
hsa-miR-10398-3p,0.11,0.0,0.0
hsa-miR-10399-3p,1.36,1.96,1.21
hsa-miR-10399-5p,0.0,0.07,0.05
hsa-miR-103a-2-5p,0.27,0.07,0.11
hsa-miR-103a-3p,2503.73,541.94,2396.36
hsa-miR-10401-3p,10.73,6.01,15.42
hsa-miR-10401-5p,0.49,0.33,0.58
hsa-miR-105-5p,0.05,0.0,0.05
hsa-miR-10526-3p,0.27,0.2,0.0
hsa-miR-10527-5p,0.05,0.07,0.05
hsa-miR-106a-5p,0.87,0.72,1.06
hsa-miR-106b-3p,170.81,267.08,168.97
hsa-miR-106b-5p,73.66,161.2,71.62
hsa-miR-107,71.1,46.64,56.99
hsa-miR-10a-3p,344.4,186.09,321.94
hsa-miR-10a-5p,13803.11,7384.24,14813.34
hsa-miR-10b-3p,49.96,41.35,43.42
hsa-miR-10b-5p,4169.59,3080.95,4469.62
hsa-miR-11401,0.05,0.07,0.11
hsa-miR-1179,0.05,0.26,0.11
hsa-miR-1180-3p,14.27,19.99,18.12
hsa-miR-1180-5p,0.05,0.07,0.0
hsa-miR-1185-1-3p,47.67,44.55,62.06
hsa-miR-1185-2-3p,13.29,14.3,16.53
hsa-miR-1185-5p,2.72,1.37,3.06
hsa-miR-1193,0.16,0.07,0.11
hsa-miR-1197,14.44,6.73,15.27
hsa-miR-12121,0.05,0.0,0.05
hsa-miR-12130,0.11,0.0,0.0
hsa-miR-12135,0.44,0.13,0.05
hsa-miR-12136,8.34,0.65,8.61
hsa-miR-122-5p,11.5,0.07,10.3
hsa-miR-1226-3p,0.54,0.52,0.63
hsa-miR-1226-5p,0.11,0.0,0.0
hsa-miR-1227-3p,0.0,0.2,0.05
hsa-miR-1228-3p,2.23,1.76,3.43
hsa-miR-1228-5p,0.22,0.13,0.32
hsa-miR-1229-3p,0.05,0.0,0.16
hsa-miR-122b-3p,0.0,0.0,0.05
hsa-miR-122b-5p,0.0,0.0,0.11
hsa-miR-1231,0.22,0.07,0.11
hsa-miR-1233-3p,0.11,0.0,0.16
hsa-miR-1234-3p,0.11,0.0,0.16
hsa-miR-1237-5p,0.0,0.0,0.26
hsa-miR-124-3p,1.14,0.13,1.21
hsa-miR-124-5p,2.45,0.2,2.96
hsa-miR-1243,0.27,0.13,0.32
hsa-miR-1244,0.05,0.0,0.0
hsa-miR-1245a,0.27,0.46,0.58
hsa-miR-1245b-5p,0.0,0.0,0.11
hsa-miR-1246,7.74,22.8,11.83
hsa-miR-1248,1.47,1.96,2.27
hsa-miR-1249-3p,1.96,5.23,3.06
hsa-miR-1249-5p,0.0,0.13,0.05
hsa-miR-1255a,3.49,6.6,3.91
hsa-miR-1255b-5p,0.76,1.05,0.37
hsa-miR-1256,0.16,0.13,0.16
hsa-miR-1257,0.22,0.0,0.0
hsa-miR-125a-3p,21.85,33.05,23.61
hsa-miR-125a-5p,6959.64,4034.71,8413.3
hsa-miR-125b-1-3p,784.03,698.83,905.55
hsa-miR-125b-2-3p,3.87,2.87,5.02
hsa-miR-125b-5p,30536.18,14421.51,29405.1
hsa-miR-126-3p,103.68,49.97,116.15
hsa-miR-126-5p,3.11,1.89,2.91
hsa-miR-1260a,0.0,0.13,0.0
hsa-miR-1260b,12.59,55.26,17.43
hsa-miR-1261,0.0,0.0,0.05
hsa-miR-1262,1.09,1.05,1.06
hsa-miR-1264,0.0,0.0,0.05
hsa-miR-1267,0.16,0.13,0.63
hsa-miR-1268a,9.75,0.72,20.34
hsa-miR-1268b,5.94,39.71,6.92
hsa-miR-1269a,0.11,0.0,0.05
hsa-miR-127-3p,5942.68,3264.42,6301.85
hsa-miR-127-5p,61.89,68.65,70.09
hsa-miR-1270,0.6,0.72,0.11
hsa-miR-1271-3p,0.49,0.91,0.63
hsa-miR-1271-5p,65.76,42.98,58.84
hsa-miR-1273c,0.65,0.72,0.95
hsa-miR-1273h-5p,0.22,0.0,0.05
hsa-miR-1275,7.3,14.04,7.92
hsa-miR-1276,0.16,0.78,0.0
hsa-miR-1277-3p,0.71,1.24,0.63
hsa-miR-1278,5.78,5.03,5.44
hsa-miR-128-1-5p,2.56,2.42,1.58
hsa-miR-128-3p,641.99,575.77,749.73
hsa-miR-1283,0.05,0.0,0.05
hsa-miR-1284,0.87,1.18,0.63
hsa-miR-1285-3p,5.72,8.23,6.71
hsa-miR-1285-5p,1.2,1.57,1.64
hsa-miR-1287-3p,0.05,0.0,0.11
hsa-miR-1287-5p,5.72,5.42,6.92
hsa-miR-1288-3p,0.05,0.07,0.05
hsa-miR-1289,0.11,0.0,0.16
hsa-miR-129-1-3p,0.82,0.98,0.69
hsa-miR-129-2-3p,23.54,15.09,24.56
hsa-miR-129-5p,166.94,176.03,183.23
hsa-miR-1291,3.0,2.16,2.69
hsa-miR-1292-5p,1.47,2.02,2.01
hsa-miR-1293,0.71,1.96,1.16
hsa-miR-1294,1.58,2.16,1.16
hsa-miR-1295a,0.05,0.0,0.0
hsa-miR-1296-3p,0.27,0.13,0.26
hsa-miR-1296-5p,46.69,41.87,36.45
hsa-miR-1297,0.16,0.33,0.0
hsa-miR-1298-3p,0.05,0.26,0.11
hsa-miR-1298-5p,2.94,0.78,2.59
hsa-miR-1299,0.27,0.52,0.69
