miRNA,SRR10133040
hsa-miR-451a,57241.38
hsa-miR-122-5p,32522.98
hsa-miR-15a-5p,13096.17
hsa-miR-21-5p,10883.33
hsa-miR-92a-3p,4294.84
hsa-miR-19b-3p,8443.43
hsa-miR-144-3p,4460.32
hsa-miR-16-5p,7873.86
hsa-let-7f-5p,4240.96
hsa-miR-26a-5p,3513.61
hsa-miR-22-3p,2624.62
hsa-let-7a-5p,4117.81
hsa-let-7g-5p,3544.39
hsa-miR-30c-5p,3579.03
hsa-miR-30b-5p,2382.17
hsa-miR-27a-3p,3044.1
hsa-miR-23a-3p,5934.26
hsa-miR-19a-3p,3348.12
hsa-miR-103a-3p,2539.96
hsa-miR-130a-3p,1531.67
hsa-miR-486-5p,1273.83
hsa-miR-145-5p,2920.95
hsa-miR-101-3p,3555.94
hsa-miR-23b-3p,1955.0
hsa-miR-423-5p,2355.23
hsa-let-7c-5p,1689.46
hsa-miR-484,2058.9
hsa-miR-30a-5p,1862.63
hsa-miR-30d-5p,1751.03
hsa-miR-26b-5p,1173.77
hsa-let-7i-5p,1112.19
hsa-miR-223-3p,2601.53
hsa-miR-148a-3p,1943.45
hsa-miR-126-5p,800.47
hsa-miR-126-3p,1204.55
hsa-miR-30e-5p,1481.64
hsa-miR-320a-3p,788.93
hsa-miR-146a-5p,669.62
hsa-let-7b-5p,1600.94
hsa-miR-221-3p,873.59
hsa-miR-424-5p,584.96
hsa-miR-194-5p,1127.59
hsa-miR-125a-5p,673.47
hsa-miR-122-3p,835.11
hsa-miR-25-3p,688.87
hsa-miR-203a-3p,773.53
hsa-miR-122b-3p,800.47
hsa-miR-29a-3p,711.96
hsa-miR-31-5p,523.38
hsa-miR-15b-5p,500.29
hsa-miR-185-5p,519.54
hsa-miR-139-5p,407.93
hsa-miR-10a-5p,373.3
hsa-let-7d-5p,631.14
hsa-miR-27b-3p,673.47
hsa-miR-802,546.48
hsa-miR-29b-3p,477.2
hsa-miR-125b-5p,396.39
hsa-miR-199a-3p,273.24
hsa-miR-205-5p,454.11
hsa-miR-16-2-3p,369.45
hsa-miR-192-5p,711.96
hsa-miR-660-5p,504.14
hsa-miR-191-5p,738.9
hsa-let-7e-5p,257.84
hsa-miR-34a-5p,307.87
hsa-miR-143-3p,369.45
hsa-miR-20a-5p,354.05
hsa-miR-93-5p,307.87
hsa-miR-24-3p,457.96
hsa-miR-106b-5p,500.29
hsa-let-7d-3p,434.87
hsa-miR-151a-5p,211.66
hsa-miR-365a-3p,142.39
hsa-miR-128-3p,200.12
hsa-miR-142-3p,742.74
hsa-miR-140-3p,407.93
hsa-miR-222-3p,153.94
hsa-miR-32-5p,230.91
hsa-miR-142-5p,250.15
hsa-miR-15b-3p,219.36
hsa-miR-3615,188.57
hsa-miR-9985,146.24
hsa-miR-423-3p,119.3
hsa-miR-200a-3p,169.33
hsa-miR-148b-3p,207.81
hsa-miR-652-3p,123.15
hsa-miR-340-5p,234.75
hsa-miR-22-5p,173.18
hsa-miR-197-3p,130.85
hsa-miR-193a-3p,146.24
hsa-miR-378a-3p,200.12
hsa-miR-151b,92.36
hsa-miR-425-5p,196.27
hsa-miR-584-5p,107.76
hsa-miR-342-3p,134.69
hsa-miR-339-5p,134.69
hsa-miR-335-5p,177.03
hsa-miR-378c,84.67
hsa-miR-1180-3p,84.67
hsa-miR-17-5p,184.72
hsa-miR-33a-5p,127.0
hsa-miR-17-3p,107.76
hsa-miR-199b-3p,100.06
hsa-miR-590-5p,73.12
hsa-miR-4286,80.82
hsa-miR-7-5p,157.79
hsa-miR-363-3p,107.76
hsa-miR-345-5p,61.57
hsa-miR-190a-5p,76.97
hsa-miR-497-5p,76.97
hsa-miR-1307-5p,69.27
hsa-miR-10b-5p,103.91
hsa-let-7a-3p,61.57
hsa-miR-502-3p,65.42
hsa-miR-501-3p,76.97
hsa-miR-1297,46.18
hsa-miR-107,73.12
hsa-miR-152-3p,50.03
hsa-miR-150-5p,80.82
hsa-miR-144-5p,100.06
hsa-miR-186-5p,61.57
hsa-miR-204-5p,46.18
hsa-miR-181a-5p,138.54
hsa-miR-29c-5p,46.18
hsa-miR-29c-3p,38.48
hsa-miR-18b-5p,46.18
hsa-miR-96-5p,96.21
hsa-miR-98-5p,57.73
hsa-miR-362-3p,57.73
hsa-miR-629-5p,65.42
hsa-miR-1323,61.57
hsa-miR-3929,69.27
hsa-miR-210-3p,50.03
hsa-miR-320b,42.33
hsa-miR-576-5p,34.64
hsa-miR-450b-5p,42.33
hsa-miR-4306,38.48
hsa-miR-525-5p,50.03
hsa-miR-517a-3p,46.18
hsa-miR-92b-3p,30.79
hsa-miR-619-5p,34.64
hsa-miR-28-5p,26.94
hsa-miR-30c-2-3p,23.09
hsa-miR-33b-5p,26.94
hsa-miR-141-3p,38.48
hsa-miR-99b-5p,42.33
hsa-miR-378a-5p,26.94
hsa-miR-378d,38.48
hsa-miR-522-5p,26.94
hsa-miR-519a-5p,46.18
hsa-miR-505-3p,111.6
hsa-miR-31-3p,42.33
hsa-miR-106a-5p,19.24
hsa-miR-1-3p,26.94
hsa-miR-331-5p,34.64
hsa-miR-574-5p,26.94
hsa-miR-146b-5p,34.64
hsa-miR-524-5p,42.33
hsa-miR-500a-3p,34.64
hsa-miR-450a-5p,38.48
hsa-let-7b-3p,30.79
hsa-miR-21-3p,15.39
hsa-miR-181c-5p,23.09
hsa-miR-182-5p,34.64
hsa-miR-214-3p,19.24
hsa-miR-149-5p,38.48
hsa-miR-195-5p,30.79
hsa-miR-140-5p,19.24
hsa-miR-196b-5p,38.48
hsa-miR-361-5p,26.94
hsa-miR-324-5p,19.24
hsa-miR-18a-5p,42.33
hsa-miR-515-5p,30.79
hsa-miR-518d-5p,15.39
hsa-miR-20b-5p,26.94
hsa-miR-576-3p,15.39
hsa-miR-1283,26.94
hsa-let-7f-1-3p,23.09
hsa-miR-192-3p,19.24
hsa-miR-199a-5p,23.09
hsa-miR-200b-3p,26.94
hsa-miR-214-5p,11.55
hsa-miR-181b-5p,26.94
hsa-miR-99a-5p,11.55
hsa-miR-100-5p,19.24
hsa-miR-193a-5p,30.79
hsa-miR-320a-5p,11.55
hsa-miR-106b-3p,34.64
hsa-miR-376c-3p,11.55
hsa-miR-338-5p,11.55
hsa-miR-301a-3p,30.79
hsa-miR-589-5p,11.55
hsa-miR-515-3p,23.09
hsa-miR-526b-5p,11.55
hsa-miR-517c-3p,23.09
hsa-miR-522-3p,11.55
hsa-miR-499a-5p,11.55
hsa-miR-744-5p,11.55
hsa-miR-374b-5p,23.09
hsa-miR-338-3p,19.24
hsa-miR-3143,11.55
hsa-miR-3613-5p,26.94
hsa-miR-26b-3p,11.55
hsa-miR-98-3p,7.7
hsa-miR-101-5p,19.24
hsa-miR-33a-3p,11.55
hsa-miR-29b-1-5p,11.55
hsa-miR-199b-5p,19.24
hsa-miR-211-5p,7.7
hsa-miR-223-5p,15.39
hsa-miR-130a-5p,11.55
hsa-miR-9-3p,7.7
hsa-miR-145-3p,19.24
hsa-miR-154-5p,7.7
hsa-miR-188-5p,11.55
hsa-miR-130b-3p,11.55
