miRNA,SRR6650068,SRR6650070
hsa-let-7a-2-3p,0.09,0.12
hsa-let-7a-3p,2.68,0.83
hsa-let-7a-5p,505.47,300.05
hsa-let-7b-3p,3.2,1.3
hsa-let-7b-5p,1016.56,434.02
hsa-let-7c-5p,17.9,18.6
hsa-let-7d-3p,17.99,9.95
hsa-let-7d-5p,29.49,12.91
hsa-let-7e-3p,0.0,0.12
hsa-let-7e-5p,23.09,14.81
hsa-let-7f-1-3p,0.26,0.24
hsa-let-7f-2-3p,0.17,0.0
hsa-let-7f-5p,97.91,58.04
hsa-let-7g-5p,36.59,21.56
hsa-let-7i-3p,0.09,0.0
hsa-let-7i-5p,299.61,142.15
hsa-miR-1-3p,0.17,0.12
hsa-miR-100-5p,927.65,605.3
hsa-miR-101-3p,17.21,3.91
hsa-miR-10393-3p,0.09,0.0
hsa-miR-10393-5p,0.09,0.12
hsa-miR-10394-3p,0.35,0.0
hsa-miR-10395-3p,0.09,0.24
hsa-miR-10396a-3p,0.0,0.83
hsa-miR-10396b-3p,0.0,1.07
hsa-miR-10396b-5p,0.0,0.24
hsa-miR-103a-3p,2.34,1.42
hsa-miR-10401-3p,1.47,4.26
hsa-miR-10527-5p,0.17,0.24
hsa-miR-106a-5p,0.26,0.0
hsa-miR-106b-3p,2.51,1.07
hsa-miR-106b-5p,0.52,0.59
hsa-miR-107,0.69,0.12
hsa-miR-10a-3p,1.73,1.18
hsa-miR-10a-5p,213.38,167.73
hsa-miR-10b-3p,0.61,0.0
hsa-miR-10b-5p,86.06,25.11
hsa-miR-1180-3p,3.29,2.96
hsa-miR-1185-1-3p,0.69,0.36
hsa-miR-1185-2-3p,0.0,0.12
hsa-miR-1197,0.09,0.0
hsa-miR-12136,0.78,0.59
hsa-miR-122-5p,46.62,10.66
hsa-miR-1225-3p,0.43,0.24
hsa-miR-1226-3p,0.0,0.12
hsa-miR-1227-3p,0.09,0.0
hsa-miR-1228-3p,0.26,0.36
hsa-miR-1229-3p,0.09,0.47
hsa-miR-1237-5p,0.0,0.12
hsa-miR-1244,0.43,0.12
hsa-miR-1245a,0.09,0.0
hsa-miR-1246,1.3,0.71
hsa-miR-1248,0.0,0.24
hsa-miR-1255b-5p,0.09,0.0
hsa-miR-125a-3p,1.38,0.71
hsa-miR-125a-5p,32.0,22.86
hsa-miR-125b-1-3p,9.69,3.32
hsa-miR-125b-2-3p,0.0,0.12
hsa-miR-125b-5p,56.57,45.84
hsa-miR-126-3p,46.62,11.25
hsa-miR-126-5p,2.25,0.36
hsa-miR-1260b,0.0,0.47
hsa-miR-1262,0.17,0.12
hsa-miR-127-3p,5.62,2.61
hsa-miR-127-5p,0.09,0.0
hsa-miR-1271-5p,0.35,0.36
hsa-miR-128-3p,43.77,19.19
hsa-miR-1285-3p,0.0,0.12
hsa-miR-1285-5p,0.0,0.12
hsa-miR-1287-5p,0.26,0.0
hsa-miR-129-5p,0.17,0.0
hsa-miR-1291,0.17,0.12
hsa-miR-1292-5p,0.09,0.12
hsa-miR-1293,0.17,0.0
hsa-miR-1296-5p,0.0,0.12
hsa-miR-1301-3p,0.86,1.18
hsa-miR-1303,0.17,0.12
hsa-miR-1304-5p,0.17,0.0
hsa-miR-1306-3p,0.52,0.0
hsa-miR-1306-5p,0.52,0.0
hsa-miR-1307-3p,23.61,18.36
hsa-miR-1307-5p,0.52,0.0
hsa-miR-130a-3p,0.26,0.0
hsa-miR-130b-3p,0.09,0.0
hsa-miR-130b-5p,5.45,2.37
hsa-miR-132-3p,1.9,0.59
hsa-miR-132-5p,1.21,0.0
hsa-miR-1324,0.09,0.0
hsa-miR-133a-3p,0.17,0.0
hsa-miR-134-5p,16.17,5.69
hsa-miR-1343-3p,0.09,0.12
hsa-miR-1343-5p,0.09,0.0
hsa-miR-136-3p,1.56,0.71
hsa-miR-136-5p,0.52,0.0
hsa-miR-137-3p,0.0,0.12
hsa-miR-138-1-3p,0.09,0.0
hsa-miR-139-3p,0.52,0.12
hsa-miR-139-5p,3.63,1.3
hsa-miR-140-3p,3.98,2.37
hsa-miR-140-5p,1.56,0.47
hsa-miR-142-3p,2.42,0.12
hsa-miR-142-5p,3.37,0.95
hsa-miR-143-3p,601.31,411.39
hsa-miR-143-5p,2.51,0.71
hsa-miR-144-3p,4.84,0.71
hsa-miR-144-5p,1.04,0.12
hsa-miR-145-3p,1.82,2.61
hsa-miR-145-5p,0.95,2.13
hsa-miR-1468-5p,0.09,0.0
hsa-miR-146a-5p,1.21,1.54
hsa-miR-146b-3p,0.43,0.24
hsa-miR-146b-5p,19.37,5.69
hsa-miR-148a-3p,102.5,34.47
hsa-miR-148a-5p,0.43,0.24
hsa-miR-148b-3p,6.92,3.44
hsa-miR-148b-5p,0.35,0.24
hsa-miR-149-5p,2.77,2.25
hsa-miR-150-5p,2.51,1.66
hsa-miR-151a-3p,55.36,24.76
hsa-miR-151a-5p,1.38,0.36
hsa-miR-152-3p,14.18,6.75
hsa-miR-154-5p,0.09,0.0
hsa-miR-155-5p,14.36,6.28
hsa-miR-15a-5p,0.26,0.12
hsa-miR-15b-3p,0.17,0.24
hsa-miR-15b-5p,0.09,0.0
hsa-miR-16-2-3p,2.34,1.07
hsa-miR-16-5p,2.08,1.07
hsa-miR-17-5p,2.34,0.95
hsa-miR-181a-2-3p,3.11,2.13
hsa-miR-181a-3p,0.43,0.83
hsa-miR-181a-5p,34.25,16.35
hsa-miR-181b-3p,0.61,2.13
hsa-miR-181b-5p,16.87,9.36
hsa-miR-181c-5p,0.0,0.24
hsa-miR-181d-5p,1.3,0.59
hsa-miR-182-5p,0.0,0.12
hsa-miR-1843,0.09,0.36
hsa-miR-185-3p,0.0,0.12
hsa-miR-185-5p,1.73,0.83
hsa-miR-186-5p,7.44,2.37
hsa-miR-187-3p,0.09,0.12
hsa-miR-1908-5p,0.26,0.0
hsa-miR-191-3p,0.09,0.0
hsa-miR-191-5p,55.62,27.24
hsa-miR-1910-5p,0.0,0.36
hsa-miR-1913,0.09,0.0
hsa-miR-1914-3p,0.0,0.12
hsa-miR-1914-5p,0.09,0.0
hsa-miR-192-5p,4.84,1.07
hsa-miR-193a-5p,8.74,4.98
hsa-miR-193b-3p,0.09,0.12
hsa-miR-193b-5p,1.21,1.3
hsa-miR-194-5p,0.17,0.24
hsa-miR-195-3p,0.35,0.0
hsa-miR-195-5p,0.26,0.12
hsa-miR-196a-5p,0.52,0.24
hsa-miR-196b-3p,0.17,0.0
hsa-miR-196b-5p,2.34,2.37
hsa-miR-197-3p,2.34,2.72
hsa-miR-1976,0.0,0.12
hsa-miR-199a-3p,29.75,14.69
hsa-miR-199a-5p,26.47,10.9
hsa-miR-199b-3p,14.88,0.24
hsa-miR-199b-5p,3.81,1.3
hsa-miR-19a-3p,0.35,0.12
hsa-miR-19b-3p,0.69,0.24
hsa-miR-200a-3p,0.35,0.24
hsa-miR-200b-3p,0.78,0.0
hsa-miR-200c-3p,1.56,0.0
hsa-miR-203a-3p,3.03,0.12
hsa-miR-204-3p,2.42,0.59
hsa-miR-204-5p,0.09,0.0
hsa-miR-205-5p,0.26,0.24
hsa-miR-20a-5p,3.55,1.3
hsa-miR-21-3p,0.78,1.3
hsa-miR-21-5p,2642.04,1798.15
hsa-miR-210-3p,1.12,0.71
hsa-miR-2110,1.73,1.66
hsa-miR-212-5p,0.09,0.36
hsa-miR-214-3p,0.78,1.54
hsa-miR-214-5p,0.26,0.12
hsa-miR-215-5p,0.09,0.0
hsa-miR-218-5p,2.94,0.36
hsa-miR-219a-1-3p,0.17,0.0
hsa-miR-22-3p,112.27,56.03
hsa-miR-22-5p,1.9,0.71
hsa-miR-221-3p,38.23,25.35
hsa-miR-221-5p,2.34,2.25
hsa-miR-222-3p,287.94,153.99
hsa-miR-222-5p,0.43,0.12
hsa-miR-223-3p,0.17,0.0
hsa-miR-223-5p,0.26,0.12
hsa-miR-224-5p,34.08,8.88
hsa-miR-23a-3p,2.42,3.32
hsa-miR-23a-5p,0.26,0.0
hsa-miR-23b-3p,4.32,3.08
hsa-miR-23b-5p,0.61,0.36
hsa-miR-24-1-5p,0.09,0.0
hsa-miR-24-2-5p,1.47,0.95
hsa-miR-24-3p,75.6,29.02
hsa-miR-25-3p,10.81,2.96
hsa-miR-25-5p,0.35,0.47
hsa-miR-2682-5p,0.09,0.24
hsa-miR-26a-2-3p,0.0,0.24
hsa-miR-26a-5p,336.89,129.83
hsa-miR-26b-5p,9.51,2.49
hsa-miR-27a-3p,31.22,15.87
hsa-miR-27a-5p,1.3,0.71
hsa-miR-27b-3p,46.19,18.12
hsa-miR-27b-5p,0.17,0.83
hsa-miR-28-3p,7.7,6.16
hsa-miR-28-5p,4.32,3.32
hsa-miR-296-3p,0.09,0.24
hsa-miR-299-3p,0.17,0.0
hsa-miR-29a-3p,27.16,10.19
