miRNA,GSM6579196,GSM6579195,GSM6579194,GSM6579193,GSM6579192,GSM6579191,GSM6579190,GSM6579189,GSM6579188,GSM6579187,GSM6579186,GSM6579185,GSM6579184,GSM6579183,GSM6579182,GSM6579181,GSM6579180,GSM6579179,GSM6579178,GSM6579177,GSM6579176
hsa-miR-433-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,9.83,0.0,0.0,0.0,0.0
hsa-miR-4422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4433b-3p,0.0,0.0,0.0,5.0,5.68,35.28,0.0,0.0,8.22,0.0,0.0,0.0,2.11,11.44,0.0,0.0,0.0,10.38,0.0,5.98,17.32
hsa-miR-4433b-5p,0.0,48.6,0.0,27.01,0.0,2.03,5.98,147.11,0.0,86.51,0.0,23.63,5.48,7.15,0.0,14.4,1.84,97.98,6.7,86.31,9.89
hsa-miR-4435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0
hsa-miR-4436b-3p,0.0,0.0,0.0,0.0,0.0,2.03,0.0,1.25,0.0,0.0,0.0,0.0,6.32,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0
hsa-miR-4443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4445-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.71,10.72,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-3p,0.0,3.96,0.0,0.0,0.0,4.06,0.0,4.05,0.0,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-5p,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,8.04
hsa-miR-4448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,0.0,0.0
hsa-miR-449a,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,1.59,0.0,14.6,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,0.0
hsa-miR-449c-5p,0.0,6.78,0.0,0.0,0.0,0.0,0.0,3.12,0.0,7.95,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.65,0.67,0.0,0.0
hsa-miR-4504,0.0,0.0,0.0,0.0,0.0,10.54,21.26,0.0,0.0,0.0,0.0,0.0,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,0.0,20.06,0.0,0.0,0.0,0.0,0.0,30.85,0.0,25.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-450b-5p,0.0,5.09,0.0,0.0,0.0,1.22,0.0,10.91,0.0,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4511,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4516,0.0,2.83,0.0,0.0,0.0,0.0,0.0,1.25,0.0,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-451a,1304.29,7047.49,11.41,972.87,4.05,120.85,11.3,7997.93,601.22,3815.53,3912.42,88.98,25.72,0.0,1826.27,133.56,3623.7,3036.11,30.13,300.82,25.97
hsa-miR-452-3p,0.0,2.54,0.0,3.0,0.0,4.46,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.0,0.0,9.6,0.0,3.24,0.0,0.0,0.0
hsa-miR-452-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4526,0.0,3.67,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-454-3p,0.0,403.5,0.0,0.0,0.0,2.43,10.63,305.12,0.0,362.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-454-5p,0.0,11.59,0.0,0.0,0.0,0.0,0.0,13.09,0.0,16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-455-5p,0.0,4.52,0.0,0.0,0.0,0.0,0.0,2.49,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4632-3p,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
