miRNA,SRR22954880,SRR22954881,SRR22954882,SRR22954883,SRR22954884,SRR22954885,SRR22954886,SRR22954887,SRR22954888,SRR22954889,SRR22954890,SRR22954891,SRR22954892,SRR22954893,SRR22954894,SRR22954895,SRR22954896,SRR22954897,SRR22954898,SRR22954899
hsa-let-7a-2-3p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,58.0,34.0,25.0,64.0,112.0,41.0,18.0,56.0,39.0,27.0,72.0,49.0,32.0,31.0,26.0,79.0,56.0,117.0,32.0,34.0
hsa-let-7a-5p,49281.0,19394.0,14444.0,16918.0,35579.0,14931.0,10120.0,24729.0,13216.0,10883.0,25480.0,20109.0,15358.0,8287.0,11920.0,21180.0,13985.0,50270.0,10613.0,8099.0
hsa-let-7b-3p,109.0,22.0,29.0,43.0,48.0,23.0,15.0,44.0,27.0,17.0,92.0,59.0,34.0,12.0,17.0,28.0,35.0,125.0,38.0,7.0
hsa-let-7b-5p,33484.0,9305.0,8407.0,10776.0,20332.0,11036.0,7046.0,13051.0,9810.0,6524.0,14762.0,11741.0,8705.0,3791.0,6810.0,12216.0,7478.0,23554.0,6112.0,4247.0
hsa-let-7c-3p,0.0,2.0,5.0,9.0,25.0,2.0,2.0,24.0,0.0,0.0,16.0,5.0,0.0,4.0,3.0,0.0,3.0,30.0,4.0,5.0
hsa-let-7c-5p,9750.0,3976.0,2560.0,3785.0,13446.0,3727.0,2879.0,6579.0,3779.0,3151.0,8783.0,6664.0,2684.0,1727.0,2029.0,5332.0,2979.0,13769.0,2751.0,2117.0
hsa-let-7d-3p,690.0,390.0,289.0,325.0,637.0,268.0,279.0,474.0,314.0,246.0,381.0,396.0,227.0,201.0,219.0,377.0,276.0,987.0,201.0,129.0
hsa-let-7d-5p,4623.0,2470.0,2165.0,2132.0,4015.0,1857.0,1692.0,2589.0,2090.0,1755.0,3301.0,3130.0,2007.0,1236.0,1897.0,3142.0,1534.0,5241.0,1595.0,1185.0
hsa-let-7e-3p,42.0,0.0,0.0,13.0,35.0,9.0,4.0,12.0,2.0,4.0,26.0,0.0,0.0,1.0,3.0,20.0,17.0,13.0,5.0,8.0
hsa-let-7e-5p,3298.0,1260.0,991.0,1432.0,3780.0,1169.0,774.0,2255.0,1169.0,768.0,2482.0,1775.0,996.0,642.0,816.0,1878.0,1194.0,5060.0,772.0,592.0
hsa-let-7f-1-3p,6.0,8.0,6.0,1.0,6.0,3.0,1.0,7.0,0.0,2.0,11.0,6.0,0.0,3.0,6.0,0.0,6.0,9.0,1.0,1.0
hsa-let-7f-2-3p,3.0,2.0,1.0,1.0,4.0,0.0,2.0,7.0,1.0,0.0,1.0,3.0,5.0,6.0,2.0,4.0,1.0,1.0,1.0,0.0
hsa-let-7f-5p,48521.0,20385.0,17944.0,19354.0,39827.0,15545.0,15254.0,26538.0,18615.0,17241.0,28517.0,28179.0,19231.0,10810.0,14318.0,27530.0,14624.0,54431.0,14352.0,11765.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
hsa-let-7g-5p,34059.0,15520.0,13915.0,15550.0,30026.0,12587.0,11789.0,20314.0,14929.0,13409.0,22572.0,21681.0,14931.0,9209.0,10980.0,21656.0,11073.0,43559.0,11057.0,8401.0
hsa-let-7i-3p,1.0,4.0,5.0,10.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,3.0,5.0,1.0,8.0,6.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,55773.0,23414.0,20721.0,23073.0,31160.0,18381.0,21356.0,24333.0,25048.0,20500.0,24185.0,31249.0,23628.0,12197.0,18496.0,28175.0,13938.0,39585.0,17674.0,12146.0
hsa-miR-1-3p,9516.0,4267.0,4417.0,3942.0,8007.0,2792.0,4174.0,5082.0,4570.0,4364.0,5216.0,6236.0,7226.0,2415.0,3486.0,6269.0,2648.0,10616.0,3243.0,2920.0
