miRNA,SRR12486391,SRR12486392,SRR12486393,SRR12486394
hsa-let-7a-2-3p,0.0,0.0,11.14,0.0
hsa-let-7a-5p,777.29,764.37,150.35,39.73
hsa-let-7b-5p,3844.91,4126.99,1421.85,1344.65
hsa-let-7c-3p,0.0,0.0,0.0,1.53
hsa-let-7c-5p,5.93,12.58,1.86,74.87
hsa-let-7d-5p,0.0,0.0,5.57,7.64
hsa-let-7e-5p,0.0,9.44,14.85,3.06
hsa-let-7f-5p,29.67,28.31,38.98,42.78
hsa-let-7g-5p,0.0,3.15,0.0,0.0
hsa-let-7i-5p,5.93,9.44,22.27,10.7
hsa-miR-1-3p,0.0,6.29,0.0,1.53
hsa-miR-100-5p,5.93,0.0,9.28,10.7
hsa-miR-101-3p,961.23,726.63,250.59,221.56
hsa-miR-10395-3p,0.0,0.0,0.0,4.58
hsa-miR-10399-5p,0.0,0.0,1.86,0.0
hsa-miR-103a-3p,934.53,1047.48,1919.31,1633.45
hsa-miR-105-5p,0.0,3.15,0.0,7.64
hsa-miR-10526-3p,0.0,0.0,0.0,1.53
hsa-miR-107,0.0,9.44,20.42,3.06
hsa-miR-10a-5p,0.0,0.0,59.4,38.2
hsa-miR-1178-5p,0.0,0.0,7.42,9.17
hsa-miR-1179,2.97,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,1.53
hsa-miR-1244,0.0,0.0,7.42,0.0
hsa-miR-1246,0.0,0.0,1.86,0.0
hsa-miR-1248,0.0,3.15,0.0,0.0
hsa-miR-125a-5p,136.47,176.15,14.85,33.62
hsa-miR-125b-5p,133.5,207.61,40.84,39.73
hsa-miR-126-3p,2.97,6.29,0.0,0.0
hsa-miR-1260a,0.0,0.0,1.86,1.53
hsa-miR-127-3p,83.07,34.6,0.0,4.58
hsa-miR-1285-5p,0.0,3.15,5.57,0.0
hsa-miR-1307-3p,103.84,135.26,542.01,385.06
hsa-miR-132-3p,2.97,12.58,0.0,0.0
hsa-miR-135a-2-3p,2.97,3.15,0.0,0.0
hsa-miR-135a-5p,11.87,6.29,0.0,0.0
hsa-miR-135b-3p,0.0,0.0,12.99,0.0
hsa-miR-136-5p,8.9,3.15,0.0,7.64
hsa-miR-137-5p,0.0,3.15,0.0,3.06
hsa-miR-139-3p,5.93,0.0,0.0,0.0
hsa-miR-140-5p,0.0,3.15,0.0,7.64
hsa-miR-141-3p,937.49,820.99,0.0,4.58
hsa-miR-141-5p,2.97,9.44,0.0,0.0
hsa-miR-142-3p,296.68,349.16,189.33,187.95
hsa-miR-142-5p,17.8,25.16,9.28,7.64
hsa-miR-143-3p,11.87,6.29,0.0,0.0
hsa-miR-144-5p,0.0,0.0,5.57,1.53
hsa-miR-145-5p,20.77,31.46,0.0,0.0
hsa-miR-151a-3p,2.97,0.0,7.42,6.11
hsa-miR-152-3p,415.35,478.13,207.89,194.06
hsa-miR-154-3p,0.0,0.0,3.71,0.0
hsa-miR-155-5p,0.0,0.0,9.28,1.53
hsa-miR-15a-3p,0.0,0.0,11.14,15.28
hsa-miR-15a-5p,8.9,9.44,5.57,13.75
hsa-miR-15b-3p,0.0,0.0,0.0,6.11
hsa-miR-16-5p,275.91,207.61,198.61,241.43
hsa-miR-181a-2-3p,0.0,0.0,1.86,0.0
hsa-miR-181b-5p,17.8,37.75,83.53,80.98
hsa-miR-181c-5p,0.0,0.0,1.86,0.0
hsa-miR-182-5p,83.07,135.26,491.89,456.88
hsa-miR-183-5p,0.0,0.0,7.42,29.03
hsa-miR-184,0.0,0.0,1.86,0.0
hsa-miR-185-3p,0.0,0.0,3.71,0.0
hsa-miR-185-5p,2.97,3.15,0.0,0.0
hsa-miR-186-3p,0.0,0.0,3.71,3.06
hsa-miR-186-5p,11.87,9.44,0.0,3.06
hsa-miR-18a-3p,2.97,0.0,5.57,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,1.53
hsa-miR-190b-5p,0.0,3.15,0.0,0.0
hsa-miR-191-5p,2.97,3.15,3.71,3.06
